UnixTime(ms),Ax,Ay,Az,Gx,Gy,Gz,QuatW,QuatX,QuatY,QuatZ
1755639082533,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98927303,0.08346094,-0.10929504,0.04927200
1755639082565,0.25069317,0.06472335,-0.50536932,0.04633173,0.05933703,0.02198992,0.98929699,0.08419993,-0.10834862,0.04962273
1755639082587,0.27350144,0.39088223,0.18678624,0.10339939,0.03393695,-0.03621246,0.98925990,0.08534766,-0.10797192,0.04922078
1755639082631,-0.18897254,-0.16356435,0.19975517,0.03027690,0.00700471,0.00799821,0.98920945,0.08602435,-0.10781536,0.04939954
1755639082642,2.10603900,0.91079332,-1.14709539,0.18508979,-0.04191422,0.02276550,0.98909668,0.08697756,-0.10803122,0.04951678
1755639082674,-0.64354842,-0.25695461,0.39873717,0.05675040,-0.00551933,0.01619818,0.98899376,0.08788557,-0.10811953,0.04977595
1755639082698,0.00552967,0.21565172,0.08491273,0.10579980,0.00362677,0.01973258,0.98887394,0.08914459,-0.10807637,0.05001077
1755639082719,0.04253009,0.08020876,-0.10666875,0.12776137,-0.00438177,0.02063591,0.98873211,0.09052441,-0.10812370,0.05023363
1755639082730,0.31514395,0.23443743,-0.14853418,0.11095613,-0.00208630,0.01383776,0.98867315,0.09111248,-0.10813475,0.05030697
1755639082753,-0.19521075,-0.28881016,0.06843420,0.09207157,0.00115257,0.00991590,0.98857199,0.09215749,-0.10812167,0.05041952
1755639082763,0.29821472,0.65907982,-0.05827448,0.19298601,-0.00807619,-0.00873314,0.98847098,0.09320926,-0.10816569,0.05037192
1755639082776,0.08409660,-0.01354181,0.29872825,0.19760173,-0.02169289,-0.00213777,0.98833535,0.09448379,-0.10830561,0.05035814
1755639082786,0.64278103,0.66929786,0.18951331,0.30401557,-0.04666641,0.02596184,0.98816382,0.09594307,-0.10852960,0.05048275
1755639082797,-0.26961475,-0.19159849,0.09553162,0.21442413,-0.04868968,0.03045820,0.98800218,0.09718673,-0.10881200,0.05065941
1755639082819,-0.31645910,-0.20777951,-0.10659940,0.11224409,-0.02829631,0.01807431,0.98783997,0.09838774,-0.10911477,0.05085281
1755639082830,0.95359758,1.88559960,-0.05238356,0.41983989,-0.13850592,0.07813446,0.98749435,0.10073884,-0.10989041,0.05129036
1755639082840,-0.21098432,-0.74265693,0.15414451,0.34907559,-0.09176834,0.04995978,0.98724072,0.10255404,-0.11036760,0.05155015
1755639082852,-0.39799990,0.40277555,0.09839057,0.32093954,-0.09032394,0.04623292,0.98697515,0.10439944,-0.11088697,0.05181599
1755639082863,0.17739335,0.33846715,-0.01556978,0.40259902,-0.07386239,0.04145122,0.98666987,0.10669425,-0.11130798,0.05205226
1755639082875,0.03736987,0.12421577,0.12028052,0.43309916,-0.07397108,0.04253999,0.98632758,0.10924954,-0.11174441,0.05230325
1755639082888,-0.00065933,-0.55256062,0.04384551,0.39987794,-0.06824973,0.04312983,0.98596816,0.11186874,-0.11219145,0.05258575
1755639082908,-0.27140158,-0.16108336,0.04936683,0.32852806,-0.07836780,0.02570463,0.98548171,0.11518687,-0.11298296,0.05284536
1755639082910,66.98801442,200.45531640,62.66028443,5.15809212,-1.02659583,0.49859945,0.98479741,0.11982916,-0.11390690,0.05329410
1755639082930,-6.07480224,-18.13647729,-5.44926403,0.26058177,-0.04968808,0.01767221,0.98440767,0.12244800,-0.11440626,0.05347171
1755639082941,0.55874097,1.04629633,0.58317470,0.46195023,-0.09120658,0.04078993,0.98401407,0.12501183,-0.11491246,0.05369809
1755639082952,-0.16753325,0.75654959,0.39587001,0.48551854,-0.09283812,0.03652094,0.98361175,0.12760935,-0.11540914,0.05389348
1755639082964,-0.00338533,-0.06244976,-0.15555073,0.48037889,-0.10768899,0.04510226,0.98317021,0.13032349,-0.11601759,0.05414831
1755639082975,0.05439583,-0.32551297,0.07947443,0.50439423,-0.08945002,0.03417577,0.98272184,0.13314810,-0.11651851,0.05433969
1755639083000,-0.30238391,-0.80348483,-0.35278123,0.20995428,-0.05371158,0.02329361,0.98225933,0.13581452,-0.11720064,0.05463552
1755639083031,0.11262965,0.38794550,0.25479599,0.36479966,-0.06288463,0.04893163,0.98130465,0.14145067,-0.11817221,0.05539152
1755639083032,123.15222676,664.53608584,428.75938488,10.42187749,-1.83423412,1.07983807,0.98002669,0.14874599,-0.11945617,0.05614740
1755639083064,-5.60780796,-29.74165591,-19.14291729,0.34646552,-0.03114538,0.03626673,0.97909607,0.15416817,-0.11994360,0.05671498
1755639083075,-0.15304437,0.78707401,1.11770642,0.61829669,0.02118027,0.05919404,0.97850970,0.15781612,-0.11981864,0.05706422
1755639083097,-0.23072611,-0.44829778,-0.23600473,0.35612604,0.04423056,0.03374606,0.97791038,0.16171570,-0.11933431,0.05743374
1755639083131,-0.06448488,-0.43235109,-0.48220376,0.15032062,0.03896754,0.00587656,0.97756852,0.16420351,-0.11868940,0.05753100
1755639083132,-145.08193870,346.72607390,267.82193377,7.36544958,3.39127304,0.78914540,0.97680260,0.17046414,-0.11580682,0.05820177
1755639083164,7.50576280,-18.49905069,-14.30598272,0.27576927,0.17637650,0.03280447,0.97632778,0.17482130,-0.11302007,0.05872008
1755639083176,-1.26449971,0.73342384,1.30843633,0.37120132,0.36672576,-0.00960698,0.97617584,0.17714130,-0.11072803,0.05866004
1755639083197,0.39543935,-0.66250299,-0.77323793,0.27107499,0.24445443,0.01366593,0.97594141,0.17990627,-0.10823460,0.05879943
1755639083207,-1.69654362,1.20496004,0.71108569,0.34980266,0.34762252,0.03985702,0.97579068,0.18172524,-0.10642696,0.05900669
1755639083231,1.06996573,-0.75021798,-0.51877151,0.12648342,0.16889944,0.02468906,0.97570890,0.18322407,-0.10442550,0.05929925
1755639083241,-4.18538750,1.73814237,2.79016923,0.36266994,0.58675107,0.10018554,0.97564777,0.18498302,-0.10157976,0.05978515
1755639083252,2.21718651,-1.23072035,-1.91071025,0.19034235,0.33899005,0.03560224,0.97562865,0.18604894,-0.09968141,0.05998452
1755639083265,0.49531193,0.00467960,-0.23723618,0.16377979,0.26183334,0.02538509,0.97558697,0.18712170,-0.09796641,0.06015080
1755639083298,0.45813589,-0.21490830,-0.22794988,0.06952893,0.09863660,0.00902608,0.97551913,0.18826892,-0.09633890,0.06029973
1755639083309,-4.76394656,2.74169757,2.66886225,0.51258375,0.68652668,0.05232618,0.97530905,0.19121628,-0.09239137,0.06060060
1755639083331,1.92827265,-1.38745901,-1.26287941,0.13087995,0.23932051,0.02973500,0.97525231,0.19262978,-0.08980671,0.06092174
1755639083342,-0.30061392,0.07421341,0.17037901,0.10266144,0.24024414,0.03299059,0.97524996,0.19320982,-0.08844933,0.06110814
1755639083364,0.48071787,-0.10524199,-0.30676481,0.05991815,0.13547442,0.01967537,0.97523964,0.19386592,-0.08696589,0.06132358
1755639083397,0.25731178,-0.19985204,-0.12095256,0.02486769,0.04945900,0.00206106,0.97522842,0.19427127,-0.08615971,0.06135718
1755639083399,-119.71616656,-18.53742640,1.93958455,0.09018374,1.20128071,0.08339433,0.97530652,0.19435694,-0.08501849,0.06143640
1755639083421,10.15101105,1.52720500,-0.19690679,-0.01374397,0.01426232,0.02418190,0.97533412,0.19420232,-0.08485804,0.06170845
1755639083442,0.19416576,-0.04061326,-0.11454349,-0.01243497,-0.02812256,0.00779122,0.97532924,0.19407300,-0.08515051,0.06178948
1755639083454,0.13338438,-0.13926808,-0.21373846,-0.02109437,-0.04654132,0.02710483,0.97531952,0.19394432,-0.08543442,0.06195482
1755639083486,0.00260026,0.06927766,0.09230556,-0.00583564,-0.01717307,0.01125983,0.97530256,0.19385124,-0.08570833,0.06213441
1755639083488,18.15933045,-38.51427577,-105.29959277,-0.76671139,-0.84389452,0.14787856,0.97535718,0.19323788,-0.08638344,0.06225271
1755639083510,-1.15274927,2.46871757,7.12081638,-0.09175841,-0.05021602,-0.01301054,0.97551955,0.19221018,-0.08694586,0.06210700
1755639083530,-0.05917101,0.08221703,0.18250046,-0.07457566,-0.03613872,-0.00775072,0.97564004,0.19145697,-0.08731086,0.06202871
1755639083542,0.10806901,-0.25987949,-0.53206623,-0.09367839,-0.04181052,-0.01859395,0.97573635,0.19088553,-0.08756591,0.06191529
1755639083564,-0.07305876,0.22161396,0.27012185,-0.04906611,-0.01793594,-0.00256714,0.97582544,0.19034825,-0.08776230,0.06188718
1755639083574,0.60840738,-1.11570885,-3.19452857,-0.18509549,-0.08294915,-0.03768021,0.97597390,0.18945980,-0.08816046,0.06170632
1755639083585,-0.47683716,0.75163072,1.53907305,-0.08115506,-0.03740090,-0.01708561,0.97605113,0.18899316,-0.08837552,0.06160807
1755639083597,-0.04182782,-0.05639258,0.25136574,-0.12226541,-0.04248135,-0.01304508,0.97616855,0.18829624,-0.08861766,0.06153372
1755639083620,-0.02637322,0.08559325,0.42161038,-0.05890230,-0.01610832,-0.00256189,0.97628249,0.18762770,-0.08880049,0.06150464
1755639083630,0.49868150,-1.73870730,-2.54325750,-0.23058051,-0.07192970,-0.01123222,0.97647794,0.18645174,-0.08916733,0.06144735
1755639083652,-0.20784413,0.72862801,1.02896871,-0.06387931,-0.02141303,-0.00189154,0.97659574,0.18572352,-0.08941144,0.06142579
1755639083664,0.38427283,-1.18120637,-1.83346683,-0.19533844,-0.05284772,-0.00842058,0.97678874,0.18457102,-0.08972324,0.06137611
1755639083675,-0.32369788,0.52981055,0.80603162,-0.12890904,-0.04895474,-0.01700253,0.97689731,0.18390069,-0.08997781,0.06128770
1755639083685,-0.16768493,0.46980412,0.39920249,-0.13389307,-0.04974252,-0.02477732,0.97701123,0.18321114,-0.09023398,0.06116009
1755639083696,-0.27313973,0.23189521,0.24331589,-0.14715619,-0.06563132,-0.03234827,0.97714038,0.18240178,-0.09059495,0.06098218
1755639083707,0.09554771,0.00180279,0.18855513,-0.12555478,-0.06027385,-0.00765233,0.97724542,0.18167984,-0.09094153,0.06093818
1755639083718,0.41748253,-0.30995209,0.09447143,-0.11892303,-0.02619204,0.02166555,0.97734229,0.18104955,-0.09108034,0.06105300
1755639083729,-0.23333887,0.07081676,-0.33680974,-0.09624645,-0.04055744,-0.00005810,0.97742012,0.18051538,-0.09130544,0.06105268
1755639083740,0.07482772,0.21551496,0.19530548,-0.10513167,-0.03201550,0.01058069,0.97750820,0.17992665,-0.09148472,0.06111193
1755639083752,0.12689256,-0.09971768,0.03944371,-0.08266476,-0.02697940,0.02207377,0.97757479,0.17943892,-0.09164390,0.06124217
1755639083764,0.06279199,-0.28639487,-0.42353272,-0.09421367,-0.03691749,0.00069444,0.97765390,0.17889720,-0.09185618,0.06124616
1755639083765,1.27692213,-50.89808034,-66.18976091,-0.86540522,-0.41559508,-0.41048069,0.97777676,0.17816160,-0.09220943,0.06089725
1755639083776,-0.92068356,8.13811507,10.65462157,-0.14500347,-0.06659018,-0.05872584,0.97790365,0.17738583,-0.09256569,0.06058307
1755639083787,0.28831638,-0.29646900,-0.02667818,-0.10938222,-0.06164384,-0.00758843,0.97798590,0.17676235,-0.09291706,0.06053982
1755639083807,0.01976661,0.34565964,0.49332449,-0.07081800,-0.03586240,0.00082093,0.97807760,0.17606480,-0.09327031,0.06054790
1755639083818,0.14416059,-0.50227067,-0.65938372,-0.13637575,-0.05586441,0.00122135,0.97818446,0.17530109,-0.09358315,0.06055474
1755639083821,7.34729275,-15.41287689,-19.16619347,-0.63660430,-0.16292492,-0.02120398,0.97831384,0.17447351,-0.09379495,0.06052718
1755639083863,-0.46849309,1.18246780,1.50342301,-0.04329471,-0.01660892,0.00020419,0.97844087,0.17357081,-0.09414125,0.06053143
1755639083865,47.88754369,-139.46790061,-141.06018080,-2.99155033,-1.43537326,-0.51155064,0.97885925,0.17057926,-0.09557662,0.06001988
1755639083898,-2.81558187,8.31503829,8.28698370,-0.12972818,-0.05983977,-0.01039584,0.97914519,0.16842577,-0.09656996,0.05984731
1755639083920,0.08524167,-0.02164045,0.00443548,-0.09051783,-0.05830745,-0.00769246,0.97925867,0.16742103,-0.09721717,0.05976193
