UnixTime(ms),Ax,Ay,Az,Gx,Gy,Gz,QuatW,QuatX,QuatY,QuatZ
1756816747770,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99589146,0.08496602,-0.00229046,0.03123659
1756816747781,-0.02408066,-0.12000351,-0.10434952,-0.00891796,0.00081476,0.00476493,0.99589480,0.08491742,-0.00228602,0.03126256
1756816747788,-0.09841171,-0.07572709,-0.07650749,0.00027105,0.00683839,0.00997517,0.99589362,0.08491842,-0.00226071,0.03129946
1756816747797,-0.03550888,0.29140101,0.04821234,0.01333915,0.01272528,0.00693642,0.99588811,0.08497378,-0.00220791,0.03132825
1756816747808,-0.05834901,0.11283760,0.01123733,0.01734681,0.00179348,0.00841284,0.99587844,0.08507005,-0.00219795,0.03137494
1756816747819,0.03239180,-0.02029714,-0.04518499,0.02114566,0.00057980,0.01677177,0.99586560,0.08518635,-0.00219476,0.03146719
1756816747830,-0.00197040,-0.03709223,-0.02327537,0.02136443,0.00326199,0.00965198,0.99585390,0.08530386,-0.00217682,0.03152027
1756816747841,0.02725717,-0.04034397,0.03075827,0.01109658,0.00548684,0.01004069,0.99584686,0.08536600,-0.00214610,0.03157650
1756816747852,0.00877493,-0.09935885,-0.01767863,0.00681308,0.00378409,0.00373880,0.99584307,0.08540313,-0.00212547,0.03159688
1756816747863,0.00262648,-0.03788177,-0.04337838,0.00634233,0.00779114,0.00132964,0.99583988,0.08543864,-0.00208184,0.03160432
1756816747874,-0.02470204,0.03465255,-0.03970851,-0.00354393,0.01170022,0.00326365,0.99584109,0.08541951,-0.00201866,0.03162195
1756816747885,-0.05669791,-0.07755232,-0.00882042,0.00133066,0.01064441,-0.00105573,0.99584076,0.08542703,-0.00195852,0.03161598
1756816747896,0.09023924,0.14952214,0.21098133,-0.01716467,0.01830024,-0.00638675,0.99585025,0.08533176,-0.00185695,0.03158053
1756816747907,0.01765741,-0.00839596,0.08514258,-0.00482333,0.00518721,-0.00390850,0.99585328,0.08530499,-0.00182816,0.03155884
1756816747918,-0.01257788,0.01250796,0.00556329,-0.00650967,0.00411323,-0.00815693,0.99585785,0.08526886,-0.00180534,0.03151357
1756816747929,0.11024041,-0.03561738,-0.08574686,-0.01134680,0.00839884,-0.00591721,0.99586430,0.08520646,-0.00175914,0.03148103
1756816747941,0.02344721,-0.07526048,-0.06637833,-0.00210352,-0.00206485,-0.00539221,0.99586624,0.08519468,-0.00177070,0.03145083
1756816747952,0.01778699,-0.07218550,0.00089518,0.00118576,-0.00172368,0.00176429,0.99586536,0.08520126,-0.00178027,0.03146062
1756816747963,-0.03918494,0.01855219,0.10316282,0.00033615,-0.01122827,0.00561549,0.99586410,0.08520312,-0.00184259,0.03149179
1756816747974,0.01122844,0.05510708,0.12459372,0.00132300,-0.01828584,0.00443346,0.99586248,0.08521053,-0.00194499,0.03151662
1756816747985,0.00401997,-0.02357436,0.00690080,0.01204794,-0.01960453,-0.01016356,0.99585836,0.08527680,-0.00205281,0.03146072
1756816747996,-0.02643994,0.10466384,-0.02382871,-0.01351463,-0.01861702,-0.00465820,0.99586538,0.08520179,-0.00215614,0.03143486
1756816748007,-0.03676611,-0.17897214,-0.08223999,-0.00248245,-0.00674448,-0.00591979,0.99586751,0.08518801,-0.00219357,0.03140201
1756816748018,-0.07007607,-0.02831763,0.00319238,-0.01574962,0.00808919,-0.01230330,0.99587732,0.08509981,-0.00214827,0.03133311
1756816748029,-0.07055189,0.05349985,-0.02680467,-0.02014808,0.02051801,-0.00819973,0.99588854,0.08498799,-0.00203440,0.03128760
1756816748041,0.06047058,0.10149515,0.03204941,-0.01076413,0.03379739,0.01441404,0.99589149,0.08492825,-0.00184682,0.03136760
1756816748052,-0.11759039,0.02526979,-0.10605160,0.01193612,0.01933425,0.01896859,0.99588263,0.08499509,-0.00173855,0.03147382
1756816748063,0.04971330,0.19296482,0.10664419,-0.00215071,0.02320823,0.02529502,0.99587942,0.08498316,-0.00160974,0.03161421
1756816748074,-0.04087811,0.09956009,-0.06845270,-0.01746644,-0.00228214,0.00642651,0.99588653,0.08488622,-0.00162241,0.03164988
1756816748085,0.04595764,-0.06046869,-0.05043247,-0.01295911,-0.00777544,-0.00267500,0.99589306,0.08481430,-0.00166556,0.03163503
1756816748096,0.07535534,-0.17370397,-0.08329290,0.01111985,-0.00917805,-0.00066684,0.99588774,0.08487712,-0.00171742,0.03163126
1756816748107,-0.02653285,0.05455524,0.05599297,0.00085251,-0.01179092,0.00149553,0.99588696,0.08488181,-0.00178227,0.03163949
