UnixTime(ms),ViewIndex,Eye,EyePosX,EyePosY,EyePosZ,EyeOrientX,EyeOrientY,EyeOrientZ,EyeOrientW
1756814180212,0,left,-0.03102702,1.27796177,0.00003829,0.07586747,-0.00337575,0.04492781,0.99609950
1756814180212,1,right,0.03355971,1.28373296,0.00091651,0.07586747,-0.00337575,0.04492781,0.99609950
1756814180224,0,left,-0.03264146,1.27781152,-0.00000317,0.07579004,-0.00345437,0.04491785,0.99610558
1756814180224,1,right,0.03523707,1.28387476,0.00092991,0.07579004,-0.00345437,0.04491785,0.99610558
1756814180230,0,left,-0.03260771,1.27780797,-0.00000316,0.07571957,-0.00352015,0.04488796,0.99611206
1756814180230,1,right,0.03527112,1.28386654,0.00093812,0.07571957,-0.00352015,0.04488796,0.99611206
1756814180239,0,left,-0.03254922,1.27780760,-0.00001267,0.07549008,-0.00369461,0.04481134,0.99613229
1756814180239,1,right,0.03533038,1.28385421,0.00095010,0.07549008,-0.00369461,0.04481134,0.99613229
1756814180272,0,left,-0.03237277,1.27781036,-0.00005951,0.07503812,-0.00413740,0.04442261,0.99618211
1756814180272,1,right,0.03551107,1.28380019,0.00095668,0.07503812,-0.00413740,0.04442261,0.99618211
1756814180305,0,left,-0.03213458,1.27776137,-0.00020344,0.07494000,-0.00448925,0.04428443,0.99619412
1756814180305,1,right,0.03575052,1.28372896,0.00085853,0.07494000,-0.00448925,0.04428443,0.99619412
1756814180338,0,left,-0.03188607,1.27769931,-0.00021519,0.07482288,-0.00517354,0.04409065,0.99620820
1756814180338,1,right,0.03600046,1.28363377,0.00093703,0.07482288,-0.00517354,0.04409065,0.99620820
1756814180348,0,left,-0.03180530,1.27767105,-0.00020594,0.07487582,-0.00526067,0.04391380,0.99621158
1756814180348,1,right,0.03608325,1.28358058,0.00095663,0.07487582,-0.00526067,0.04391380,0.99621158
1756814180360,0,left,-0.03172326,1.27765586,-0.00020394,0.07492430,-0.00531770,0.04376938,0.99621399
1756814180360,1,right,0.03616693,1.28354518,0.00096518,0.07492430,-0.00531770,0.04376938,0.99621399
