# Session Metadata: 45e1uPoP,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
45e1uPoP,pose,1755651280571,0.00498867,1.67195916,0.00045395,0.02332167,-0.00845396,0.03143244,0.99919799,normal
45e1uPoP,pose,1755651280585,0.00505304,1.67194706,0.00051594,0.02317155,-0.00850729,0.03138263,0.99920260,normal
45e1uPoP,pose,1755651280587,0.00513077,1.67191970,0.00059628,0.02307158,-0.00859233,0.03131315,0.99920637,normal
45e1uPoP,pose,1755651280598,0.00520635,1.67188585,0.00070429,0.02299818,-0.00866855,0.03121821,0.99921037,normal
45e1uPoP,pose,1755651280609,0.00528479,1.67186779,0.00081420,0.02300691,-0.00868496,0.03114221,0.99921240,normal
45e1uPoP,pose,1755651280620,0.00537372,1.67189217,0.00089788,0.02306222,-0.00875201,0.03107796,0.99921254,normal
45e1uPoP,pose,1755651280632,0.00545931,1.67193145,0.00097466,0.02316932,-0.00877286,0.03099732,0.99921238,normal
45e1uPoP,pose,1755651280643,0.00553727,1.67195761,0.00103927,0.02332924,-0.00882899,0.03095691,0.99920942,normal
45e1uPoP,pose,1755651280654,0.00561309,1.67198020,0.00112224,0.02335235,-0.00887561,0.03092430,0.99920948,normal
45e1uPoP,pose,1755651280665,0.00568318,1.67199433,0.00120354,0.02331583,-0.00896929,0.03088998,0.99921056,normal
45e1uPoP,pose,1755651280675,0.00576043,1.67200488,0.00129032,0.02331092,-0.00904614,0.03082638,0.99921194,normal
45e1uPoP,pose,1755651280686,0.00578117,1.67201519,0.00139689,0.02325694,-0.00912073,0.03080008,0.99921333,normal
45e1uPoP,pose,1755651280697,0.00577044,1.67202485,0.00149298,0.02336190,-0.00922197,0.03077697,0.99921067,normal
45e1uPoP,pose,1755651280708,0.00575256,1.67205054,0.00159812,0.02352566,-0.00927847,0.03076071,0.99920680,normal
45e1uPoP,pose,1755651280719,0.00580144,1.67208910,0.00169444,0.02378093,-0.00932835,0.03075092,0.99920060,normal
45e1uPoP,pose,1755651280731,0.00585794,1.67213380,0.00179577,0.02388686,-0.00937820,0.03074175,0.99919788,normal
45e1uPoP,pose,1755651280742,0.00591040,1.67216849,0.00189757,0.02400917,-0.00943734,0.03074196,0.99919439,normal
45e1uPoP,pose,1755651280753,0.00596547,1.67220813,0.00200653,0.02405711,-0.00941589,0.03073848,0.99919355,normal
45e1uPoP,pose,1755651280764,0.00601006,1.67223758,0.00211406,0.02416304,-0.00945283,0.03071421,0.99919139,normal
45e1uPoP,pose,1755651280775,0.00605536,1.67226499,0.00222158,0.02419240,-0.00943531,0.03071635,0.99919078,normal
45e1uPoP,pose,1755651280786,0.00607085,1.67224121,0.00231481,0.02419610,-0.00939979,0.03072561,0.99919074,normal
45e1uPoP,pose,1755651280797,0.00608110,1.67220318,0.00240469,0.02419311,-0.00934415,0.03074486,0.99919074,normal
45e1uPoP,pose,1755651280809,0.00609064,1.67217356,0.00249553,0.02426086,-0.00927784,0.03075089,0.99918953,normal
45e1uPoP,pose,1755651280820,0.00611901,1.67219955,0.00259829,0.02438827,-0.00920248,0.03075347,0.99918704,normal
45e1uPoP,pose,1755651280831,0.00615096,1.67224854,0.00270724,0.02459504,-0.00911308,0.03073314,0.99918342,normal
45e1uPoP,pose,1755651280842,0.00618601,1.67229432,0.00281429,0.02477807,-0.00907985,0.03080989,0.99917684,normal
45e1uPoP,pose,1755651280853,0.00621843,1.67234308,0.00292683,0.02487851,-0.00905084,0.03080801,0.99917466,normal
45e1uPoP,pose,1755651280865,0.00625372,1.67237443,0.00303555,0.02497823,-0.00896390,0.03079336,0.99917341,normal
45e1uPoP,pose,1755651280876,0.00628972,1.67239338,0.00314879,0.02499987,-0.00890703,0.03078796,0.99917355,normal
45e1uPoP,pose,1755651280887,0.00629354,1.67236620,0.00325942,0.02496703,-0.00885989,0.03077247,0.99917526,normal
45e1uPoP,pose,1755651280898,0.00628304,1.67233831,0.00336456,0.02489887,-0.00883898,0.03073243,0.99917838,normal
45e1uPoP,pose,1755651280909,0.00628781,1.67231143,0.00347114,0.02490437,-0.00876076,0.03070010,0.99917993,normal
45e1uPoP,pose,1755651280920,0.00631666,1.67231947,0.00356650,0.02495980,-0.00876237,0.03066271,0.99917968,normal
45e1uPoP,pose,1755651280932,0.00635624,1.67233217,0.00365663,0.02507007,-0.00880521,0.03060308,0.99917837,normal
45e1uPoP,pose,1755651280943,0.00639987,1.67234457,0.00374556,0.02510463,-0.00888157,0.03053112,0.99917903,normal
45e1uPoP,pose,1755651280954,0.00645161,1.67235196,0.00384164,0.02501903,-0.00900758,0.03059245,0.99917817,normal
45e1uPoP,pose,1755651280965,0.00650287,1.67235184,0.00393057,0.02492392,-0.00912016,0.03067309,0.99917705,normal
45e1uPoP,pose,1755651280976,0.00655603,1.67233551,0.00400233,0.02491791,-0.00923193,0.03077585,0.99917302,normal
45e1uPoP,pose,1755651280987,0.00658011,1.67229164,0.00405622,0.02485025,-0.00930614,0.03090738,0.99916995,normal
45e1uPoP,pose,1755651280999,0.00659847,1.67225599,0.00409651,0.02476109,-0.00935249,0.03098819,0.99916923,normal
45e1uPoP,pose,1755651281010,0.00661516,1.67221844,0.00413394,0.02479470,-0.00936982,0.03096499,0.99916895,normal
45e1uPoP,pose,1755651281021,0.00664401,1.67223150,0.00417733,0.02474882,-0.00938459,0.03081051,0.99917473,normal
45e1uPoP,pose,1755651281032,0.00668645,1.67223167,0.00422978,0.02466099,-0.00934044,0.03065969,0.99918195,normal
45e1uPoP,pose,1755651281043,0.00672245,1.67222673,0.00429082,0.02440904,-0.00937803,0.03057368,0.99919042,normal
45e1uPoP,pose,1755651281054,0.00676847,1.67222017,0.00436473,0.02419004,-0.00937869,0.03054162,0.99919672,normal
45e1uPoP,pose,1755651281065,0.00680947,1.67220670,0.00443792,0.02403435,-0.00947064,0.03050078,0.99920086,normal
45e1uPoP,pose,1755651281077,0.00685525,1.67219079,0.00450897,0.02397849,-0.00954782,0.03051424,0.99920106,normal
45e1uPoP,pose,1755651281088,0.00690436,1.67214459,0.00456452,0.02395213,-0.00970810,0.03053365,0.99919955,normal
45e1uPoP,pose,1755651281101,0.00695777,1.67208976,0.00462866,0.02386745,-0.00990977,0.03049646,0.99920073,normal
45e1uPoP,pose,1755651281112,0.00699925,1.67204607,0.00468183,0.02390467,-0.01007661,0.03049534,0.99919821,normal
45e1uPoP,pose,1755651281124,0.00704527,1.67203891,0.00476527,0.02390213,-0.01025255,0.03055339,0.99919471,normal
45e1uPoP,pose,1755651281135,0.00709319,1.67203307,0.00485086,0.02392486,-0.01039602,0.03065340,0.99918962,normal
45e1uPoP,pose,1755651281146,0.00713229,1.67204034,0.00494361,0.02388835,-0.01050628,0.03069844,0.99918796,normal
45e1uPoP,pose,1755651281157,0.00716543,1.67205077,0.00503302,0.02385787,-0.01061053,0.03074183,0.99918625,normal
45e1uPoP,pose,1755651281168,0.00719762,1.67206275,0.00512576,0.02377062,-0.01069702,0.03074506,0.99918731,normal
45e1uPoP,pose,1755651281179,0.00723386,1.67205626,0.00521731,0.02376791,-0.01077562,0.03071918,0.99918732,normal
45e1uPoP,pose,1755651281190,0.00729346,1.67202622,0.00527883,0.02370868,-0.01084043,0.03068125,0.99918919,normal
45e1uPoP,pose,1755651281202,0.00735831,1.67201054,0.00534678,0.02365327,-0.01084735,0.03065584,0.99919121,normal
45e1uPoP,pose,1755651281213,0.00741053,1.67201620,0.00541735,0.02369157,-0.01086954,0.03065396,0.99919012,normal
45e1uPoP,pose,1755651281224,0.00743985,1.67203873,0.00551081,0.02389237,-0.01090323,0.03064392,0.99918528,normal
45e1uPoP,pose,1755651281235,0.00746393,1.67206287,0.00560141,0.02412555,-0.01100760,0.03051568,0.99918246,normal
45e1uPoP,pose,1755651281246,0.00749660,1.67208844,0.00570369,0.02413996,-0.01106975,0.03051214,0.99918153,normal
45e1uPoP,pose,1755651281257,0.00752878,1.67210352,0.00580716,0.02416300,-0.01118843,0.03054568,0.99917863,normal
45e1uPoP,pose,1755651281268,0.00755715,1.67211413,0.00591874,0.02411528,-0.01130592,0.03056836,0.99917776,normal
45e1uPoP,pose,1755651281280,0.00758934,1.67211491,0.00603104,0.02411510,-0.01140513,0.03061110,0.99917533,normal
45e1uPoP,pose,1755651281291,0.00760460,1.67210478,0.00615597,0.02413084,-0.01154523,0.03062295,0.99917298,normal
45e1uPoP,pose,1755651281302,0.00762701,1.67211372,0.00628066,0.02421152,-0.01169337,0.03066726,0.99916795,normal
45e1uPoP,pose,1755651281313,0.00764585,1.67213094,0.00640130,0.02436531,-0.01191692,0.03070251,0.99916048,normal
45e1uPoP,pose,1755651281324,0.00768065,1.67217988,0.00650978,0.02448342,-0.01205479,0.03074664,0.99915459,normal
45e1uPoP,pose,1755651281335,0.00770903,1.67221791,0.00660872,0.02468912,-0.01224407,0.03077464,0.99914636,normal
45e1uPoP,pose,1755651281346,0.00774455,1.67225349,0.00671077,0.02478645,-0.01238372,0.03083465,0.99914038,normal
45e1uPoP,pose,1755651281358,0.00778008,1.67227417,0.00681114,0.02491315,-0.01256695,0.03086329,0.99913406,normal
45e1uPoP,pose,1755651281369,0.00781870,1.67229360,0.00690675,0.02504723,-0.01277864,0.03089538,0.99912703,normal
45e1uPoP,pose,1755651281380,0.00786400,1.67230093,0.00701284,0.02522861,-0.01294777,0.03087535,0.99912091,normal
45e1uPoP,pose,1755651281391,0.00791121,1.67227930,0.00713134,0.02536755,-0.01312962,0.03082656,0.99911652,normal
45e1uPoP,pose,1755651281402,0.00795746,1.67224973,0.00724053,0.02557311,-0.01328932,0.03083893,0.99910879,normal
45e1uPoP,pose,1755651281413,0.00800133,1.67223597,0.00734091,0.02565593,-0.01343334,0.03088649,0.99910327,normal
45e1uPoP,pose,1755651281424,0.00804114,1.67224216,0.00741553,0.02569299,-0.01356270,0.03093398,0.99909910,normal
45e1uPoP,pose,1755651281435,0.00807834,1.67222446,0.00748992,0.02562671,-0.01368890,0.03100346,0.99909693,normal
45e1uPoP,pose,1755651281447,0.00811410,1.67219603,0.00756931,0.02544535,-0.01377207,0.03105432,0.99909884,normal
45e1uPoP,pose,1755651281458,0.00815558,1.67215461,0.00765085,0.02524594,-0.01383612,0.03111016,0.99910128,normal
45e1uPoP,pose,1755651281469,0.00818610,1.67210984,0.00772071,0.02515008,-0.01393791,0.03105321,0.99910405,normal
45e1uPoP,pose,1755651281480,0.00822401,1.67208147,0.00779223,0.02501154,-0.01401381,0.03109585,0.99910514,normal
45e1uPoP,pose,1755651281491,0.00826550,1.67210460,0.00785542,0.02493408,-0.01407992,0.03113777,0.99910484,normal
45e1uPoP,pose,1755651281502,0.00830841,1.67212290,0.00790834,0.02491568,-0.01417180,0.03119995,0.99910206,normal
45e1uPoP,pose,1755651281513,0.00835443,1.67213458,0.00797153,0.02479597,-0.01423282,0.03119717,0.99910426,normal
45e1uPoP,pose,1755651281525,0.00839925,1.67210788,0.00803423,0.02471401,-0.01431872,0.03124192,0.99910367,normal
45e1uPoP,pose,1755651281536,0.00844860,1.67209369,0.00810385,0.02465492,-0.01438300,0.03125085,0.99910392,normal
45e1uPoP,pose,1755651281547,0.00849795,1.67208356,0.00817180,0.02464159,-0.01448540,0.03126305,0.99910239,normal
45e1uPoP,pose,1755651281558,0.00855446,1.67208636,0.00824499,0.02462867,-0.01459437,0.03126373,0.99910110,normal
45e1uPoP,pose,1755651281569,0.00861430,1.67210168,0.00832725,0.02462268,-0.01472151,0.03125740,0.99909958,normal
45e1uPoP,pose,1755651281580,0.00867581,1.67209321,0.00839806,0.02474220,-0.01489693,0.03126752,0.99909371,normal
45e1uPoP,pose,1755651281591,0.00871038,1.67200208,0.00841928,0.02481046,-0.01506373,0.03131052,0.99908817,normal
45e1uPoP,pose,1755651281603,0.00874949,1.67191535,0.00844765,0.02488731,-0.01517506,0.03132265,0.99908420,normal
45e1uPoP,pose,1755651281614,0.00879121,1.67185593,0.00848794,0.02495389,-0.01532390,0.03131981,0.99908035,normal
45e1uPoP,pose,1755651281625,0.00884938,1.67186886,0.00856543,0.02500733,-0.01541910,0.03132771,0.99907730,normal
45e1uPoP,pose,1755651281636,0.00890374,1.67189103,0.00863290,0.02517420,-0.01552103,0.03130963,0.99907210,normal
45e1uPoP,pose,1755651281647,0.00895119,1.67191523,0.00869083,0.02544518,-0.01559983,0.03130351,0.99906420,normal
45e1uPoP,pose,1755651281658,0.00899553,1.67194521,0.00875187,0.02559383,-0.01563437,0.03126412,0.99906110,normal
45e1uPoP,pose,1755651281669,0.00903583,1.67197025,0.00881338,0.02562173,-0.01571426,0.03127735,0.99905872,normal
45e1uPoP,pose,1755651281680,0.00908089,1.67198932,0.00887680,0.02560933,-0.01580325,0.03136400,0.99905491,normal
45e1uPoP,pose,1755651281691,0.00913858,1.67202687,0.00893164,0.02568960,-0.01581807,0.03140069,0.99905146,normal
45e1uPoP,pose,1755651281703,0.00917840,1.67205608,0.00897288,0.02569264,-0.01590043,0.03146892,0.99904793,normal
45e1uPoP,pose,1755651281714,0.00921822,1.67208368,0.00901747,0.02563167,-0.01590175,0.03154350,0.99904713,normal
45e1uPoP,pose,1755651281725,0.00924134,1.67209208,0.00905371,0.02569544,-0.01586215,0.03162902,0.99904341,normal
45e1uPoP,pose,1755651281736,0.00925756,1.67211258,0.00907850,0.02587946,-0.01578980,0.03166562,0.99903865,normal
45e1uPoP,pose,1755651281747,0.00926709,1.67213994,0.00909996,0.02608255,-0.01563309,0.03152548,0.99904026,normal
