# Session Metadata: ttUL5nxc,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
ttUL5nxc,pose,1756814180212,0.00126634,1.28084736,0.00047740,0.07586747,-0.00337575,0.04492781,0.99609950,normal
ttUL5nxc,pose,1756814180224,0.00129781,1.28084314,0.00046337,0.07579004,-0.00345437,0.04491785,0.99610558,normal
ttUL5nxc,pose,1756814180230,0.00133171,1.28083725,0.00046748,0.07571957,-0.00352015,0.04488796,0.99611206,normal
ttUL5nxc,pose,1756814180239,0.00139058,1.28083090,0.00046872,0.07549008,-0.00369461,0.04481134,0.99613229,normal
ttUL5nxc,pose,1756814180272,0.00156915,1.28080527,0.00044858,0.07503812,-0.00413740,0.04442261,0.99618211,normal
ttUL5nxc,pose,1756814180305,0.00181091,1.28074493,0.00032541,0.07493879,-0.00449539,0.04429169,0.99619386,normal
ttUL5nxc,pose,1756814180338,0.00205719,1.28066654,0.00036092,0.07482288,-0.00517354,0.04409065,0.99620820,normal
ttUL5nxc,pose,1756814180348,0.00213898,1.28062581,0.00037535,0.07487582,-0.00526067,0.04391380,0.99621158,normal
ttUL5nxc,pose,1756814180360,0.00222183,1.28060052,0.00038062,0.07492430,-0.00531770,0.04376938,0.99621399,normal
ttUL5nxc,pose,1756814180371,0.00229515,1.28058130,0.00039193,0.07500525,-0.00523005,0.04371928,0.99621056,normal
ttUL5nxc,pose,1756814180382,0.00235358,1.28057884,0.00041717,0.07509116,-0.00520970,0.04371166,0.99620453,normal
ttUL5nxc,pose,1756814180393,0.00240134,1.28061088,0.00044437,0.07523821,-0.00521572,0.04383277,0.99618808,normal
ttUL5nxc,pose,1756814180404,0.00245013,1.28064032,0.00047630,0.07530322,-0.00513642,0.04387607,0.99618168,normal
ttUL5nxc,pose,1756814180416,0.00249132,1.28066810,0.00049463,0.07524594,-0.00503008,0.04387429,0.99618663,normal
ttUL5nxc,pose,1756814180426,0.00254914,1.28067273,0.00050879,0.07513123,-0.00491263,0.04385046,0.99619692,normal
ttUL5nxc,pose,1756814180437,0.00261931,1.28066948,0.00050499,0.07512644,-0.00489944,0.04379093,0.99619996,normal
ttUL5nxc,pose,1756814180449,0.00268711,1.28065371,0.00049420,0.07514700,-0.00494925,0.04366000,0.99620391,normal
ttUL5nxc,pose,1756814180460,0.00275792,1.28065242,0.00049631,0.07507040,-0.00498546,0.04356509,0.99621366,normal
ttUL5nxc,pose,1756814180471,0.00282759,1.28065465,0.00049677,0.07499531,-0.00505726,0.04349582,0.99622198,normal
ttUL5nxc,pose,1756814180482,0.00288777,1.28065844,0.00050645,0.07494302,-0.00518899,0.04340040,0.99622940,normal
ttUL5nxc,pose,1756814180493,0.00293641,1.28066036,0.00048307,0.07490473,-0.00526269,0.04333575,0.99623471,normal
ttUL5nxc,pose,1756814180504,0.00296657,1.28066311,0.00044362,0.07483946,-0.00544203,0.04337688,0.99623686,normal
ttUL5nxc,pose,1756814180515,0.00300364,1.28066581,0.00039944,0.07484227,-0.00550012,0.04337733,0.99623631,normal
ttUL5nxc,pose,1756814180526,0.00305206,1.28065699,0.00039776,0.07490483,-0.00560771,0.04338506,0.99623067,normal
ttUL5nxc,pose,1756814180538,0.00309355,1.28064422,0.00039043,0.07500243,-0.00571363,0.04325042,0.99622858,normal
ttUL5nxc,pose,1756814180549,0.00314297,1.28063719,0.00038177,0.07505359,-0.00572811,0.04315815,0.99622865,normal
ttUL5nxc,pose,1756814180560,0.00317953,1.28063833,0.00037093,0.07512620,-0.00578271,0.04310982,0.99622495,normal
ttUL5nxc,pose,1756814180571,0.00321303,1.28064350,0.00037110,0.07512370,-0.00580907,0.04321664,0.99622036,normal
ttUL5nxc,pose,1756814180582,0.00323422,1.28064441,0.00038411,0.07509087,-0.00586633,0.04330279,0.99621876,normal
ttUL5nxc,pose,1756814180593,0.00326285,1.28062644,0.00040388,0.07505343,-0.00597100,0.04338073,0.99621757,normal
ttUL5nxc,pose,1756814180604,0.00330247,1.28059892,0.00040965,0.07501018,-0.00601642,0.04333263,0.99622265,normal
ttUL5nxc,pose,1756814180616,0.00332776,1.28056963,0.00040303,0.07489205,-0.00601906,0.04318787,0.99623780,normal
ttUL5nxc,pose,1756814180627,0.00334174,1.28054933,0.00037315,0.07490883,-0.00596355,0.04310048,0.99624066,normal
ttUL5nxc,pose,1756814180638,0.00335430,1.28054442,0.00034447,0.07496154,-0.00585484,0.04318431,0.99623371,normal
ttUL5nxc,pose,1756814180649,0.00335193,1.28055566,0.00032778,0.07491980,-0.00580369,0.04330130,0.99623207,normal
ttUL5nxc,pose,1756814180660,0.00334772,1.28056605,0.00032529,0.07483761,-0.00577451,0.04347466,0.99623087,normal
ttUL5nxc,pose,1756814180671,0.00333780,1.28057584,0.00033851,0.07460603,-0.00591351,0.04368088,0.99623840,normal
ttUL5nxc,pose,1756814180682,0.00333926,1.28056627,0.00034598,0.07460677,-0.00593443,0.04364710,0.99623970,normal
ttUL5nxc,pose,1756814180694,0.00335207,1.28054679,0.00032662,0.07459036,-0.00604261,0.04358736,0.99624290,normal
ttUL5nxc,pose,1756814180705,0.00337112,1.28053447,0.00029416,0.07456971,-0.00607948,0.04352580,0.99624691,normal
ttUL5nxc,pose,1756814180716,0.00338716,1.28051354,0.00024350,0.07461481,-0.00610486,0.04353337,0.99624305,normal
ttUL5nxc,pose,1756814180727,0.00338352,1.28050233,0.00020561,0.07462969,-0.00615042,0.04355395,0.99624075,normal
ttUL5nxc,pose,1756814180738,0.00337558,1.28048850,0.00017436,0.07468305,-0.00619687,0.04359813,0.99623453,normal
ttUL5nxc,pose,1756814180749,0.00336194,1.28047638,0.00015940,0.07460795,-0.00623587,0.04369326,0.99623575,normal
ttUL5nxc,pose,1756814180760,0.00334001,1.28045858,0.00015347,0.07445517,-0.00633882,0.04376763,0.99624326,normal
ttUL5nxc,pose,1756814180772,0.00332317,1.28043967,0.00014728,0.07421765,-0.00638419,0.04375019,0.99626146,normal
ttUL5nxc,pose,1756814180783,0.00330852,1.28040808,0.00012462,0.07415191,-0.00634109,0.04371131,0.99626834,normal
ttUL5nxc,pose,1756814180794,0.00327893,1.28037002,0.00012740,0.07396943,-0.00630090,0.04370338,0.99628251,normal
ttUL5nxc,pose,1756814180805,0.00325078,1.28033522,0.00013939,0.07380665,-0.00620114,0.04368768,0.99629590,normal
ttUL5nxc,pose,1756814180816,0.00322154,1.28028722,0.00015455,0.07385846,-0.00615390,0.04368157,0.99629262,normal
ttUL5nxc,pose,1756814180851,0.00311611,1.28019691,0.00003265,0.07367732,-0.00571988,0.04377206,0.99630464,normal
ttUL5nxc,pose,1756814180869,0.00305806,1.28016108,-0.00005431,0.07333317,-0.00559145,0.04386167,0.99632682,normal
ttUL5nxc,pose,1756814180882,0.00303647,1.28013748,-0.00010300,0.07300921,-0.00565600,0.04379766,0.99635307,normal
ttUL5nxc,pose,1756814180895,0.00304192,1.28010356,-0.00015910,0.07264632,-0.00581065,0.04371435,0.99638236,normal
ttUL5nxc,pose,1756814180907,0.00305348,1.28007757,-0.00020245,0.07234628,-0.00599926,0.04352337,0.99641143,normal
ttUL5nxc,pose,1756814180919,0.00304952,1.28005898,-0.00023103,0.07225698,-0.00617537,0.04349304,0.99641816,normal
ttUL5nxc,pose,1756814180930,0.00302986,1.28005604,-0.00024675,0.07229629,-0.00621342,0.04363478,0.99640887,normal
ttUL5nxc,pose,1756814180942,0.00298566,1.28006352,-0.00026844,0.07240710,-0.00623867,0.04373566,0.99639625,normal
ttUL5nxc,pose,1756814180954,0.00293453,1.28008609,-0.00027867,0.07254829,-0.00605632,0.04385300,0.99638195,normal
ttUL5nxc,pose,1756814180965,0.00288386,1.28011712,-0.00027749,0.07281935,-0.00580646,0.04419212,0.99634868,normal
ttUL5nxc,pose,1756814180977,0.00283723,1.28014857,-0.00026391,0.07318826,-0.00578772,0.04429535,0.99631717,normal
ttUL5nxc,pose,1756814180989,0.00280513,1.28017210,-0.00023907,0.07338448,-0.00585050,0.04433367,0.99630067,normal
ttUL5nxc,pose,1756814181000,0.00277035,1.28018339,-0.00020982,0.07345672,-0.00588811,0.04417643,0.99630210,normal
ttUL5nxc,pose,1756814181012,0.00274127,1.28018662,-0.00018318,0.07353757,-0.00584455,0.04414039,0.99629799,normal
ttUL5nxc,pose,1756814181023,0.00270991,1.28020023,-0.00015773,0.07358212,-0.00577306,0.04416444,0.99629406,normal
ttUL5nxc,pose,1756814181035,0.00268598,1.28021721,-0.00012997,0.07360971,-0.00570386,0.04433939,0.99628465,normal
ttUL5nxc,pose,1756814181046,0.00267164,1.28022973,-0.00009698,0.07359026,-0.00566977,0.04451484,0.99627845,normal
ttUL5nxc,pose,1756814181058,0.00266368,1.28024878,-0.00005178,0.07346387,-0.00572213,0.04463621,0.99628205,normal
ttUL5nxc,pose,1756814181069,0.00267368,1.28026239,-0.00001003,0.07332539,-0.00583431,0.04466978,0.99629010,normal
ttUL5nxc,pose,1756814181080,0.00269702,1.28027283,0.00002538,0.07326729,-0.00593409,0.04460296,0.99629678,normal
ttUL5nxc,pose,1756814181091,0.00275004,1.28026380,0.00003004,0.07332673,-0.00610353,0.04441110,0.99629995,normal
ttUL5nxc,pose,1756814181103,0.00281823,1.28025230,0.00001881,0.07344122,-0.00610259,0.04420230,0.99630081,normal
ttUL5nxc,pose,1756814181114,0.00287110,1.28025539,0.00001733,0.07348966,-0.00598315,0.04398216,0.99630770,normal
ttUL5nxc,pose,1756814181125,0.00289535,1.28027174,0.00004005,0.07365129,-0.00598203,0.04407541,0.99629165,normal
ttUL5nxc,pose,1756814181137,0.00289696,1.28030525,0.00008297,0.07399125,-0.00611864,0.04435466,0.99625324,normal
ttUL5nxc,pose,1756814181148,0.00291095,1.28034735,0.00014298,0.07432004,-0.00622406,0.04442089,0.99622516,normal
ttUL5nxc,pose,1756814181159,0.00294161,1.28038666,0.00020073,0.07466673,-0.00637123,0.04433236,0.99620225,normal
ttUL5nxc,pose,1756814181170,0.00298111,1.28044616,0.00026087,0.07500099,-0.00649350,0.04396428,0.99619267,normal
ttUL5nxc,pose,1756814181182,0.00303175,1.28053256,0.00033608,0.07549355,-0.00661301,0.04362632,0.99616953,normal
ttUL5nxc,pose,1756814181193,0.00308641,1.28062854,0.00043008,0.07613051,-0.00697341,0.04356666,0.99612121,normal
ttUL5nxc,pose,1756814181204,0.00314333,1.28073677,0.00052662,0.07713094,-0.00728019,0.04343023,0.99604801,normal
ttUL5nxc,pose,1756814181215,0.00319593,1.28087180,0.00063023,0.07806976,-0.00761091,0.04349834,0.99596942,normal
ttUL5nxc,pose,1756814181226,0.00324721,1.28102666,0.00072744,0.07894362,-0.00781213,0.04359791,0.99589462,normal
ttUL5nxc,pose,1756814181238,0.00329276,1.28117467,0.00082575,0.07972077,-0.00797198,0.04362714,0.99583017,normal
ttUL5nxc,pose,1756814181249,0.00334023,1.28132007,0.00092828,0.08031748,-0.00814929,0.04363954,0.99578024,normal
ttUL5nxc,pose,1756814181260,0.00339555,1.28145404,0.00103807,0.08075135,-0.00830164,0.04357799,0.99574658,normal
ttUL5nxc,pose,1756814181271,0.00346084,1.28156856,0.00114447,0.08111573,-0.00853959,0.04344626,0.99572071,normal
ttUL5nxc,pose,1756814181282,0.00353278,1.28165950,0.00123096,0.08141396,-0.00885612,0.04324076,0.99570255,normal
ttUL5nxc,pose,1756814181294,0.00358637,1.28174242,0.00132819,0.08173916,-0.00896305,0.04298428,0.99568606,normal
ttUL5nxc,pose,1756814181305,0.00362961,1.28182886,0.00142260,0.08180492,-0.00890022,0.04276829,0.99569052,normal
ttUL5nxc,pose,1756814181316,0.00365901,1.28190178,0.00151265,0.08190510,-0.00869396,0.04258039,0.99569216,normal
ttUL5nxc,pose,1756814181322,0.00368239,1.28193757,0.00155409,0.08197065,-0.00856349,0.04249457,0.99569156,normal
ttUL5nxc,pose,1756814181327,0.00370195,1.28196912,0.00159304,0.08208453,-0.00841236,0.04241486,0.99568687,normal
ttUL5nxc,pose,1756814181336,0.00372493,1.28201075,0.00165179,0.08225669,-0.00822688,0.04237685,0.99567583,normal
ttUL5nxc,pose,1756814181347,0.00374310,1.28205166,0.00171803,0.08237461,-0.00805129,0.04232405,0.99566976,normal
ttUL5nxc,pose,1756814181358,0.00376540,1.28207932,0.00178169,0.08238405,-0.00778792,0.04213213,0.99567922,normal
ttUL5nxc,pose,1756814181370,0.00378243,1.28208259,0.00183210,0.08234634,-0.00749301,0.04184948,0.99569652,normal
ttUL5nxc,pose,1756814181381,0.00380217,1.28208800,0.00187339,0.08226351,-0.00721604,0.04163829,0.99571426,normal
