UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW
1756342053990,-0.00271297,1.26811129,-0.01126027,0.16692227,0.03270263,0.00651605,0.98540603
1756342053997,-0.00269467,1.26820204,-0.01128745,0.16710201,0.03285751,0.00644948,0.98537085
1756342054008,-0.00268710,1.26824632,-0.01131892,0.16737234,0.03302744,0.00640154,0.98531960
1756342054019,-0.00269568,1.26824388,-0.01135027,0.16753024,0.03326726,0.00638914,0.98528477
1756342054030,-0.00271010,1.26823732,-0.01139259,0.16760144,0.03345615,0.00637843,0.98526634
1756342054041,-0.00271767,1.26823747,-0.01144004,0.16760025,0.03361607,0.00648224,0.98526042
1756342054053,-0.00272727,1.26824167,-0.01149845,0.16764712,0.03388655,0.00639576,0.98524375
1756342054064,-0.00274086,1.26827031,-0.01155043,0.16750162,0.03407690,0.00626899,0.98526274
1756342054075,-0.00275993,1.26829633,-0.01160562,0.16750528,0.03424054,0.00618207,0.98525700
1756342054086,-0.00278938,1.26831463,-0.01164901,0.16736934,0.03443554,0.00616296,0.98527342
1756342054097,-0.00282729,1.26833034,-0.01169395,0.16725280,0.03456780,0.00618146,0.98528846
1756342054108,-0.00286567,1.26834971,-0.01173890,0.16718832,0.03463268,0.00605647,0.98529791
1756342054119,-0.00289488,1.26837716,-0.01179183,0.16731147,0.03470174,0.00591349,0.98527544
1756342054131,-0.00293142,1.26840994,-0.01184392,0.16737992,0.03474781,0.00582530,0.98526271
1756342054142,-0.00297558,1.26844049,-0.01188743,0.16746184,0.03485060,0.00579895,0.98524532
1756342054153,-0.00302374,1.26846913,-0.01192331,0.16749893,0.03492564,0.00580327,0.98523633
1756342054164,-0.00307184,1.26848415,-0.01195359,0.16760903,0.03497607,0.00591924,0.98521513
1756342054175,-0.00311458,1.26848629,-0.01199150,0.16773782,0.03501529,0.00603609,0.98519111
1756342054186,-0.00318122,1.26849917,-0.01205158,0.16777932,0.03503904,0.00603073,0.98518323
1756342054197,-0.00324380,1.26849696,-0.01210713,0.16768119,0.03507149,0.00599950,0.98519897
1756342054209,-0.00331485,1.26847661,-0.01215017,0.16756230,0.03516394,0.00585927,0.98521675
1756342054220,-0.00336379,1.26844802,-0.01215386,0.16739134,0.03538376,0.00582996,0.98523811
1756342054231,-0.00341547,1.26843596,-0.01215243,0.16737604,0.03547189,0.00603073,0.98523634
1756342054242,-0.00346428,1.26842433,-0.01216197,0.16742830,0.03558666,0.00628399,0.98522174
1756342054253,-0.00351465,1.26841408,-0.01218271,0.16735682,0.03578115,0.00633582,0.98522650
1756342054264,-0.00356489,1.26840430,-0.01220012,0.16726783,0.03599361,0.00635212,0.98523377
1756342054275,-0.00361025,1.26839662,-0.01220846,0.16724974,0.03611153,0.00631651,0.98523276
1756342054286,-0.00363350,1.26836747,-0.01218367,0.16716424,0.03616899,0.00630832,0.98524521
1756342054298,-0.00364965,1.26832950,-0.01215386,0.16709360,0.03626532,0.00632373,0.98525355
1756342054309,-0.00368071,1.26830173,-0.01213360,0.16704283,0.03632030,0.00629386,0.98526033
1756342054320,-0.00372118,1.26831353,-0.01212966,0.16703857,0.03636607,0.00625999,0.98525958
