UnixTime(ms),Ax,Ay,Az,Gx,Gy,Gz,QuatW,QuatX,QuatY,QuatZ
1755570162287,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.9978,-0.0334,-0.0006,0.0576
1755570162303,0.16624981,-0.14955669,-0.19077847,-0.00503009,-0.00742116,0.00667784,0.9978,-0.0334,-0.0007,0.0577
1755570162317,0.34074046,-0.30030032,-0.54419674,-0.04220892,-0.00830114,-0.00327007,0.9978,-0.0337,-0.0008,0.0577
1755570162323,0.16322952,0.06174850,-0.36315443,-0.07189799,-0.00329341,-0.06330993,0.9978,-0.0339,-0.0008,0.0575
1755570162334,-0.15782207,0.01379139,0.31105248,-0.02130533,-0.00470930,-0.05153650,0.9978,-0.0340,-0.0008,0.0572
1755570162345,0.06698536,-0.02394872,-0.04965684,-0.04271004,-0.00280994,-0.02394722,0.9978,-0.0343,-0.0008,0.0571
1755570162356,-0.03000804,0.14776253,0.04874640,-0.04044440,-0.00461012,0.00322685,0.9978,-0.0345,-0.0008,0.0571
1755570162367,-0.02542975,-0.04740680,0.08562207,-0.03345356,0.00011814,0.00027283,0.9978,-0.0347,-0.0008,0.0571
1755570162379,-0.06091002,0.05310282,-0.00568561,-0.00781145,-0.00905675,-0.02065359,0.9978,-0.0347,-0.0009,0.0570
1755570162390,0.10651385,0.01826319,-0.02904300,-0.03925175,0.00743716,0.01613612,0.9978,-0.0349,-0.0008,0.0571
1755570162401,-0.14319434,0.01644800,0.15867481,-0.05635938,0.01342984,-0.02600303,0.9978,-0.0352,-0.0008,0.0569
1755570162412,-0.01777372,-0.04610167,0.12715575,-0.04849324,0.01069158,-0.03794950,0.9978,-0.0355,-0.0007,0.0567
1755570162423,-0.00760263,0.05345602,0.16345662,-0.03895723,0.00809452,-0.05524472,0.9978,-0.0357,-0.0007,0.0564
1755570162435,0.09693357,0.00997846,-0.02280790,0.01569195,-0.01110669,-0.02763208,0.9978,-0.0357,-0.0007,0.0562
1755570162445,0.04999894,0.19147200,-0.05376381,0.00006349,-0.04701722,-0.00784556,0.9978,-0.0357,-0.0010,0.0562
1755570162457,0.11815183,0.00842769,-0.07644102,0.00928545,-0.05354838,0.02170953,0.9978,-0.0356,-0.0013,0.0563
