UnixTime(ms),Ax,Ay,Az,Gx,Gy,Gz,QuatW,QuatX,QuatY,QuatZ
1755574764702,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99639261,0.05172186,-0.00042415,0.06727886
1755574764710,-0.07800727,-0.19989363,0.02127471,-0.00309654,0.00570605,-0.01287679,0.99639684,0.05170916,-0.00040075,0.06722607
1755574764718,0.01812181,-0.23734537,-0.13853117,0.01723765,0.01341103,0.00026375,0.99639339,0.05177467,-0.00034979,0.06722707
1755574764729,-0.06668253,0.10191642,0.05620829,-0.00118558,0.01088056,0.01433778,0.99638842,0.05176815,-0.00028995,0.06730593
1755574764740,-0.01773361,-0.03275792,-0.08275686,-0.01239712,0.02824177,0.02418591,0.99638300,0.05169996,-0.00013462,0.06743895
1755574764751,-0.03560508,0.06022870,-0.08419264,-0.01462186,0.03344304,0.00711372,0.99638454,0.05161881,0.00005099,0.06747843
1755574764762,0.08715920,0.09981149,-0.10814131,0.00551087,0.00956384,-0.00194373,0.99638369,0.05164912,0.00010359,0.06746774
1755574764774,0.01950288,0.05934857,-0.06686701,0.00288643,0.01165141,-0.01644293,0.99638922,0.05166572,0.00017059,0.06737319
1755574764784,0.03507554,-0.04770373,-0.00756922,-0.00741048,0.01675614,-0.01113954,0.99639528,0.05162607,0.00026023,0.06731360
1755574764795,-0.05524864,-0.02322523,0.12181827,-0.00769944,0.02596830,-0.02870936,0.99640820,0.05158334,0.00040436,0.06715426
1755574764806,-0.02043182,-0.01289637,0.03315955,0.00453382,0.02359803,-0.00881680,0.99641011,0.05160828,0.00053415,0.06710577
1755574764818,0.06828547,-0.04997004,-0.10256643,-0.00575057,0.03014292,0.02188833,0.99640341,0.05157607,0.00070295,0.06722834
1755574764829,0.06937523,0.19135523,0.01505041,-0.04381072,0.02931018,0.01083692,0.99641163,0.05133730,0.00086269,0.06728740
1755574764840,0.09746697,0.09415341,0.04248085,-0.01259436,-0.00714733,-0.00788751,0.99641840,0.05126552,0.00082195,0.06724244
1755574764851,0.15271687,-0.00225969,0.15154565,-0.03187899,-0.03859266,-0.01186891,0.99643208,0.05108859,0.00060776,0.06717657
1755574764862,0.12582686,-0.08613762,0.10626585,-0.02923904,-0.04773294,-0.04468702,0.99645675,0.05092924,0.00034761,0.06693303
1755574764873,-0.02874183,-0.13625298,0.08141449,0.00233599,-0.05847700,-0.04583185,0.99647320,0.05094220,0.00002307,0.06667866
1755574764884,-0.14899952,-0.06409882,0.15093458,0.01903106,-0.03562318,-0.01974939,0.99647511,0.05104782,-0.00017464,0.06656905
1755574764895,-0.15034036,0.00898318,0.02082163,0.01512104,0.00146351,-0.00066211,0.99647102,0.05113250,-0.00016645,0.06656534
1755574764906,-0.21403131,0.12469682,-0.05971038,-0.00329861,0.00643838,0.00722571,0.99646929,0.05111419,-0.00013071,0.06660545
1755574764917,-0.08197580,0.15545758,-0.14016478,0.02814111,0.03577904,0.02679352,0.99645148,0.05126897,0.00006607,0.06675281
1755574764929,-0.10080401,-0.00423328,0.03718379,0.04496814,0.06861453,0.03018269,0.99642705,0.05152079,0.00045031,0.06692183
1755574764940,0.03201485,-0.03972917,0.14008443,0.00982944,0.04456387,0.02959967,0.99641304,0.05157534,0.00069764,0.06708611
1755574764951,0.07396337,-0.00876181,0.01850346,0.00156804,0.00530112,0.03913483,0.99639765,0.05158420,0.00072759,0.06730722
1755574764962,0.14483912,-0.21779144,-0.10328400,0.01387013,0.00675881,0.03119464,0.99638221,0.05165980,0.00076443,0.06747724
1755574764973,0.09290557,-0.12114735,-0.08359409,-0.01423418,-0.01581650,0.00885563,0.99638304,0.05158008,0.00067586,0.06752683
1755574764984,0.16282137,-0.18542225,-0.01496215,-0.00789232,-0.00022552,0.00319178,0.99638411,0.05153628,0.00067461,0.06754454
1755574764995,0.09522127,0.04145490,-0.08780699,-0.02785142,-0.02320856,-0.01334081,0.99639730,0.05138031,0.00054464,0.06746983
1755574765006,0.14386816,0.09894715,0.00732558,-0.05175241,-0.04476256,-0.02257512,0.99642065,0.05109309,0.00029621,0.06734454
1755574765018,-0.04063623,0.03483106,-0.11610352,-0.02519750,-0.03275034,-0.02179790,0.99643602,0.05095324,0.00011444,0.06722356
1755574765029,-0.03758356,0.03069159,0.04799589,-0.04835837,-0.02663386,-0.00824207,0.99645325,0.05067760,-0.00003737,0.06717658
1755574765040,0.01253321,-0.01927949,0.08336696,-0.02977705,-0.01520192,-0.01081545,0.99646546,0.05051531,-0.00012022,0.06711764
1755574765051,-0.09820752,-0.00610326,0.00467895,-0.00356532,-0.02108122,-0.00176481,0.99646714,0.05049499,-0.00024039,0.06710758
1755574765062,-0.09725399,0.02880504,0.08068638,-0.01398032,-0.00392398,0.01164297,0.99646673,0.05041950,-0.00026158,0.06717045
1755574765073,-0.04332381,0.13110023,-0.04418384,-0.00793559,-0.00431730,0.01023744,0.99646512,0.05037546,-0.00028554,0.06722727
1755574765084,-0.00303078,0.16791931,-0.06095805,-0.00612214,0.00325164,0.02857915,0.99645604,0.05034117,-0.00026733,0.06738731
1755574765095,-0.00950329,0.00000000,0.01520527,-0.01885719,0.00547618,0.00919805,0.99645790,0.05023557,-0.00023666,0.06743882
1755574765107,0.01845217,0.01875236,0.14291790,-0.01502939,-0.00145522,-0.00465340,0.99646384,0.05015216,-0.00024474,0.06741299
1755574765118,0.04257129,0.02273694,0.04644141,0.01462033,-0.00634172,-0.01051708,0.99646369,0.05023330,-0.00027993,0.06735462
1755574765129,0.08127246,0.00532141,-0.06579199,0.02735862,-0.01813914,0.00349245,0.99645468,0.05038514,-0.00038061,0.06737401
1755574765140,-0.03458856,-0.03047474,0.05239653,0.01875207,-0.01656690,-0.00957459,0.99645295,0.05049015,-0.00047338,0.06732039
1755574765151,0.03877028,-0.07132505,-0.03738810,0.01980261,-0.01418161,-0.00888677,0.99645067,0.05060006,-0.00055209,0.06727107
1755574765162,-0.01741553,-0.05466541,-0.01161035,0.01880763,-0.01117452,-0.01766756,0.99645194,0.05070444,-0.00061411,0.06717301
1755574765174,-0.02851215,0.02313773,0.00578654,0.00197032,-0.00391913,0.00068643,0.99645110,0.05071557,-0.00063625,0.06717689
1755574765185,-0.01741553,0.00958325,0.17987483,-0.00226778,0.00840908,0.00637252,0.99644938,0.05070299,-0.00058958,0.06721226
1755574765196,-0.02902588,0.02104376,0.09675293,0.00260192,0.00531073,0.00432615,0.99644704,0.05071743,-0.00056010,0.06723627
1755574765207,-0.00967529,0.00532141,-0.09288282,0.00314234,-0.00379107,-0.00023314,0.99644623,0.05073487,-0.00058115,0.06723498
1755574765218,0.04231105,-0.07261671,-0.11277239,-0.01352610,-0.00385302,0.00323306,0.99644885,0.05065912,-0.00060272,0.06725308
1755574765229,0.01342447,-0.01042038,-0.03327610,-0.02202997,0.01509447,-0.01298515,0.99645997,0.05053685,-0.00051895,0.06718101
1755574765240,-0.04837647,0.00580518,-0.03870117,-0.00950415,-0.01127117,0.00867361,0.99645936,0.05048411,-0.00058150,0.06722915
1755574765286,0.00962996,0.00077388,0.00686112,-0.00375392,-0.00426292,0.00856195,0.99645048,0.05039889,-0.00067827,0.06742351
1755574765308,-0.03806307,-0.00762238,0.00961550,-0.01771911,0.02129416,-0.02322680,0.99647845,0.05019867,-0.00043765,0.06716105
1755574765325,-0.05404184,0.07743461,-0.12516935,0.00866100,0.02536468,0.00728088,0.99647091,0.05026969,-0.00022966,0.06722075
1755574765338,-0.02537184,0.00924327,-0.05514524,0.01590934,0.00905465,0.02425623,0.99645432,0.05037787,-0.00016809,0.06738569
1755574765350,0.01011782,-0.13463891,0.07282439,0.01086771,0.00412799,0.01033027,0.99644677,0.05044362,-0.00014311,0.06744819
1755574765362,0.03207769,0.11425721,0.02038192,-0.00383366,-0.01871586,0.00000366,0.99644786,0.05042158,-0.00025073,0.06744821
