UnixTime(ms),Ax,Ay,Az,Gx,Gy,Gz,QuatW,QuatX,QuatY,QuatZ
1759198516072,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.68652361,0.05383789,-0.72277713,0.05813816
1759198516102,0.62852737,-0.25382046,0.23513254,-0.07674169,-0.02267313,-0.08566252,0.68635855,0.05265991,-0.72312516,0.05682324
1759198516125,-0.31129229,0.12621402,-0.31707326,-0.02319759,0.00143899,-0.01567091,0.68641061,0.05239662,-0.72310883,0.05664537
1759198516158,-0.30392312,-0.01249983,-0.05612172,-0.02930539,0.00598254,-0.00992123,0.68656200,0.05192187,-0.72301191,0.05648465
1759198516180,0.14918700,-0.07467747,-0.03170971,-0.03458774,-0.00079115,-0.03863138,0.68661707,0.05153622,-0.72302073,0.05605391
1759198516225,-0.07967444,0.11541968,0.03859364,-0.01680130,0.00491638,-0.00368121,0.68676889,0.05115735,-0.72290987,0.05597090
1759198516236,0.87610404,0.18193288,-0.83844191,0.00796160,0.01578195,0.06399227,0.68682983,0.05120233,-0.72282070,0.05633245
1759198516258,-0.50514067,0.16788937,0.25543985,0.03143775,0.00902429,0.01539095,0.68689481,0.05154972,-0.72272098,0.05650252
1759198516280,0.02504774,-0.10098908,0.13681683,0.00805897,-0.00035438,-0.03600925,0.68691573,0.05163514,-0.72272474,0.05612083
1759198516292,-0.22240757,-0.01124923,0.03810298,-0.03901649,0.00461098,-0.01418297,0.68696979,0.05139909,-0.72269684,0.05603502
1759198516314,0.03722956,-0.03049833,-0.00421246,-0.02401278,0.00740968,0.00361392,0.68707106,0.05113735,-0.72261607,0.05607441
1759198516336,-0.04511289,-0.02250803,0.03828532,-0.00735343,0.00601298,0.00708822,0.68714247,0.05105389,-0.72254783,0.05615486
1759198516348,-0.62376237,0.03392980,0.02152794,0.02537886,0.00040065,0.00270447,0.68713293,0.05119728,-0.72254556,0.05617014
1759198516359,0.34888753,-0.08861544,-0.03009381,0.03694329,-0.00222995,0.00211153,0.68710233,0.05141155,-0.72255850,0.05618239
1759198516369,0.13623196,0.11664467,-0.10607563,0.02983662,0.00451136,0.01043044,0.68711077,0.05156372,-0.72253549,0.05623558
1759198516394,0.08083463,-0.03877188,0.03769424,0.00917388,0.00173974,0.01618828,0.68710847,0.05167656,-0.72251409,0.05643470
1759198516426,-0.01518681,0.02696903,-0.00459100,0.01764729,0.00878503,0.03043892,0.68719532,0.05196068,-0.72237265,0.05692477
1759198516437,-0.68867991,-0.17924522,-0.60131084,0.04775740,0.02741854,0.08751681,0.68729208,0.05221857,-0.72222459,0.05739736
1759198516460,0.28703914,-0.00694137,0.22901108,0.01186229,0.00040075,0.01429542,0.68727313,0.05235261,-0.72222006,0.05755890
1759198516470,0.03814103,0.36850985,0.27971776,-0.00001400,0.00890598,0.03583418,0.68730554,0.05235254,-0.72217464,0.05774165
1759198516482,0.16795549,-0.10509892,-0.06921233,0.04467324,0.00550482,-0.01210312,0.68732637,0.05262728,-0.72214079,0.05766722
1759198516494,-0.07243759,0.13010662,-0.00108460,-0.00297172,-0.00908090,-0.00947876,0.68727739,0.05261020,-0.72219300,0.05761271
1759198516518,0.01212069,-0.08276623,0.03230834,-0.00171245,-0.00226977,-0.00208552,0.68725244,0.05258965,-0.72222024,0.05758769
1759198516532,-0.07249573,0.02279071,0.07122712,0.00231123,-0.00826901,-0.00148245,0.68719036,0.05260606,-0.72227895,0.05757716
1759198516552,0.05690785,-0.08479846,-0.03035166,-0.00191445,-0.00882983,0.00372580,0.68709399,0.05258653,-0.72236901,0.05761516
1759198516583,-0.00811523,0.00985716,0.01593113,0.00032686,-0.01002925,0.00437154,0.68692718,0.05259151,-0.72252196,0.05768183
1759198516605,-0.05995405,-0.00268271,0.04524896,0.01265146,-0.01699516,-0.01240002,0.68672592,0.05273448,-0.72271401,0.05754171
1759198516616,-0.10258128,-0.05341609,-0.02197931,0.05040712,-0.00286116,0.01820023,0.68668173,0.05299911,-0.72272903,0.05763726
1759198516648,0.05347244,0.04267184,-0.08790707,0.02172921,0.00546290,0.02116988,0.68671839,0.05334787,-0.72264135,0.05797704
1759198516659,-0.26929101,-0.00867286,-0.19112718,0.04031636,0.00373571,0.01732380,0.68671463,0.05357364,-0.72262043,0.05807405
1759198516724,0.06211637,-0.00461780,0.04289255,0.00416874,0.00070387,0.00004955,0.68672792,0.05370850,-0.72259766,0.05807565
1759198516762,-0.00076796,0.09294647,0.03094838,0.01822721,-0.00263903,0.02032311,0.68661551,0.05405390,-0.72264767,0.05846078
1759198516781,0.02574832,0.01782007,0.05903889,-0.00003213,-0.00096221,0.02429659,0.68658514,0.05405359,-0.72265714,0.05870010
1759198516813,-0.02117204,-0.10841927,-0.04801929,-0.00202876,0.00349006,-0.00972792,0.68665929,0.05402133,-0.72260165,0.05854542
1759198516841,-0.01787494,-0.08490821,-0.06835812,0.00383903,0.00728509,0.00145970,0.68676027,0.05407488,-0.72250003,0.05856579
1759198516865,-0.08760726,0.01431662,-0.07446306,0.00987150,0.00484398,0.00464889,0.68680673,0.05419186,-0.72244262,0.05862088
1759198516885,0.04130594,0.03308913,0.14428424,0.00726238,0.00175634,0.01053402,0.68681061,0.05426703,-0.72242445,0.05872990
1759198516898,-0.13388026,-0.11024921,-0.01193679,-0.01136798,-0.00144349,0.00670981,0.68680296,0.05419427,-0.72243368,0.05877285
1759198516930,0.08258212,0.04794856,0.00640284,-0.01371185,-0.00133742,0.00085572,0.68679655,0.05397488,-0.72245508,0.05878654
1759198516943,0.02365850,0.11007979,-0.08191603,-0.00392164,-0.00084195,0.01561284,0.68678449,0.05395018,-0.72246039,0.05888490
1759198516955,0.09669434,0.15309678,-0.09750298,0.01498901,-0.00454413,0.02415804,0.68673750,0.05403786,-0.72248697,0.05902622
1759198516967,0.00058871,0.09534228,0.24796420,0.03060661,0.00681059,0.02231093,0.68675478,0.05422456,-0.72244543,0.05916232
1759198516991,0.02681906,-0.08129023,-0.05618735,0.03316089,-0.00029201,-0.00056011,0.68671941,0.05463078,-0.72244900,0.05915546
1759198517003,-0.02481415,0.09612685,0.08436389,0.02135528,0.00240388,-0.05533177,0.68675289,0.05475891,-0.72243458,0.05882347
1759198517006,-0.20082841,0.13746270,0.59625085,-0.06484226,-0.01386317,-0.00199352,0.68674041,0.05467138,-0.72245330,0.05882078
1759198517023,-0.02324063,-0.15506972,-0.14745503,-0.03081669,-0.00310945,-0.00724844,0.68673873,0.05441560,-0.72247910,0.05876061
1759198517034,-0.08393639,0.28220594,-0.14797985,-0.05264114,-0.00686751,-0.00582952,0.68672371,0.05410765,-0.72251928,0.05872651
1759198517046,-0.00217710,-0.04375971,-0.00304794,-0.05165173,-0.00727451,0.00088884,0.68670223,0.05380548,-0.72256183,0.05873171
1759198517057,0.00633862,-0.02332588,0.04199481,-0.01855385,-0.00870037,-0.01730432,0.68666675,0.05369973,-0.72261143,0.05863308
1759198517065,-0.03941409,-0.58156788,0.20715312,0.02038941,-0.02202148,-0.03602046,0.68658646,0.05377517,-0.72269291,0.05849980
1759198517077,0.03131869,-0.00054794,-0.03677270,-0.00691955,-0.01237514,-0.00311772,0.68650947,0.05373158,-0.72277087,0.05848016
1759198517089,-0.01611062,0.02228281,-0.04252517,-0.00735903,-0.00563784,-0.00157864,0.68647760,0.05368669,-0.72280526,0.05847053
1759198517102,-0.06667679,0.02542929,-0.03243736,-0.00211722,0.00482673,0.01923251,0.68649961,0.05367377,-0.72277582,0.05858785
1759198517114,0.00489046,0.07409516,-0.04471965,0.00538744,0.00841521,0.02031663,0.68653948,0.05370583,-0.72272575,0.05870873
1759198517121,-0.27789284,0.00635962,-0.12987515,0.01437430,0.02947381,0.06551992,0.68662327,0.05375542,-0.72262406,0.05893478
1759198517135,0.21470402,-0.03361803,-0.00368864,0.02387435,0.01095288,0.01711595,0.68668423,0.05393328,-0.72254246,0.05906229
1759198517163,0.01000391,-0.00376822,0.04736470,0.01045113,0.00909694,0.01367007,0.68678682,0.05407489,-0.72241920,0.05924752
1759198517184,-0.06175966,-0.03697499,-0.08145550,0.00112926,0.01321190,0.00248546,0.68693428,0.05408715,-0.72227585,0.05927449
1759198517197,-0.12848162,0.19672966,-0.11377893,0.01529402,0.03457961,0.02526953,0.68714687,0.05418579,-0.72205281,0.05943747
1759198517211,0.19295130,0.10168787,0.14910119,0.01430557,0.01551446,0.02741794,0.68723644,0.05428593,-0.72194421,0.05962940
1759198517223,-0.03792367,0.04074596,0.00034171,0.03231444,0.01984391,0.00318580,0.68734090,0.05447336,-0.72182912,0.05964788
