Stereo Recording Started at 1757961792.782
Continuous Chirp Sequence Started at 1757961802.684 (10Hz for 10s, 2-8kHz)
Continuous Chirp 1/100 at 1757961802.806
Continuous Chirp 2/100 at 1757961802.893
Continuous Chirp 3/100 at 1757961803.006
Continuous Chirp 4/100 at 1757961803.093
Continuous Chirp 5/100 at 1757961803.197
Continuous Chirp 6/100 at 1757961803.297
Continuous Chirp 7/100 at 1757961803.399
Continuous Chirp 8/100 at 1757961803.485
Continuous Chirp 9/100 at 1757961803.594
Continuous Chirp 10/100 at 1757961803.696
Continuous Chirp 11/100 at 1757961803.784
Continuous Chirp 12/100 at 1757961803.885
Continuous Chirp 13/100 at 1757961803.985
Continuous Chirp 14/100 at 1757961804.095
Continuous Chirp 15/100 at 1757961804.197
Continuous Chirp 16/100 at 1757961804.298
Continuous Chirp 17/100 at 1757961804.386
Continuous Chirp 18/100 at 1757961804.496
Continuous Chirp 19/100 at 1757961804.603
Continuous Chirp 20/100 at 1757961804.704
Continuous Chirp 21/100 at 1757961804.803
Continuous Chirp 22/100 at 1757961804.901
Continuous Chirp 23/100 at 1757961805.005
Continuous Chirp 24/100 at 1757961805.104
Continuous Chirp 25/100 at 1757961805.208
Continuous Chirp 26/100 at 1757961805.304
Continuous Chirp 27/100 at 1757961805.407
Continuous Chirp 28/100 at 1757961805.5
Continuous Chirp 29/100 at 1757961805.587
Continuous Chirp 30/100 at 1757961805.688
Continuous Chirp 31/100 at 1757961805.804
Continuous Chirp 32/100 at 1757961805.906
Continuous Chirp 33/100 at 1757961805.997
Continuous Chirp 34/100 at 1757961806.085
Continuous Chirp 35/100 at 1757961806.188
Continuous Chirp 36/100 at 1757961806.287
Continuous Chirp 37/100 at 1757961806.402
Continuous Chirp 38/100 at 1757961806.504
Continuous Chirp 39/100 at 1757961806.605
Continuous Chirp 40/100 at 1757961806.696
Continuous Chirp 41/100 at 1757961806.802
Continuous Chirp 42/100 at 1757961806.889
Continuous Chirp 43/100 at 1757961806.989
Continuous Chirp 44/100 at 1757961807.09
Continuous Chirp 45/100 at 1757961807.202
Continuous Chirp 46/100 at 1757961807.303
Continuous Chirp 47/100 at 1757961807.401
Continuous Chirp 48/100 at 1757961807.49
Continuous Chirp 49/100 at 1757961807.589
Continuous Chirp 50/100 at 1757961807.723
Continuous Chirp 51/100 at 1757961807.8
Continuous Chirp 52/100 at 1757961807.901
Continuous Chirp 53/100 at 1757961807.989
Continuous Chirp 54/100 at 1757961808.091
Continuous Chirp 55/100 at 1757961808.202
Continuous Chirp 56/100 at 1757961808.292
Continuous Chirp 57/100 at 1757961808.391
Continuous Chirp 58/100 at 1757961808.492
Continuous Chirp 59/100 at 1757961808.592
Continuous Chirp 60/100 at 1757961808.692
Continuous Chirp 61/100 at 1757961808.807
Continuous Chirp 62/100 at 1757961808.892
Continuous Chirp 63/100 at 1757961808.992
Continuous Chirp 64/100 at 1757961809.093
Continuous Chirp 65/100 at 1757961809.193
Continuous Chirp 66/100 at 1757961809.292
Continuous Chirp 67/100 at 1757961809.394
Continuous Chirp 68/100 at 1757961809.494
Continuous Chirp 69/100 at 1757961809.593
Continuous Chirp 70/100 at 1757961809.694
Continuous Chirp 71/100 at 1757961809.794
Continuous Chirp 72/100 at 1757961809.898
Continuous Chirp 73/100 at 1757961810.005
Continuous Chirp 74/100 at 1757961810.096
Continuous Chirp 75/100 at 1757961810.184
Continuous Chirp 76/100 at 1757961810.285
Continuous Chirp 77/100 at 1757961810.384
Continuous Chirp 78/100 at 1757961810.485
Continuous Chirp 79/100 at 1757961810.585
Continuous Chirp 80/100 at 1757961810.697
Continuous Chirp 81/100 at 1757961810.785
Continuous Chirp 82/100 at 1757961810.897
Continuous Chirp 83/100 at 1757961810.985
Continuous Chirp 84/100 at 1757961811.085
Continuous Chirp 85/100 at 1757961811.185
Continuous Chirp 86/100 at 1757961811.286
Continuous Chirp 87/100 at 1757961811.385
Continuous Chirp 88/100 at 1757961811.499
Continuous Chirp 89/100 at 1757961811.587
Continuous Chirp 90/100 at 1757961811.687
Continuous Chirp 91/100 at 1757961811.787
Continuous Chirp 92/100 at 1757961811.897
Continuous Chirp 93/100 at 1757961812.004
Continuous Chirp 94/100 at 1757961812.101
Continuous Chirp 95/100 at 1757961812.188
Continuous Chirp 96/100 at 1757961812.288
Continuous Chirp 97/100 at 1757961812.399
Continuous Chirp 98/100 at 1757961812.5
Continuous Chirp 99/100 at 1757961812.588
Continuous Chirp 100/100 at 1757961812.701
Continuous Chirp Sequence Completed at 1757961812.701 (100 chirps total)
