UnixTime(ms),ViewIndex,Eye,EyePosX,EyePosY,EyePosZ,EyeOrientX,EyeOrientY,EyeOrientZ,EyeOrientW
1755574764702,0,left,-0.02946780,-0.00576903,-0.00040604,0.05172186,-0.00042415,0.06727886,0.99639261
1755574764702,1,right,0.03804086,0.00336172,0.00012566,0.05172186,-0.00042415,0.06727886,0.99639261
1755574764710,0,left,-0.02947353,-0.00577899,-0.00040278,0.05170916,-0.00040075,0.06722607,0.99639684
1755574764710,1,right,0.03803610,0.00334479,0.00012526,0.05170916,-0.00040075,0.06722607,0.99639684
1755574764718,0,left,-0.02947735,-0.00580538,-0.00040630,0.05177467,-0.00034979,0.06722707,0.99639339
1755574764718,1,right,0.03803229,0.00331886,0.00011543,0.05177467,-0.00034979,0.06722707,0.99639339
1755574764729,0,left,-0.02949021,-0.00583647,-0.00040535,0.05176815,-0.00028995,0.06730593,0.99638842
1755574764729,1,right,0.03801797,0.00329886,0.00010875,0.05176815,-0.00028995,0.06730593,0.99638842
1755574764740,0,left,-0.02950473,-0.00587552,-0.00040783,0.05169996,-0.00013462,0.06743895,0.99638300
1755574764740,1,right,0.03800102,0.00327891,0.00008549,0.05169996,-0.00013462,0.06743895,0.99638300
1755574764751,0,left,-0.02952463,-0.00590122,-0.00041837,0.05161881,0.00005099,0.06747843,0.99638454
1755574764751,1,right,0.03798039,0.00325989,0.00004929,0.05161881,0.00005099,0.06747843,0.99638454
1755574764762,0,left,-0.02953427,-0.00591074,-0.00045114,0.05164912,0.00010359,0.06746774,0.99638369
1755574764762,1,right,0.03797095,0.00324928,0.00000959,0.05164912,0.00010359,0.06746774,0.99638369
1755574764774,0,left,-0.02954254,-0.00590727,-0.00049306,0.05166572,0.00017059,0.06737319,0.99638922
1755574764774,1,right,0.03796443,0.00324044,-0.00004195,0.05166572,0.00017059,0.06737319,0.99638922
1755574764784,0,left,-0.02954593,-0.00591152,-0.00053093,0.05162607,0.00026023,0.06731360,0.99639528
1755574764784,1,right,0.03796210,0.00322878,-0.00009277,0.05162607,0.00026023,0.06731360,0.99639528
