UnixTime(ms),ViewIndex,Eye,EyePosX,EyePosY,EyePosZ,EyeOrientX,EyeOrientY,EyeOrientZ,EyeOrientW
1759198434852,0,left,-0.26940548,1.21392438,0.65660900,0.06526127,-0.68169105,0.10944280,0.72045857
1759198434852,1,right,-0.26622605,1.21860918,0.72454351,0.06526127,-0.68169105,0.10944280,0.72045857
1759198434888,0,left,-0.26948610,1.21400741,0.65651238,0.06579824,-0.68149734,0.10995719,0.72051467
1759198434888,1,right,-0.26628610,1.21869537,0.72444570,0.06579824,-0.68149734,0.10995719,0.72051467
1759198434909,0,left,-0.26958767,1.21403089,0.65645295,0.06604018,-0.68141830,0.11008981,0.72054703
1759198434909,1,right,-0.26637694,1.21871063,0.72438639,0.06604018,-0.68141830,0.11008981,0.72054703
1759198434969,0,left,-0.26961204,1.21409422,0.65636373,0.06593554,-0.68138301,0.11001537,0.72060135
1759198434969,1,right,-0.26639256,1.21877748,0.72429645,0.06593554,-0.68138301,0.11001537,0.72060135
1759198434999,0,left,-0.26962009,1.21410936,0.65625942,0.06565883,-0.68121272,0.11007511,0.72077848
1759198434999,1,right,-0.26637074,1.21882838,0.72418821,0.06565883,-0.68121272,0.11007511,0.72077848
1759198435042,0,left,-0.26964095,1.21404874,0.65621257,0.06550226,-0.68118304,0.10985589,0.72085422
1759198435042,1,right,-0.26637951,1.21876216,0.72414124,0.06550226,-0.68118304,0.10985589,0.72085422
1759198435055,0,left,-0.26956594,1.21399292,0.65613955,0.06535244,-0.68113882,0.10968762,0.72093522
1759198435055,1,right,-0.26629126,1.21870533,0.72406763,0.06535244,-0.68113882,0.10968762,0.72093522
1759198435077,0,left,-0.26957503,1.21390021,0.65612966,0.06511772,-0.68115902,0.10952424,0.72096221
1759198435077,1,right,-0.26629922,1.21861857,0.72405726,0.06511772,-0.68115902,0.10952424,0.72096221
1759198435110,0,left,-0.26957673,1.21386075,0.65614110,0.06512297,-0.68121070,0.10954670,0.72090950
1759198435110,1,right,-0.26631117,1.21857959,0.72406918,0.06512297,-0.68121070,0.10954670,0.72090950
1759198435124,0,left,-0.26957220,1.21385020,0.65615135,0.06511635,-0.68130130,0.10965980,0.72080728
1759198435124,1,right,-0.26632684,1.21857846,0.72407979,0.06511635,-0.68130130,0.10965980,0.72080728
1759198435170,0,left,-0.26954573,1.21385577,0.65606689,0.06495420,-0.68138236,0.10965168,0.72074652
1759198435170,1,right,-0.26631522,1.21859667,0.72399509,0.06495420,-0.68138236,0.10965168,0.72074652
1759198435190,0,left,-0.26952985,1.21386281,0.65598291,0.06459835,-0.68142838,0.10950858,0.72075675
1759198435190,1,right,-0.26630357,1.21862242,0.72391003,0.06459835,-0.68142838,0.10950858,0.72075675
1759198435212,0,left,-0.26951590,1.21388215,0.65600687,0.06473090,-0.68136698,0.10961498,0.72078673
1759198435212,1,right,-0.26628140,1.21864092,0.72393364,0.06473090,-0.68136698,0.10961498,0.72078673
1759198435226,0,left,-0.26947394,1.21393982,0.65605098,0.06513379,-0.68131370,0.10969690,0.72078834
1759198435226,1,right,-0.26623198,1.21866968,0.72397942,0.06513379,-0.68131370,0.10969690,0.72078834
1759198435249,0,left,-0.26938519,1.21402630,0.65613264,0.06547134,-0.68131268,0.10936310,0.72080944
1759198435249,1,right,-0.26613310,1.21869233,0.72406501,0.06547134,-0.68131268,0.10936310,0.72080944
1759198435271,0,left,-0.26930532,1.21407393,0.65622628,0.06543685,-0.68130464,0.10912262,0.72085662
1759198435271,1,right,-0.26604459,1.21872029,0.72415960,0.06543685,-0.68130464,0.10912262,0.72085662
1759198435303,0,left,-0.26928735,1.21407217,0.65624815,0.06528091,-0.68138999,0.10899169,0.72080989
1759198435303,1,right,-0.26603854,1.21871871,0.72418207,0.06528091,-0.68138999,0.10899169,0.72080989
1759198435313,0,left,-0.26923361,1.21401355,0.65629864,0.06494652,-0.68162024,0.10898659,0.72062315
1759198435313,1,right,-0.26602748,1.21868584,0.72423279,0.06494652,-0.68162024,0.10898659,0.72062315
1759198435359,0,left,-0.26918247,1.21393964,0.65628481,0.06490772,-0.68174136,0.10885912,0.72053133
1759198435359,1,right,-0.26599506,1.21860060,0.72422063,0.06490772,-0.68174136,0.10885912,0.72053133
1759198435395,0,left,-0.26914704,1.21375346,0.65623718,0.06456812,-0.68179888,0.10878603,0.72051846
1759198435395,1,right,-0.26596814,1.21843809,0.72417170,0.06456812,-0.68179888,0.10878603,0.72051846
1759198435419,0,left,-0.26918319,1.21368134,0.65622413,0.06458332,-0.68171752,0.10879356,0.72059294
1759198435419,1,right,-0.26598939,1.21836710,0.72415793,0.06458332,-0.68171752,0.10879356,0.72059294
1759198435471,0,left,-0.26919916,1.21368283,0.65623522,0.06442202,-0.68170065,0.10849370,0.72066854
1759198435471,1,right,-0.26599333,1.21835542,0.72416937,0.06442202,-0.68170065,0.10849370,0.72066854
1759198435505,0,left,-0.26918823,1.21390212,0.65634030,0.06476991,-0.68169713,0.10858666,0.72062668
1759198435505,1,right,-0.26598448,1.21855092,0.72427612,0.06476991,-0.68169713,0.10858666,0.72062668
1759198435565,0,left,-0.26929054,1.21398225,0.65637577,0.06469088,-0.68177348,0.10861332,0.72055753
1759198435565,1,right,-0.26610181,1.21863928,0.72431171,0.06469088,-0.68177348,0.10861332,0.72055753
