# Session Metadata: 45e1uPoP,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
45e1uPoP,pose,1755651356074,0.00320792,1.67443728,-0.00721383,0.05489058,-0.02043844,0.03814970,0.99755396,normal
45e1uPoP,pose,1755651356089,0.00342703,1.67447871,-0.00743985,0.05475410,-0.02084565,0.03814728,0.99755312,normal
45e1uPoP,pose,1755651356090,0.00370336,1.67454153,-0.00771952,0.05459857,-0.02135976,0.03815488,0.99755048,normal
45e1uPoP,pose,1755651356102,0.00403214,1.67462033,-0.00806022,0.05454112,-0.02203130,0.03817781,0.99753814,normal
45e1uPoP,pose,1755651356113,0.00434208,1.67467839,-0.00841641,0.05447208,-0.02277738,0.03829148,0.99752080,normal
45e1uPoP,pose,1755651356124,0.00463748,1.67473048,-0.00875282,0.05442106,-0.02349466,0.03839372,0.99750302,normal
45e1uPoP,pose,1755651356135,0.00491214,1.67477787,-0.00909686,0.05445553,-0.02419697,0.03847446,0.99748124,normal
45e1uPoP,pose,1755651356146,0.00518274,1.67483169,-0.00942302,0.05452046,-0.02481534,0.03858085,0.99745839,normal
45e1uPoP,pose,1755651356156,0.00546002,1.67488158,-0.00978732,0.05467414,-0.02541286,0.03872492,0.99742935,normal
45e1uPoP,pose,1755651356167,0.00571632,1.67491376,-0.01013875,0.05476652,-0.02596855,0.03883940,0.99740552,normal
45e1uPoP,pose,1755651356178,0.00597095,1.67491049,-0.01051283,0.05478037,-0.02647095,0.03901664,0.99738463,normal
45e1uPoP,pose,1755651356190,0.00622869,1.67488492,-0.01087308,0.05456758,-0.02691023,0.03919109,0.99737770,normal
45e1uPoP,pose,1755651356201,0.00647569,1.67484176,-0.01122546,0.05431807,-0.02726423,0.03928202,0.99737813,normal
45e1uPoP,pose,1755651356212,0.00671196,1.67480296,-0.01157904,0.05412025,-0.02756798,0.03926949,0.99738103,normal
45e1uPoP,pose,1755651356223,0.00692749,1.67476213,-0.01191211,0.05406910,-0.02785739,0.03921384,0.99737795,normal
45e1uPoP,pose,1755651356234,0.00715303,1.67469716,-0.01228333,0.05434769,-0.02818264,0.03917089,0.99735536,normal
45e1uPoP,pose,1755651356245,0.00737739,1.67461586,-0.01265597,0.05474964,-0.02847143,0.03921216,0.99732355,normal
45e1uPoP,pose,1755651356256,0.00759649,1.67456913,-0.01302528,0.05506213,-0.02874104,0.03923906,0.99729755,normal
45e1uPoP,pose,1755651356268,0.00782156,1.67453229,-0.01339555,0.05546982,-0.02893136,0.03924366,0.99726928,normal
45e1uPoP,pose,1755651356279,0.00803852,1.67451841,-0.01377344,0.05581235,-0.02902300,0.03931462,0.99724471,normal
45e1uPoP,pose,1755651356290,0.00826049,1.67450458,-0.01413655,0.05607284,-0.02913031,0.03941710,0.99722292,normal
45e1uPoP,pose,1755651356301,0.00848341,1.67446381,-0.01449990,0.05625031,-0.02924770,0.03946908,0.99720743,normal
45e1uPoP,pose,1755651356312,0.00870252,1.67441994,-0.01485109,0.05625187,-0.02939853,0.03939400,0.99720588,normal
45e1uPoP,pose,1755651356323,0.00895023,1.67435116,-0.01520848,0.05607482,-0.02953312,0.03938129,0.99721238,normal
45e1uPoP,pose,1755651356335,0.00919151,1.67426556,-0.01555157,0.05571989,-0.02974214,0.03937414,0.99722634,normal
45e1uPoP,pose,1755651356346,0.00945401,1.67416698,-0.01588202,0.05528177,-0.02991440,0.03932616,0.99724747,normal
45e1uPoP,pose,1755651356357,0.00969338,1.67408019,-0.01619554,0.05481610,-0.03016160,0.03927406,0.99726778,normal
45e1uPoP,pose,1755651356368,0.00995564,1.67399460,-0.01648831,0.05432102,-0.03039261,0.03926825,0.99728808,normal
