# Session Metadata: 5lskeKSb,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
5lskeKSb,pose,1756816747770,0.00025165,1.20294481,-0.00101614,0.08496602,-0.00229046,0.03123659,0.99589146,normal
5lskeKSb,pose,1756816747781,0.00024879,1.20293055,-0.00102854,0.08491742,-0.00228602,0.03126256,0.99589480,normal
5lskeKSb,pose,1756816747788,0.00024146,1.20291672,-0.00104114,0.08491842,-0.00226071,0.03129946,0.99589362,normal
5lskeKSb,pose,1756816747797,0.00023079,1.20292129,-0.00105196,0.08497378,-0.00220791,0.03132825,0.99588811,normal
5lskeKSb,pose,1756816747808,0.00020933,1.20294130,-0.00106505,0.08507005,-0.00219795,0.03137494,0.99587844,normal
5lskeKSb,pose,1756816747819,0.00019199,1.20295867,-0.00108348,0.08518635,-0.00219476,0.03146719,0.99586560,normal
5lskeKSb,pose,1756816747830,0.00017440,1.20297156,-0.00110473,0.08530386,-0.00217682,0.03152027,0.99585390,normal
5lskeKSb,pose,1756816747841,0.00015992,1.20297962,-0.00112250,0.08536600,-0.00214610,0.03157650,0.99584686,normal
5lskeKSb,pose,1756816747852,0.00014687,1.20297566,-0.00114191,0.08540313,-0.00212547,0.03159688,0.99584307,normal
5lskeKSb,pose,1756816747863,0.00013378,1.20296683,-0.00116728,0.08543864,-0.00208184,0.03160432,0.99583988,normal
5lskeKSb,pose,1756816747874,0.00011829,1.20296237,-0.00119638,0.08541951,-0.00201866,0.03162195,0.99584109,normal
5lskeKSb,pose,1756816747885,0.00009483,1.20294779,-0.00122796,0.08542703,-0.00195852,0.03161598,0.99584076,normal
5lskeKSb,pose,1756816747896,0.00008291,1.20295190,-0.00123298,0.08533176,-0.00185695,0.03158053,0.99585025,normal
5lskeKSb,pose,1756816747907,0.00007316,1.20295497,-0.00122751,0.08530499,-0.00182816,0.03155884,0.99585328,normal
5lskeKSb,pose,1756816747918,0.00006187,1.20295958,-0.00122136,0.08526886,-0.00180534,0.03151357,0.99585785,normal
5lskeKSb,pose,1756816747929,0.00006402,1.20295984,-0.00122564,0.08520646,-0.00175914,0.03148103,0.99586430,normal
5lskeKSb,pose,1756816747941,0.00006914,1.20295067,-0.00123832,0.08519468,-0.00177070,0.03145083,0.99586624,normal
5lskeKSb,pose,1756816747952,0.00007641,1.20293268,-0.00125077,0.08520126,-0.00178027,0.03146062,0.99586536,normal
5lskeKSb,pose,1756816747963,0.00007886,1.20291698,-0.00125052,0.08520312,-0.00184259,0.03149179,0.99586410,normal
5lskeKSb,pose,1756816747974,0.00008273,1.20290805,-0.00123464,0.08521053,-0.00194499,0.03151662,0.99586248,normal
5lskeKSb,pose,1756816747985,0.00008702,1.20289643,-0.00121820,0.08527680,-0.00205281,0.03146072,0.99585836,normal
5lskeKSb,pose,1756816747996,0.00008810,1.20289759,-0.00120455,0.08520179,-0.00215614,0.03143486,0.99586538,normal
