# Session Metadata: DKMnOdUG,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
DKMnOdUG,pose,1759198516072,-0.27487358,1.21225780,0.71240479,0.05383789,-0.72277713,0.05813816,0.68652361,normal
DKMnOdUG,pose,1759198516102,-0.27428120,1.21201858,0.71262640,0.05265991,-0.72312516,0.05682324,0.68635855,normal
DKMnOdUG,pose,1759198516125,-0.27400360,1.21190673,0.71262687,0.05239662,-0.72310883,0.05664537,0.68641061,normal
DKMnOdUG,pose,1759198516158,-0.27392641,1.21173397,0.71256864,0.05192187,-0.72301191,0.05648465,0.68656200,normal
DKMnOdUG,pose,1759198516180,-0.27379909,1.21157792,0.71251279,0.05153622,-0.72302073,0.05605391,0.68661707,normal
DKMnOdUG,pose,1759198516225,-0.27370366,1.21149710,0.71247834,0.05115735,-0.72290987,0.05597090,0.68676889,normal
DKMnOdUG,pose,1759198516236,-0.27356789,1.21150008,0.71236265,0.05120233,-0.72282070,0.05633245,0.68682983,normal
DKMnOdUG,pose,1759198516258,-0.27354905,1.21158791,0.71226114,0.05154972,-0.72272098,0.05650252,0.68689481,normal
DKMnOdUG,pose,1759198516280,-0.27351972,1.21162677,0.71222526,0.05163514,-0.72272474,0.05612083,0.68691573,normal
DKMnOdUG,pose,1759198516292,-0.27353555,1.21164730,0.71221036,0.05139909,-0.72269684,0.05603502,0.68696979,normal
DKMnOdUG,pose,1759198516314,-0.27354637,1.21166980,0.71218151,0.05113735,-0.72261607,0.05607441,0.68707106,normal
DKMnOdUG,pose,1759198516336,-0.27358088,1.21168163,0.71217120,0.05105389,-0.72254783,0.05615486,0.68714247,normal
DKMnOdUG,pose,1759198516348,-0.27367771,1.21169186,0.71216881,0.05119728,-0.72254556,0.05617014,0.68713293,normal
DKMnOdUG,pose,1759198516359,-0.27373016,1.21169043,0.71216232,0.05141155,-0.72255850,0.05618239,0.68710233,normal
DKMnOdUG,pose,1759198516369,-0.27376211,1.21170130,0.71214557,0.05156372,-0.72253549,0.05623558,0.68711077,normal
DKMnOdUG,pose,1759198516394,-0.27379024,1.21170408,0.71212798,0.05167656,-0.72251409,0.05643470,0.68710847,normal
DKMnOdUG,pose,1759198516426,-0.27384281,1.21173567,0.71210021,0.05196068,-0.72237265,0.05692477,0.68719532,normal
DKMnOdUG,pose,1759198516437,-0.27394077,1.21172535,0.71202075,0.05221857,-0.72222459,0.05739736,0.68729208,normal
DKMnOdUG,pose,1759198516460,-0.27399915,1.21170023,0.71197146,0.05235261,-0.72222006,0.05755890,0.68727313,normal
DKMnOdUG,pose,1759198516470,-0.27402154,1.21172723,0.71197832,0.05235254,-0.72217464,0.05774165,0.68730554,normal
DKMnOdUG,pose,1759198516482,-0.27402312,1.21174389,0.71197611,0.05262728,-0.72214079,0.05766722,0.68732637,normal
DKMnOdUG,pose,1759198516494,-0.27403417,1.21177667,0.71197391,0.05261020,-0.72219300,0.05761271,0.68727739,normal
DKMnOdUG,pose,1759198516518,-0.27405027,1.21179742,0.71198791,0.05258965,-0.72222024,0.05758769,0.68725244,normal
DKMnOdUG,pose,1759198516532,-0.27407441,1.21181428,0.71201056,0.05260606,-0.72227895,0.05757716,0.68719036,normal
DKMnOdUG,pose,1759198516552,-0.27408540,1.21180323,0.71203047,0.05258653,-0.72236901,0.05761516,0.68709399,normal
DKMnOdUG,pose,1759198516583,-0.27410939,1.21179587,0.71207505,0.05259151,-0.72252196,0.05768183,0.68692718,normal
DKMnOdUG,pose,1759198516605,-0.27415779,1.21178904,0.71213120,0.05273448,-0.72271401,0.05754171,0.68672592,normal
DKMnOdUG,pose,1759198516616,-0.27419159,1.21177998,0.71215487,0.05299911,-0.72272903,0.05763726,0.68668173,normal
DKMnOdUG,pose,1759198516648,-0.27423981,1.21179625,0.71213663,0.05334787,-0.72264135,0.05797704,0.68671839,normal
DKMnOdUG,pose,1759198516659,-0.27429041,1.21180084,0.71210629,0.05357364,-0.72262043,0.05807405,0.68671463,normal
DKMnOdUG,pose,1759198516724,-0.27432272,1.21180803,0.71211058,0.05370850,-0.72259766,0.05807565,0.68672792,normal
