# Session Metadata: a2Wxlq1p,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
a2Wxlq1p,pose,1761615243904,0.05136776,1.62165552,0.20172501,0.18529517,0.05308379,0.04313802,0.98029941,normal
a2Wxlq1p,pose,1761615243915,0.05136275,1.62165910,0.20172215,0.18524874,0.05314915,0.04311376,0.98030570,normal
a2Wxlq1p,pose,1761615243926,0.05136299,1.62167853,0.20172119,0.18527941,0.05317618,0.04310567,0.98029880,normal
a2Wxlq1p,pose,1761615243937,0.05135465,1.62172511,0.20173550,0.18531946,0.05313077,0.04304802,0.98029622,normal
a2Wxlq1p,pose,1761615243949,0.05135298,1.62176543,0.20175076,0.18536368,0.05310710,0.04297901,0.98029217,normal
a2Wxlq1p,pose,1761615243960,0.05136108,1.62178308,0.20174694,0.18532416,0.05304842,0.04296181,0.98030358,normal
a2Wxlq1p,pose,1761615243971,0.05136943,1.62177029,0.20171738,0.18527087,0.05297141,0.04296909,0.98031750,normal
a2Wxlq1p,pose,1761615243982,0.05138254,1.62175277,0.20169544,0.18517160,0.05291820,0.04304523,0.98033579,normal
a2Wxlq1p,pose,1761615243993,0.05139279,1.62174442,0.20167065,0.18502230,0.05288109,0.04311762,0.98036280,normal
a2Wxlq1p,pose,1761615244005,0.05140138,1.62173006,0.20164394,0.18485467,0.05281549,0.04315458,0.98039633,normal
a2Wxlq1p,pose,1761615244016,0.05141854,1.62170315,0.20161724,0.18466142,0.05280774,0.04314361,0.98043364,normal
a2Wxlq1p,pose,1761615244027,0.05145526,1.62164575,0.20158005,0.18442644,0.05275060,0.04312987,0.98048155,normal
a2Wxlq1p,pose,1761615244039,0.05149412,1.62157929,0.20154285,0.18422102,0.05269560,0.04307359,0.98052560,normal
a2Wxlq1p,pose,1761615244049,0.05153298,1.62151793,0.20150566,0.18409248,0.05262971,0.04300529,0.98055628,normal
a2Wxlq1p,pose,1761615244061,0.05155683,1.62148720,0.20147896,0.18391323,0.05259334,0.04300498,0.98059188,normal
a2Wxlq1p,pose,1761615244072,0.05157638,1.62146685,0.20146084,0.18388179,0.05258398,0.04294636,0.98060085,normal
a2Wxlq1p,pose,1761615244083,0.05159950,1.62145874,0.20144463,0.18376134,0.05258085,0.04296718,0.98062268,normal
a2Wxlq1p,pose,1761615244094,0.05161762,1.62145019,0.20143795,0.18368477,0.05253520,0.04295460,0.98064003,normal
a2Wxlq1p,pose,1761615244105,0.05163717,1.62144715,0.20143318,0.18366883,0.05252852,0.04293455,0.98064425,normal
a2Wxlq1p,pose,1761615244116,0.05165720,1.62144479,0.20143127,0.18364479,0.05247145,0.04290911,0.98065292,normal
a2Wxlq1p,pose,1761615244127,0.05165362,1.62150109,0.20146656,0.18363760,0.05244605,0.04285160,0.98065814,normal
a2Wxlq1p,pose,1761615244138,0.05163431,1.62157658,0.20150757,0.18364388,0.05236715,0.04279222,0.98066377,normal
a2Wxlq1p,pose,1761615244150,0.05162048,1.62165383,0.20155144,0.18367265,0.05230547,0.04278133,0.98066215,normal
a2Wxlq1p,pose,1761615244161,0.05162668,1.62168726,0.20158195,0.18370086,0.05223974,0.04276149,0.98066124,normal
a2Wxlq1p,pose,1761615244173,0.05164075,1.62170961,0.20159626,0.18381632,0.05221926,0.04278956,0.98063947,normal
a2Wxlq1p,pose,1761615244183,0.05164671,1.62173450,0.20161915,0.18388779,0.05223846,0.04282892,0.98062333,normal
a2Wxlq1p,pose,1761615244194,0.05164194,1.62175325,0.20165157,0.18394164,0.05224730,0.04284001,0.98061227,normal
a2Wxlq1p,pose,1761615244205,0.05163527,1.62177226,0.20167828,0.18398816,0.05229759,0.04289279,0.98059856,normal
a2Wxlq1p,pose,1761615244216,0.05161619,1.62179586,0.20170498,0.18403861,0.05235511,0.04294489,0.98058374,normal
a2Wxlq1p,pose,1761615244228,0.05160856,1.62179306,0.20173073,0.18425014,0.05253308,0.04301071,0.98053161,normal
a2Wxlq1p,pose,1761615244239,0.05159712,1.62178096,0.20175076,0.18446863,0.05264100,0.04304211,0.98048336,normal
a2Wxlq1p,pose,1761615244250,0.05158973,1.62176690,0.20177174,0.18448642,0.05275749,0.04311656,0.98047048,normal
a2Wxlq1p,pose,1761615244261,0.05157351,1.62178096,0.20178509,0.18464837,0.05284385,0.04308886,0.98043656,normal
a2Wxlq1p,pose,1761615244273,0.05155563,1.62182903,0.20180702,0.18491479,0.05299046,0.04302133,0.98038140,normal
a2Wxlq1p,pose,1761615244283,0.05153823,1.62187752,0.20182037,0.18511429,0.05316546,0.04291221,0.98033906,normal
a2Wxlq1p,pose,1761615244295,0.05151701,1.62190941,0.20183182,0.18518847,0.05324986,0.04284413,0.98032345,normal
a2Wxlq1p,pose,1761615244300,0.05150580,1.62193212,0.20184135,0.18519214,0.05328571,0.04284595,0.98032073,normal
a2Wxlq1p,pose,1761615244306,0.05149817,1.62194771,0.20184994,0.18526784,0.05335129,0.04285925,0.98030228,normal
a2Wxlq1p,pose,1761615244315,0.05148625,1.62197611,0.20185852,0.18535723,0.05344237,0.04289932,0.98027866,normal
a2Wxlq1p,pose,1761615244326,0.05146718,1.62200749,0.20187473,0.18545962,0.05354798,0.04296321,0.98025074,normal
a2Wxlq1p,pose,1761615244337,0.05145264,1.62204093,0.20191002,0.18551369,0.05363447,0.04307395,0.98023092,normal
a2Wxlq1p,pose,1761615244348,0.05144310,1.62206802,0.20193577,0.18548792,0.05365290,0.04317183,0.98023048,normal
a2Wxlq1p,pose,1761615244360,0.05143785,1.62207392,0.20194626,0.18552011,0.05367152,0.04318408,0.98022283,normal
