# Session Metadata: hEYlLzaP,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
hEYlLzaP,pose,1761618048292,0.00193644,1.66902077,-0.00022411,0.12332764,-0.01231889,0.07860421,0.98917133,normal
hEYlLzaP,pose,1761618048310,0.00205779,1.66906798,-0.00020790,0.12331860,-0.01243855,0.07864852,0.98916744,normal
hEYlLzaP,pose,1761618048320,0.00234437,1.66912645,-0.00024486,0.12322538,-0.01280353,0.07864468,0.98917470,normal
hEYlLzaP,pose,1761618048327,0.00249720,1.66913992,-0.00028062,0.12318483,-0.01297723,0.07862662,0.98917892,normal
hEYlLzaP,pose,1761618048338,0.00268555,1.66915619,-0.00032949,0.12308897,-0.01326227,0.07865180,0.98918508,normal
hEYlLzaP,pose,1761618048349,0.00288010,1.66916746,-0.00039148,0.12314487,-0.01351044,0.07861171,0.98917795,normal
hEYlLzaP,pose,1761618048361,0.00307989,1.66918391,-0.00046611,0.12314588,-0.01377136,0.07857810,0.98917689,normal
hEYlLzaP,pose,1761618048372,0.00326777,1.66920143,-0.00054646,0.12318297,-0.01401776,0.07852040,0.98917340,normal
hEYlLzaP,pose,1761618048383,0.00346088,1.66921061,-0.00063777,0.12321016,-0.01418014,0.07844858,0.98917339,normal
hEYlLzaP,pose,1761618048394,0.00366354,1.66920221,-0.00069880,0.12321360,-0.01441321,0.07838283,0.98917481,normal
hEYlLzaP,pose,1761618048405,0.00385523,1.66918921,-0.00076008,0.12331943,-0.01458493,0.07827568,0.98916759,normal
hEYlLzaP,pose,1761618048417,0.00404978,1.66918176,-0.00082064,0.12335917,-0.01478118,0.07825608,0.98916127,normal
hEYlLzaP,pose,1761618048428,0.00422668,1.66918498,-0.00091529,0.12331747,-0.01490560,0.07822600,0.98916698,normal
hEYlLzaP,pose,1761618048439,0.00440073,1.66917676,-0.00101924,0.12327617,-0.01506318,0.07822393,0.98916991,normal
hEYlLzaP,pose,1761618048450,0.00457478,1.66916710,-0.00112987,0.12314897,-0.01521577,0.07816856,0.98918779,normal
hEYlLzaP,pose,1761618048461,0.00475526,1.66915071,-0.00124788,0.12303310,-0.01536651,0.07807991,0.98920688,normal
hEYlLzaP,pose,1761618048472,0.00492859,1.66912538,-0.00137639,0.12282085,-0.01555553,0.07802881,0.98923434,normal
hEYlLzaP,pose,1761618048484,0.00509977,1.66908455,-0.00151253,0.12257798,-0.01569249,0.07793792,0.98926946,normal
hEYlLzaP,pose,1761618048495,0.00524092,1.66902488,-0.00163150,0.12230849,-0.01582587,0.07784565,0.98930796,normal
hEYlLzaP,pose,1761618048506,0.00538158,1.66895467,-0.00175548,0.12205030,-0.01595937,0.07784018,0.98933813,normal
hEYlLzaP,pose,1761618048517,0.00552630,1.66886473,-0.00189376,0.12176414,-0.01607320,0.07779035,0.98937546,normal
hEYlLzaP,pose,1761618048528,0.00569320,1.66880053,-0.00204444,0.12151744,-0.01619089,0.07770716,0.98941041,normal
hEYlLzaP,pose,1761618048539,0.00588489,1.66872531,-0.00220633,0.12120618,-0.01635756,0.07768030,0.98944796,normal
hEYlLzaP,pose,1761618048550,0.00605774,1.66867757,-0.00235248,0.12084993,-0.01651868,0.07757384,0.98949721,normal
hEYlLzaP,pose,1761618048562,0.00624323,1.66861784,-0.00251508,0.12052712,-0.01670413,0.07743802,0.98954411,normal
hEYlLzaP,pose,1761618048572,0.00643778,1.66856790,-0.00267911,0.12019303,-0.01688905,0.07738212,0.98958598,normal
hEYlLzaP,pose,1761618048583,0.00663495,1.66852254,-0.00284386,0.11995610,-0.01707676,0.07723971,0.98962263,normal
hEYlLzaP,pose,1761618048594,0.00684667,1.66850722,-0.00298762,0.11968880,-0.01731911,0.07713572,0.98965889,normal
hEYlLzaP,pose,1761618048605,0.00705075,1.66848224,-0.00313020,0.11949158,-0.01755463,0.07695109,0.98969295,normal
hEYlLzaP,pose,1761618048617,0.00726700,1.66847521,-0.00325012,0.11917179,-0.01773784,0.07677061,0.98974225,normal
hEYlLzaP,pose,1761618048628,0.00745416,1.66841185,-0.00340343,0.11881891,-0.01797287,0.07672282,0.98978414,normal
hEYlLzaP,pose,1761618048639,0.00764108,1.66835999,-0.00355315,0.11847922,-0.01816490,0.07665267,0.98982679,normal
hEYlLzaP,pose,1761618048650,0.00784445,1.66832048,-0.00369716,0.11812840,-0.01831161,0.07665095,0.98986615,normal
hEYlLzaP,pose,1761618048662,0.00803089,1.66825956,-0.00386071,0.11790863,-0.01846430,0.07660111,0.98989338,normal
hEYlLzaP,pose,1761618048673,0.00821686,1.66817856,-0.00402021,0.11756037,-0.01860109,0.07647205,0.98994221,normal
hEYlLzaP,pose,1761618048684,0.00839829,1.66809487,-0.00416517,0.11712485,-0.01871972,0.07633046,0.99000253,normal
hEYlLzaP,pose,1761618048695,0.00857687,1.66804123,-0.00426936,0.11652141,-0.01879804,0.07621217,0.99008136,normal
hEYlLzaP,pose,1761618048706,0.00872898,1.66797256,-0.00441098,0.11610327,-0.01888096,0.07611073,0.99013671,normal
hEYlLzaP,pose,1761618048717,0.00889397,1.66787791,-0.00456119,0.11590052,-0.01883933,0.07597070,0.99017201,normal
hEYlLzaP,pose,1761618048729,0.00907087,1.66780186,-0.00472617,0.11554163,-0.01881415,0.07599009,0.99021294,normal
hEYlLzaP,pose,1761618048740,0.00923252,1.66774619,-0.00488544,0.11519318,-0.01878978,0.07594128,0.99025774,normal
hEYlLzaP,pose,1761618048751,0.00939894,1.66769999,-0.00504804,0.11498055,-0.01873289,0.07585840,0.99028988,normal
hEYlLzaP,pose,1761618048762,0.00957870,1.66765338,-0.00522542,0.11488508,-0.01865967,0.07577001,0.99030911,normal
hEYlLzaP,pose,1761618048773,0.00974464,1.66761810,-0.00539804,0.11466596,-0.01860243,0.07561241,0.99034763,normal
hEYlLzaP,pose,1761618048784,0.00991130,1.66758728,-0.00555730,0.11444202,-0.01858646,0.07537315,0.99039207,normal
hEYlLzaP,pose,1761618048796,0.01011729,1.66757816,-0.00567818,0.11414441,-0.01862940,0.07527422,0.99043313,normal
hEYlLzaP,pose,1761618048807,0.01032543,1.66754454,-0.00577092,0.11378663,-0.01862452,0.07514898,0.99048390,normal
hEYlLzaP,pose,1761618048818,0.01054096,1.66749865,-0.00590301,0.11333712,-0.01870795,0.07507965,0.99053912,normal
hEYlLzaP,pose,1761618048829,0.01074409,1.66744131,-0.00603724,0.11287582,-0.01880652,0.07504885,0.99059226,normal
hEYlLzaP,pose,1761618048840,0.01094413,1.66740358,-0.00619292,0.11252756,-0.01897043,0.07496764,0.99063491,normal
hEYlLzaP,pose,1761618048888,0.01190233,1.66721314,-0.00684738,0.11192671,-0.01973657,0.07428342,0.99073955,normal
hEYlLzaP,pose,1761618048912,0.01235723,1.66702855,-0.00705862,0.11151655,-0.02008350,0.07409875,0.99079266,normal
hEYlLzaP,pose,1761618048933,0.01280165,1.66690356,-0.00729465,0.11099284,-0.02055168,0.07385726,0.99085989,normal
hEYlLzaP,pose,1761618048948,0.01313543,1.66681367,-0.00746989,0.11060065,-0.02090663,0.07372931,0.99090585,normal
hEYlLzaP,pose,1761618048961,0.01342297,1.66675699,-0.00763535,0.11043015,-0.02115595,0.07352375,0.99093484,normal
hEYlLzaP,pose,1761618048973,0.01372385,1.66671038,-0.00779581,0.11039673,-0.02129597,0.07348104,0.99093874,normal
hEYlLzaP,pose,1761618048986,0.01401615,1.66671854,-0.00792933,0.11026644,-0.02142006,0.07319809,0.99097151,normal
hEYlLzaP,pose,1761618048998,0.01430941,1.66670686,-0.00805783,0.11036204,-0.02156463,0.07297107,0.99097447,normal
hEYlLzaP,pose,1761618049009,0.01463056,1.66670489,-0.00815892,0.11033795,-0.02172983,0.07282515,0.99098428,normal
hEYlLzaP,pose,1761618049021,0.01488018,1.66668111,-0.00825620,0.11010708,-0.02190040,0.07259114,0.99102338,normal
hEYlLzaP,pose,1761618049033,0.01513577,1.66661835,-0.00840116,0.10994622,-0.02212847,0.07240929,0.99104947,normal
hEYlLzaP,pose,1761618049045,0.01541829,1.66659212,-0.00851655,0.10961956,-0.02237378,0.07223658,0.99109275,normal
hEYlLzaP,pose,1761618049056,0.01567531,1.66658044,-0.00866508,0.10943478,-0.02267707,0.07207691,0.99111790,normal
hEYlLzaP,pose,1761618049068,0.01593471,1.66657960,-0.00879121,0.10938735,-0.02285014,0.07187140,0.99113409,normal
hEYlLzaP,pose,1761618049080,0.01619101,1.66654748,-0.00895762,0.10948175,-0.02309863,0.07171088,0.99112953,normal
hEYlLzaP,pose,1761618049091,0.01642323,1.66652709,-0.00906873,0.10938182,-0.02333123,0.07153765,0.99114764,normal
hEYlLzaP,pose,1761618049103,0.01666284,1.66650224,-0.00916934,0.10922541,-0.02351751,0.07137891,0.99117193,normal
hEYlLzaP,pose,1761618049114,0.01686621,1.66649503,-0.00926399,0.10901109,-0.02374059,0.07121573,0.99120194,normal
hEYlLzaP,pose,1761618049126,0.01711011,1.66649777,-0.00939846,0.10881311,-0.02395649,0.07104877,0.99123048,normal
hEYlLzaP,pose,1761618049137,0.01734519,1.66649622,-0.00953770,0.10877222,-0.02414352,0.07081737,0.99124699,normal
hEYlLzaP,pose,1761618049148,0.01756573,1.66648948,-0.00965714,0.10868565,-0.02436364,0.07054213,0.99127073,normal
hEYlLzaP,pose,1761618049160,0.01780534,1.66648167,-0.00979209,0.10872476,-0.02452861,0.07039355,0.99127293,normal
hEYlLzaP,pose,1761618049171,0.01804256,1.66648656,-0.00993323,0.10885529,-0.02466892,0.07020605,0.99126842,normal
hEYlLzaP,pose,1761618049182,0.01825857,1.66650486,-0.01005507,0.10886700,-0.02481680,0.07004436,0.99127488,normal
hEYlLzaP,pose,1761618049193,0.01844072,1.66653144,-0.01014948,0.10896237,-0.02491044,0.06992775,0.99127029,normal
hEYlLzaP,pose,1761618049205,0.01865101,1.66653144,-0.01024914,0.10905563,-0.02491127,0.06983826,0.99126632,normal
hEYlLzaP,pose,1761618049216,0.01883316,1.66653109,-0.01036930,0.10909340,-0.02504467,0.06979383,0.99126193,normal
hEYlLzaP,pose,1761618049227,0.01903534,1.66653687,-0.01051784,0.10904316,-0.02507776,0.06968501,0.99127428,normal
hEYlLzaP,pose,1761618049238,0.01923561,1.66653746,-0.01068759,0.10902972,-0.02514654,0.06955416,0.99128320,normal
hEYlLzaP,pose,1761618049250,0.01942658,1.66653782,-0.01083255,0.10896568,-0.02520149,0.06942840,0.99129767,normal
hEYlLzaP,pose,1761618049261,0.01961660,1.66653484,-0.01101637,0.10906042,-0.02525492,0.06931589,0.99129376,normal
hEYlLzaP,pose,1761618049272,0.01979661,1.66653258,-0.01117992,0.10910028,-0.02529736,0.06924249,0.99129342,normal
hEYlLzaP,pose,1761618049283,0.01997948,1.66651058,-0.01136661,0.10919832,-0.02534105,0.06914915,0.99128803,normal
hEYlLzaP,pose,1761618049295,0.02015209,1.66646069,-0.01153159,0.10918838,-0.02534911,0.06913021,0.99129024,normal
