# Session Metadata: LjAkDQw6,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
LjAkDQw6,pose,1761618661287,-0.18090391,1.49221231,0.09797844,0.08365115,0.31869152,0.05149227,0.94275487,normal
LjAkDQw6,pose,1761618661295,-0.18101501,1.49221748,0.09774712,0.08389469,0.31812876,0.05199103,0.94289591,normal
LjAkDQw6,pose,1761618661305,-0.18108916,1.49221332,0.09761572,0.08390478,0.31784105,0.05214656,0.94298345,normal
LjAkDQw6,pose,1761618661318,-0.18116665,1.49221048,0.09749925,0.08389453,0.31764612,0.05236461,0.94303796,normal
LjAkDQw6,pose,1761618661328,-0.18124962,1.49220258,0.09739542,0.08388097,0.31760471,0.05257581,0.94304136,normal
LjAkDQw6,pose,1761618661340,-0.18134475,1.49217982,0.09730208,0.08388106,0.31756438,0.05279010,0.94304297,normal
LjAkDQw6,pose,1761618661351,-0.18143225,1.49213339,0.09720454,0.08382063,0.31755604,0.05302296,0.94303808,normal
LjAkDQw6,pose,1761618661363,-0.18151617,1.49208409,0.09710795,0.08388797,0.31759937,0.05319579,0.94300777,normal
LjAkDQw6,pose,1761618661374,-0.18160093,1.49203459,0.09702158,0.08386289,0.31767797,0.05340898,0.94297147,normal
LjAkDQw6,pose,1761618661385,-0.18169308,1.49199138,0.09694046,0.08389379,0.31779907,0.05353968,0.94292051,normal
LjAkDQw6,pose,1761618661396,-0.18178725,1.49194741,0.09687701,0.08379316,0.31797513,0.05366239,0.94286313,normal
LjAkDQw6,pose,1761618661408,-0.18187380,1.49188849,0.09682122,0.08377914,0.31823566,0.05370441,0.94277407,normal
LjAkDQw6,pose,1761618661419,-0.18196023,1.49185159,0.09678987,0.08369054,0.31844417,0.05371460,0.94271096,normal
LjAkDQw6,pose,1761618661431,-0.18204272,1.49182316,0.09676105,0.08378674,0.31865678,0.05374411,0.94262888,normal
LjAkDQw6,pose,1761618661442,-0.18213141,1.49179788,0.09673384,0.08382278,0.31888554,0.05372721,0.94254928,normal
LjAkDQw6,pose,1761618661453,-0.18222868,1.49177940,0.09670514,0.08377975,0.31909481,0.05370033,0.94248381,normal
LjAkDQw6,pose,1761618661464,-0.18232214,1.49177396,0.09667528,0.08379764,0.31928935,0.05363711,0.94241993,normal
