# Session Metadata: VUEV3gmJ,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
VUEV3gmJ,pose,1761621733056,-0.04568153,1.59662035,0.02108993,0.08753513,0.38796767,0.00226559,0.91750398,normal
VUEV3gmJ,pose,1761621733065,-0.04566949,1.59662139,0.02107718,0.08768198,0.38778495,0.00227804,0.91756717,normal
VUEV3gmJ,pose,1761621733076,-0.04565185,1.59662732,0.02106757,0.08789703,0.38758164,0.00222856,0.91763262,normal
VUEV3gmJ,pose,1761621733089,-0.04561660,1.59664459,0.02105926,0.08812341,0.38736663,0.00213250,0.91770192,normal
VUEV3gmJ,pose,1761621733099,-0.04558741,1.59666327,0.02106133,0.08827778,0.38721026,0.00218983,0.91775294,normal
VUEV3gmJ,pose,1761621733110,-0.04556236,1.59668040,0.02106529,0.08831996,0.38708168,0.00233785,0.91780275,normal
VUEV3gmJ,pose,1761621733124,-0.04554733,1.59668914,0.02106459,0.08808854,0.38698417,0.00252083,0.91786562,normal
VUEV3gmJ,pose,1761621733134,-0.04555026,1.59668159,0.02105292,0.08777093,0.38688494,0.00275106,0.91793722,normal
VUEV3gmJ,pose,1761621733142,-0.04555969,1.59666304,0.02102688,0.08755900,0.38671540,0.00291150,0.91802840,normal
VUEV3gmJ,pose,1761621733156,-0.04558146,1.59663399,0.02099486,0.08740911,0.38661339,0.00299694,0.91808537,normal
VUEV3gmJ,pose,1761621733165,-0.04560111,1.59660775,0.02096588,0.08739880,0.38655094,0.00312103,0.91811224,normal
VUEV3gmJ,pose,1761621733176,-0.04561684,1.59658616,0.02094159,0.08733901,0.38649827,0.00319566,0.91813985,normal
VUEV3gmJ,pose,1761621733187,-0.04563222,1.59656862,0.02092506,0.08736411,0.38645709,0.00336005,0.91815420,normal
VUEV3gmJ,pose,1761621733199,-0.04564430,1.59655704,0.02091648,0.08752528,0.38649053,0.00339252,0.91812466,normal
VUEV3gmJ,pose,1761621733211,-0.04565496,1.59655342,0.02092222,0.08760593,0.38653271,0.00348489,0.91809886,normal
VUEV3gmJ,pose,1761621733222,-0.04566591,1.59655516,0.02093912,0.08778298,0.38660563,0.00348405,0.91805125,normal
VUEV3gmJ,pose,1761621733234,-0.04567011,1.59656576,0.02096566,0.08809710,0.38669322,0.00344298,0.91798442,normal
VUEV3gmJ,pose,1761621733244,-0.04566336,1.59658434,0.02099489,0.08833911,0.38677969,0.00333108,0.91792515,normal
VUEV3gmJ,pose,1761621733255,-0.04565374,1.59660873,0.02103231,0.08839822,0.38679782,0.00323858,0.91791215,normal
VUEV3gmJ,pose,1761621733265,-0.04564511,1.59662862,0.02106198,0.08837555,0.38692367,0.00321904,0.91786136,normal
VUEV3gmJ,pose,1761621733277,-0.04563990,1.59664373,0.02108617,0.08843925,0.38704209,0.00321829,0.91780529,normal
VUEV3gmJ,pose,1761621733288,-0.04564042,1.59665825,0.02111614,0.08860552,0.38729489,0.00320708,0.91768265,normal
VUEV3gmJ,pose,1761621733300,-0.04564373,1.59667267,0.02114947,0.08881061,0.38759961,0.00316223,0.91753432,normal
VUEV3gmJ,pose,1761621733311,-0.04565659,1.59668782,0.02119604,0.08902616,0.38806025,0.00319301,0.91731859,normal
VUEV3gmJ,pose,1761621733322,-0.04568082,1.59670967,0.02127026,0.08929567,0.38859290,0.00320704,0.91706682,normal
VUEV3gmJ,pose,1761621733333,-0.04571424,1.59672940,0.02135175,0.08941076,0.38934054,0.00318118,0.91673853,normal
VUEV3gmJ,pose,1761621733345,-0.04575768,1.59674663,0.02144067,0.08945954,0.39007760,0.00312594,0.91642058,normal
VUEV3gmJ,pose,1761621733355,-0.04581179,1.59675935,0.02153401,0.08947273,0.39087969,0.00306799,0.91607766,normal
VUEV3gmJ,pose,1761621733368,-0.04587345,1.59676788,0.02162822,0.08947146,0.39170903,0.00292750,0.91572394,normal
VUEV3gmJ,pose,1761621733379,-0.04594208,1.59677792,0.02173475,0.08968604,0.39252029,0.00274089,0.91535607,normal
VUEV3gmJ,pose,1761621733390,-0.04599723,1.59679128,0.02183147,0.08990455,0.39339413,0.00263917,0.91495971,normal
VUEV3gmJ,pose,1761621733399,-0.04605331,1.59681384,0.02194875,0.09027315,0.39424794,0.00244474,0.91455637,normal
VUEV3gmJ,pose,1761621733412,-0.04610776,1.59684410,0.02208032,0.09063228,0.39512547,0.00239814,0.91414217,normal
VUEV3gmJ,pose,1761621733424,-0.04616646,1.59687444,0.02221810,0.09074549,0.39600612,0.00238962,0.91374980,normal
VUEV3gmJ,pose,1761621733435,-0.04623034,1.59689879,0.02235046,0.09077222,0.39680362,0.00230027,0.91340133,normal
VUEV3gmJ,pose,1761621733451,-0.04629523,1.59691647,0.02247062,0.09077384,0.39752121,0.00215892,0.91308944,normal
VUEV3gmJ,pose,1761621733456,-0.04635755,1.59692911,0.02257737,0.09072960,0.39821179,0.00196265,0.91279333,normal
VUEV3gmJ,pose,1761621733465,-0.04640883,1.59693770,0.02266159,0.09073773,0.39887811,0.00173733,0.91250200,normal
VUEV3gmJ,pose,1761621733476,-0.04645589,1.59694759,0.02274344,0.09075449,0.39941093,0.00150848,0.91226765,normal
VUEV3gmJ,pose,1761621733487,-0.04649132,1.59696177,0.02281943,0.09097660,0.39992584,0.00121684,0.91202034,normal
VUEV3gmJ,pose,1761621733498,-0.04651482,1.59698318,0.02289540,0.09125358,0.40040856,0.00101208,0.91178108,normal
VUEV3gmJ,pose,1761621733510,-0.04652966,1.59701428,0.02298073,0.09154280,0.40070633,0.00087945,0.91162140,normal
VUEV3gmJ,pose,1761621733521,-0.04653612,1.59704550,0.02305566,0.09170334,0.40099680,0.00075625,0.91147764,normal
VUEV3gmJ,pose,1761621733532,-0.04654125,1.59707384,0.02312281,0.09179726,0.40118566,0.00077230,0.91138506,normal
VUEV3gmJ,pose,1761621733543,-0.04654425,1.59709824,0.02317891,0.09182248,0.40132706,0.00071042,0.91132032,normal
VUEV3gmJ,pose,1761621733555,-0.04655271,1.59711404,0.02322383,0.09181311,0.40151077,0.00069566,0.91124035,normal
VUEV3gmJ,pose,1761621733566,-0.04655924,1.59712655,0.02325928,0.09186577,0.40161278,0.00054305,0.91119019,normal
VUEV3gmJ,pose,1761621733577,-0.04655717,1.59714080,0.02328710,0.09205247,0.40170204,0.00026562,0.91113212,normal
VUEV3gmJ,pose,1761621733588,-0.04654149,1.59716306,0.02331431,0.09234432,0.40176817,0.00001323,0.91107347,normal
VUEV3gmJ,pose,1761621733599,-0.04651270,1.59719290,0.02334045,0.09256034,0.40189067,-0.00016069,0.91099750,normal
VUEV3gmJ,pose,1761621733613,-0.04648448,1.59722645,0.02337551,0.09259240,0.40208062,-0.00028512,0.91091039,normal
