# Session Metadata: sXsudx5A,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
sXsudx5A,pose,1764040052542,0.08429086,0.92400259,-0.10079646,0.03677554,-0.11090168,0.02939161,0.99271572,normal
sXsudx5A,pose,1764040052545,0.08439893,0.92398137,-0.10072100,0.03717459,-0.11131529,0.02977874,0.99264303,normal
sXsudx5A,pose,1764040052556,0.08450472,0.92400819,-0.10063696,0.03768187,-0.11160785,0.03007147,0.99258222,normal
sXsudx5A,pose,1764040052567,0.08460438,0.92404902,-0.10055637,0.03824939,-0.11190433,0.03047173,0.99251493,normal
sXsudx5A,pose,1764040052578,0.08469230,0.92412716,-0.10050368,0.03856037,-0.11215336,0.03066749,0.99246875,normal
sXsudx5A,pose,1764040052589,0.08478147,0.92416805,-0.10045075,0.03874593,-0.11247448,0.03096368,0.99241599,normal
sXsudx5A,pose,1764040052600,0.08486265,0.92419678,-0.10038018,0.03848539,-0.11281663,0.03116681,0.99238093,normal
sXsudx5A,pose,1764040052611,0.08495617,0.92420876,-0.10028672,0.03848373,-0.11307365,0.03136144,0.99234561,normal
sXsudx5A,pose,1764040052622,0.08504403,0.92423826,-0.10017586,0.03834287,-0.11330539,0.03146829,0.99232125,normal
sXsudx5A,pose,1764040052634,0.08513045,0.92425400,-0.10008144,0.03836695,-0.11352399,0.03160997,0.99229083,normal
sXsudx5A,pose,1764040052645,0.08519936,0.92425257,-0.10001016,0.03838193,-0.11366853,0.03165998,0.99227211,normal
sXsudx5A,pose,1764040052656,0.08525538,0.92423874,-0.09995508,0.03828538,-0.11365021,0.03175006,0.99227506,normal
sXsudx5A,pose,1764040052667,0.08529866,0.92422742,-0.09990358,0.03823280,-0.11363778,0.03191284,0.99227329,normal
sXsudx5A,pose,1764040052678,0.08535284,0.92421007,-0.09982479,0.03828924,-0.11339016,0.03190760,0.99229961,normal
sXsudx5A,pose,1764040052689,0.08539122,0.92420739,-0.09977102,0.03835621,-0.11339176,0.03193953,0.99229581,normal
sXsudx5A,pose,1764040052700,0.08543986,0.92420226,-0.09974217,0.03881496,-0.11304400,0.03189747,0.99231900,normal
sXsudx5A,pose,1764040052711,0.08547777,0.92420530,-0.09974837,0.03915525,-0.11283535,0.03190337,0.99232919,normal
sXsudx5A,pose,1764040052735,0.08554041,0.92416781,-0.09973812,0.03903456,-0.11231970,0.03166731,0.99240000,normal
sXsudx5A,pose,1764040052746,0.08557469,0.92417997,-0.09964824,0.03889162,-0.11200342,0.03179170,0.99243739,normal
sXsudx5A,pose,1764040052757,0.08559918,0.92419720,-0.09953630,0.03890629,-0.11170495,0.03184205,0.99246884,normal
