# Session Metadata: 3SyjDU2g,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
3SyjDU2g,pose,1768772891630,-0.19668531,1.63334709,0.36656356,0.09594644,0.32484269,0.04083638,0.94000207,normal
3SyjDU2g,pose,1768772891636,-0.19652474,1.63340044,0.36652434,0.09608900,0.32489342,0.04077819,0.93997251,normal
3SyjDU2g,pose,1768772891647,-0.19649529,1.63341993,0.36648619,0.09609731,0.32493449,0.04077430,0.93995763,normal
3SyjDU2g,pose,1768772891659,-0.19647038,1.63343471,0.36643338,0.09613838,0.32497174,0.04079387,0.93993970,normal
3SyjDU2g,pose,1768772891671,-0.19642806,1.63341796,0.36637616,0.09622865,0.32498600,0.04064971,0.93993178,normal
3SyjDU2g,pose,1768772891682,-0.19638383,1.63340551,0.36633658,0.09607748,0.32497016,0.04046359,0.93996075,normal
3SyjDU2g,pose,1768772891698,-0.19634950,1.63340729,0.36630929,0.09563211,0.32496877,0.04048106,0.94000589,normal
3SyjDU2g,pose,1768772891705,-0.19633079,1.63342166,0.36627984,0.09564147,0.32499663,0.04049096,0.93999488,normal
3SyjDU2g,pose,1768772891716,-0.19632077,1.63345414,0.36624706,0.09564633,0.32509704,0.04064601,0.93995298,normal
3SyjDU2g,pose,1768772891728,-0.19632542,1.63347846,0.36621797,0.09578713,0.32530654,0.04075178,0.93986157,normal
3SyjDU2g,pose,1768772891740,-0.19633496,1.63345170,0.36620367,0.09581716,0.32560332,0.04085987,0.93975104,normal
3SyjDU2g,pose,1768772891751,-0.19633567,1.63339996,0.36619473,0.09571047,0.32579580,0.04100040,0.93968908,normal
3SyjDU2g,pose,1768772891762,-0.19633007,1.63332742,0.36617851,0.09563047,0.32594113,0.04107304,0.93964365,normal
3SyjDU2g,pose,1768772891774,-0.19631898,1.63330019,0.36614966,0.09553949,0.32606591,0.04111155,0.93960793,normal
3SyjDU2g,pose,1768772891786,-0.19630945,1.63327706,0.36611521,0.09556361,0.32615816,0.04109989,0.93957397,normal
3SyjDU2g,pose,1768772891797,-0.19630241,1.63327235,0.36608589,0.09559272,0.32625137,0.04102900,0.93954175,normal
