# Session Metadata: mj2halGE,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
mj2halGE,pose,1769226742037,0.42704535,1.68550712,0.49257970,0.20006366,0.28677518,0.02559206,0.93652527,normal
mj2halGE,pose,1769226742049,0.42703962,1.68552017,0.49278569,0.20025643,0.28757976,0.02588367,0.93622929,normal
mj2halGE,pose,1769226742059,0.42704344,1.68553269,0.49298263,0.20041800,0.28836803,0.02606229,0.93594725,normal
mj2halGE,pose,1769226742070,0.42706776,1.68552613,0.49314570,0.20065050,0.28920777,0.02620797,0.93563422,normal
mj2halGE,pose,1769226742081,0.42710972,1.68550140,0.49327254,0.20078867,0.29003619,0.02634561,0.93534423,normal
mj2halGE,pose,1769226742092,0.42716122,1.68548232,0.49338460,0.20097761,0.29088757,0.02639247,0.93503789,normal
mj2halGE,pose,1769226742103,0.42721701,1.68547153,0.49348450,0.20127244,0.29165739,0.02640183,0.93473436,normal
mj2halGE,pose,1769226742114,0.42730188,1.68547720,0.49357152,0.20151764,0.29244137,0.02647262,0.93443453,normal
mj2halGE,pose,1769226742127,0.42740440,1.68549740,0.49364758,0.20171224,0.29317049,0.02656575,0.93416139,normal
mj2halGE,pose,1769226742137,0.42755651,1.68551815,0.49368620,0.20201323,0.29386423,0.02657837,0.93387797,normal
mj2halGE,pose,1769226742148,0.42775297,1.68555027,0.49370432,0.20219582,0.29448278,0.02660092,0.93364294,normal
mj2halGE,pose,1769226742159,0.42796612,1.68558371,0.49369931,0.20241185,0.29501318,0.02651587,0.93343108,normal
mj2halGE,pose,1769226742171,0.42815971,1.68561280,0.49367762,0.20268914,0.29544476,0.02637500,0.93323838,normal
mj2halGE,pose,1769226742181,0.42835855,1.68565208,0.49364328,0.20293075,0.29582710,0.02619723,0.93306974,normal
mj2halGE,pose,1769226742192,0.42855883,1.68570656,0.49359584,0.20312697,0.29609692,0.02587358,0.93295048,normal
mj2halGE,pose,1769226742204,0.42876959,1.68576878,0.49354267,0.20331712,0.29626245,0.02554596,0.93286554,normal
mj2halGE,pose,1769226742215,0.42898941,1.68582475,0.49347973,0.20342346,0.29636502,0.02524611,0.93281794,normal
mj2halGE,pose,1769226742226,0.42923021,1.68585783,0.49339771,0.20340376,0.29639692,0.02505767,0.93281718,normal
mj2halGE,pose,1769226742237,0.42944717,1.68588454,0.49330926,0.20339984,0.29640727,0.02492794,0.93281822,normal
mj2halGE,pose,1769226742248,0.42966223,1.68590283,0.49321365,0.20334566,0.29635030,0.02485864,0.93284998,normal
mj2halGE,pose,1769226742259,0.42986727,1.68594009,0.49311519,0.20325889,0.29621290,0.02475833,0.93291520,normal
mj2halGE,pose,1769226742271,0.43008995,1.68596566,0.49300480,0.20321676,0.29603474,0.02453638,0.93298679,normal
mj2halGE,pose,1769226742282,0.43030739,1.68599802,0.49289870,0.20314962,0.29570049,0.02421576,0.93311577,normal
mj2halGE,pose,1769226742293,0.43053770,1.68601811,0.49278045,0.20306222,0.29534231,0.02404298,0.93325269,normal
mj2halGE,pose,1769226742304,0.43076706,1.68603629,0.49265146,0.20292401,0.29498810,0.02396819,0.93339670,normal
mj2halGE,pose,1769226742315,0.43098354,1.68604553,0.49251914,0.20280013,0.29464341,0.02403085,0.93353087,normal
mj2halGE,pose,1769226742326,0.43120193,1.68604171,0.49235797,0.20273746,0.29437948,0.02410628,0.93362580,normal
mj2halGE,pose,1769226742337,0.43146753,1.68603641,0.49217653,0.20258932,0.29411209,0.02435717,0.93373571,normal
mj2halGE,pose,1769226742349,0.43177032,1.68600488,0.49196100,0.20241160,0.29391580,0.02456920,0.93383050,normal
mj2halGE,pose,1769226742360,0.43206787,1.68595976,0.49171686,0.20223086,0.29377908,0.02473361,0.93390834,normal
mj2halGE,pose,1769226742371,0.43234205,1.68593025,0.49151778,0.20195831,0.29370284,0.02490783,0.93398666,normal
mj2halGE,pose,1769226742382,0.43260527,1.68589562,0.49132609,0.20162239,0.29374416,0.02509777,0.93404116,normal
mj2halGE,pose,1769226742393,0.43287659,1.68585658,0.49111843,0.20124453,0.29381701,0.02526007,0.93409536,normal
mj2halGE,pose,1769226742404,0.43315887,1.68581307,0.49090457,0.20088061,0.29399422,0.02534382,0.93411566,normal
mj2halGE,pose,1769226742415,0.43345833,1.68577534,0.49065685,0.20062932,0.29421204,0.02534513,0.93410105,normal
mj2halGE,pose,1769226742426,0.43376827,1.68574077,0.49040294,0.20044105,0.29441093,0.02519267,0.93408293,normal
mj2halGE,pose,1769226742438,0.43410158,1.68572021,0.49013090,0.20033139,0.29451778,0.02485516,0.93408181,normal
mj2halGE,pose,1769226742449,0.43444395,1.68570560,0.48984027,0.20038344,0.29452818,0.02438892,0.93407966,normal
mj2halGE,pose,1769226742460,0.43480587,1.68570769,0.48953795,0.20045754,0.29445088,0.02384730,0.93410211,normal
mj2halGE,pose,1769226742471,0.43517208,1.68570429,0.48920560,0.20053723,0.29421871,0.02339602,0.93416958,normal
mj2halGE,pose,1769226742482,0.43555450,1.68569070,0.48883533,0.20065460,0.29398310,0.02291162,0.93423055,normal
mj2halGE,pose,1769226742493,0.43595505,1.68567461,0.48846984,0.20067075,0.29361377,0.02256503,0.93435166,normal
mj2halGE,pose,1769226742504,0.43635511,1.68567115,0.48808980,0.20057398,0.29309803,0.02222253,0.93454255,normal
mj2halGE,pose,1769226742515,0.43672132,1.68567961,0.48767233,0.20055303,0.29244806,0.02177960,0.93476107,normal
mj2halGE,pose,1769226742527,0.43709660,1.68569314,0.48725057,0.20059628,0.29168595,0.02139537,0.93499876,normal
mj2halGE,pose,1769226742538,0.43748713,1.68572539,0.48676872,0.20064186,0.29086954,0.02102683,0.93525164,normal
mj2halGE,pose,1769226742549,0.43789959,1.68578142,0.48627543,0.20057331,0.29008348,0.02063571,0.93551916,normal
