# Session Metadata: lHJmPtaO,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
lHJmPtaO,pose,1769292982538,-0.10717224,0.76748277,0.91870606,0.12809097,0.04081047,0.01452551,0.99081594,normal
lHJmPtaO,pose,1769292982610,-0.10718791,0.38276077,0.91855568,0.12771869,0.04083944,0.01461914,0.99086142,normal
lHJmPtaO,pose,1769292982612,0.00001179,0.44290414,-0.00016522,0.12646336,-0.00256164,0.02015376,0.99176322,normal
lHJmPtaO,pose,1769292982624,0.00001764,0.44286362,-0.00025272,0.12628301,-0.00248851,0.02004640,0.99178856,normal
lHJmPtaO,pose,1769292982654,0.00003125,0.44273918,-0.00042778,0.12567697,-0.00220893,0.01962993,0.99187453,normal
lHJmPtaO,pose,1769292982668,0.00002459,0.44268369,-0.00050086,0.12540724,-0.00211289,0.01952335,0.99191098,normal
lHJmPtaO,pose,1769292982678,0.00001955,0.44264708,-0.00055945,0.12529506,-0.00210329,0.01951301,0.99192538,normal
lHJmPtaO,pose,1769292982689,0.00001499,0.44261776,-0.00062180,0.12510134,-0.00203918,0.01948665,0.99195049,normal
lHJmPtaO,pose,1769292982701,0.00001736,0.44259427,-0.00066578,0.12504858,-0.00201606,0.01943118,0.99195827,normal
lHJmPtaO,pose,1769292982713,0.00002253,0.44256708,-0.00070077,0.12496918,-0.00188230,0.01943183,0.99196853,normal
lHJmPtaO,pose,1769292982724,0.00002511,0.44254693,-0.00073081,0.12481833,-0.00178822,0.01931308,0.99199002,normal
lHJmPtaO,pose,1769292982735,0.00002864,0.44253189,-0.00075513,0.12477129,-0.00175627,0.01924604,0.99199729,normal
lHJmPtaO,pose,1769292982747,0.00003344,0.44251325,-0.00077778,0.12477158,-0.00175809,0.01927182,0.99199675,normal
lHJmPtaO,pose,1769292982759,0.00001609,0.44250294,-0.00080341,0.12469689,-0.00180817,0.01930703,0.99200537,normal
lHJmPtaO,pose,1769292982770,0.00000215,0.44248288,-0.00083315,0.12466021,-0.00182670,0.01937346,0.99200865,normal
lHJmPtaO,pose,1769292982781,-0.00001362,0.44247035,-0.00085294,0.12454591,-0.00186028,0.01933347,0.99202373,normal
lHJmPtaO,pose,1769292982793,-0.00000161,0.44246236,-0.00085586,0.12454244,-0.00192533,0.01928490,0.99202498,normal
lHJmPtaO,pose,1769292982804,0.00001082,0.44245529,-0.00085533,0.12453719,-0.00205185,0.01929651,0.99202516,normal
lHJmPtaO,pose,1769292982815,0.00002640,0.44245244,-0.00083905,0.12452497,-0.00222499,0.01928224,0.99202660,normal
lHJmPtaO,pose,1769292982827,0.00004584,0.44244182,-0.00082725,0.12460702,-0.00242835,0.01934447,0.99201461,normal
lHJmPtaO,pose,1769292982838,0.00005752,0.44243177,-0.00081903,0.12463304,-0.00243129,0.01935094,0.99201121,normal
lHJmPtaO,pose,1769292982850,0.00005548,0.44243002,-0.00082093,0.12469834,-0.00243827,0.01936861,0.99200264,normal
lHJmPtaO,pose,1769292982860,0.00005452,0.44243137,-0.00083059,0.12480344,-0.00236357,0.01943403,0.99198832,normal
lHJmPtaO,pose,1769292982872,0.00004980,0.44244095,-0.00083667,0.12489136,-0.00226695,0.01949363,0.99197631,normal
lHJmPtaO,pose,1769292982883,0.00004901,0.44245038,-0.00084531,0.12512743,-0.00219287,0.01952949,0.99194603,normal
lHJmPtaO,pose,1769292982894,0.00004128,0.44247662,-0.00084245,0.12519519,-0.00210490,0.01944322,0.99193936,normal
lHJmPtaO,pose,1769292982905,0.00002399,0.44249991,-0.00084150,0.12522346,-0.00202127,0.01947391,0.99193536,normal
lHJmPtaO,pose,1769292982917,0.00000225,0.44252110,-0.00083864,0.12523746,-0.00179148,0.01941310,0.99193523,normal
lHJmPtaO,pose,1769292982928,-0.00001928,0.44254192,-0.00083017,0.12525839,-0.00170944,0.01947900,0.99193144,normal
lHJmPtaO,pose,1769292982939,-0.00003150,0.44255937,-0.00079727,0.12531876,-0.00166028,0.01950759,0.99192334,normal
lHJmPtaO,pose,1769292982950,-0.00004269,0.44257931,-0.00076312,0.12541246,-0.00172650,0.01948248,0.99191187,normal
lHJmPtaO,pose,1769292982961,-0.00005293,0.44260348,-0.00072569,0.12549053,-0.00181511,0.01948905,0.99190171,normal
lHJmPtaO,pose,1769292982973,-0.00005952,0.44262256,-0.00069350,0.12553311,-0.00184575,0.01951768,0.99189571,normal
lHJmPtaO,pose,1769292982984,-0.00007224,0.44263044,-0.00066680,0.12557286,-0.00190361,0.01948348,0.99189124,normal
lHJmPtaO,pose,1769292982995,-0.00007914,0.44262952,-0.00062644,0.12557291,-0.00186605,0.01945326,0.99189190,normal
lHJmPtaO,pose,1769292983006,-0.00008783,0.44262107,-0.00057620,0.12561802,-0.00187535,0.01946275,0.99188598,normal
lHJmPtaO,pose,1769292983020,-0.00009403,0.44261802,-0.00051403,0.12569873,-0.00190375,0.01947057,0.99187555,normal
lHJmPtaO,pose,1769292983028,-0.00009960,0.44261270,-0.00045985,0.12579188,-0.00191966,0.01951081,0.99186292,normal
lHJmPtaO,pose,1769292983039,-0.00010674,0.44260534,-0.00042021,0.12595561,-0.00193334,0.01956315,0.99184108,normal
lHJmPtaO,pose,1769292983050,-0.00011495,0.44260010,-0.00038469,0.12606550,-0.00188034,0.01970207,0.99182447,normal
lHJmPtaO,pose,1769292983062,-0.00013331,0.44259300,-0.00035542,0.12614818,-0.00192979,0.01975393,0.99181283,normal
lHJmPtaO,pose,1769292983073,-0.00014694,0.44257431,-0.00032002,0.12615581,-0.00186331,0.01982835,0.99181050,normal
lHJmPtaO,pose,1769292983084,-0.00017567,0.44254305,-0.00029069,0.12614517,-0.00181226,0.01986188,0.99181128,normal
lHJmPtaO,pose,1769292983095,-0.00020692,0.44251269,-0.00026655,0.12603253,-0.00178874,0.01992496,0.99182438,normal
lHJmPtaO,pose,1769292983106,-0.00022274,0.44247982,-0.00025076,0.12589207,-0.00170863,0.01997758,0.99184130,normal
lHJmPtaO,pose,1769292983117,-0.00023448,0.44244835,-0.00024885,0.12577089,-0.00173933,0.02004871,0.99185518,normal
lHJmPtaO,pose,1769292983129,-0.00023980,0.44241594,-0.00025564,0.12572681,-0.00181026,0.02005753,0.99186047,normal
lHJmPtaO,pose,1769292983140,-0.00024326,0.44237290,-0.00025904,0.12554004,-0.00198213,0.02022228,0.99188045,normal
lHJmPtaO,pose,1769292983151,-0.00023147,0.44232150,-0.00027221,0.12532643,-0.00204599,0.02020405,0.99190771,normal
lHJmPtaO,pose,1769292983162,-0.00019798,0.44227633,-0.00028807,0.12492039,-0.00201813,0.02011172,0.99196086,normal
lHJmPtaO,pose,1769292983173,-0.00016010,0.44222314,-0.00032234,0.12458543,-0.00211243,0.01995229,0.99200601,normal
lHJmPtaO,pose,1769292983184,-0.00013404,0.44216595,-0.00035459,0.12420724,-0.00221331,0.01993924,0.99205347,normal
lHJmPtaO,pose,1769292983195,-0.00012517,0.44210232,-0.00038707,0.12393491,-0.00229554,0.01993001,0.99208753,normal
lHJmPtaO,pose,1769292983207,-0.00011134,0.44204389,-0.00042832,0.12369272,-0.00231828,0.01991725,0.99211796,normal
lHJmPtaO,pose,1769292983218,-0.00010951,0.44198959,-0.00048172,0.12349535,-0.00230119,0.01972488,0.99214643,normal
lHJmPtaO,pose,1769292983229,-0.00010917,0.44194160,-0.00052577,0.12330124,-0.00217989,0.01961002,0.99217312,normal
lHJmPtaO,pose,1769292983240,-0.00011703,0.44190757,-0.00055474,0.12306918,-0.00212451,0.01955515,0.99220313,normal
lHJmPtaO,pose,1769292983251,-0.00012547,0.44187826,-0.00058782,0.12297514,-0.00196228,0.01954140,0.99221540,normal
lHJmPtaO,pose,1769292983263,-0.00014436,0.44187231,-0.00062186,0.12278924,-0.00178990,0.01953543,0.99223886,normal
lHJmPtaO,pose,1769292983274,-0.00015576,0.44186706,-0.00067002,0.12266995,-0.00164355,0.01966811,0.99225125,normal
lHJmPtaO,pose,1769292983285,-0.00016637,0.44185586,-0.00070888,0.12249021,-0.00146630,0.01974886,0.99227213,normal
lHJmPtaO,pose,1769292983296,-0.00016965,0.44182890,-0.00073904,0.12236152,-0.00134227,0.01976553,0.99228785,normal
lHJmPtaO,pose,1769292983307,-0.00017439,0.44179748,-0.00076634,0.12212584,-0.00131967,0.01981714,0.99231589,normal
lHJmPtaO,pose,1769292983318,-0.00017619,0.44174701,-0.00080234,0.12193903,-0.00117381,0.01981476,0.99233909,normal
lHJmPtaO,pose,1769292983329,-0.00018165,0.44169253,-0.00083876,0.12152366,-0.00106148,0.01980186,0.99239043,normal
lHJmPtaO,pose,1769292983341,-0.00018020,0.44163669,-0.00087345,0.12103634,-0.00097649,0.01987983,0.99244851,normal
lHJmPtaO,pose,1769292983352,-0.00017501,0.44158352,-0.00091141,0.12074969,-0.00095701,0.01991706,0.99248270,normal
lHJmPtaO,pose,1769292983363,-0.00015301,0.44153774,-0.00093234,0.12052441,-0.00081548,0.01987928,0.99251096,normal
lHJmPtaO,pose,1769292983374,-0.00014199,0.44150119,-0.00094593,0.12009034,-0.00098901,0.01999336,0.99256113,normal
lHJmPtaO,pose,1769292983385,-0.00012666,0.44144556,-0.00095695,0.12000801,-0.00094007,0.01989678,0.99257308,normal
lHJmPtaO,pose,1769292983396,-0.00010851,0.44140852,-0.00097376,0.11967645,-0.00112429,0.01994194,0.99261201,normal
lHJmPtaO,pose,1769292983407,-0.00007291,0.44138312,-0.00100738,0.11945921,-0.00135793,0.02008832,0.99263493,normal
lHJmPtaO,pose,1769292983419,-0.00002930,0.44135738,-0.00105065,0.11935011,-0.00163347,0.02009734,0.99264746,normal
lHJmPtaO,pose,1769292983430,0.00001608,0.44132073,-0.00108588,0.11927416,-0.00194928,0.02004015,0.99265717,normal
lHJmPtaO,pose,1769292983441,0.00005624,0.44127917,-0.00110412,0.11911361,-0.00207086,0.01983348,0.99268036,normal
lHJmPtaO,pose,1769292983452,0.00007921,0.44126444,-0.00113463,0.11891281,-0.00223240,0.01981519,0.99270445,normal
lHJmPtaO,pose,1769292983463,0.00009936,0.44128060,-0.00117183,0.11893069,-0.00227570,0.01973282,0.99270385,normal
lHJmPtaO,pose,1769292983474,0.00012556,0.44131211,-0.00121355,0.11894036,-0.00240957,0.01983633,0.99270031,normal
lHJmPtaO,pose,1769292983485,0.00015274,0.44133549,-0.00124329,0.11890039,-0.00257841,0.01993739,0.99270265,normal
lHJmPtaO,pose,1769292983496,0.00019397,0.44132788,-0.00125557,0.11899620,-0.00255923,0.01999697,0.99269002,normal
lHJmPtaO,pose,1769292983508,0.00022203,0.44131066,-0.00127149,0.11894127,-0.00279269,0.01968488,0.99270221,normal
lHJmPtaO,pose,1769292983519,0.00026968,0.44131087,-0.00129688,0.11862433,-0.00283265,0.01951381,0.99274340,normal
lHJmPtaO,pose,1769292983530,0.00031069,0.44127226,-0.00131255,0.11863205,-0.00264831,0.01951659,0.99274293,normal
lHJmPtaO,pose,1769292983541,0.00034320,0.44124986,-0.00131029,0.11843540,-0.00258887,0.01937019,0.99276943,normal
lHJmPtaO,pose,1769292983552,0.00038309,0.44124126,-0.00131345,0.11833177,-0.00265102,0.01930179,0.99278296,normal
lHJmPtaO,pose,1769292983564,0.00042374,0.44124549,-0.00135571,0.11825354,-0.00255129,0.01916170,0.99279526,normal
