# Session Metadata: 0oI5CKWv,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
0oI5CKWv,pose,1769294284287,-0.07304591,1.20141752,0.25212687,0.11736431,-0.11256063,0.03194181,0.98617212,normal
0oI5CKWv,pose,1769294284443,0.00098664,0.50248774,-0.00051039,0.11639829,-0.00405806,0.01819746,0.99302760,normal
0oI5CKWv,pose,1769294284453,0.00120479,0.50228958,-0.00068662,0.11547560,-0.00466168,0.01782141,0.99313949,normal
0oI5CKWv,pose,1769294284463,0.00129193,0.50223433,-0.00073260,0.11520008,-0.00490606,0.01766580,0.99317309,normal
0oI5CKWv,pose,1769294284497,0.00153834,0.50207747,-0.00082862,0.11421450,-0.00534636,0.01721194,0.99329261,normal
0oI5CKWv,pose,1769294284531,0.00177574,0.50198218,-0.00093585,0.11372352,-0.00564533,0.01672922,0.99335554,normal
0oI5CKWv,pose,1769294284543,0.00186992,0.50197073,-0.00097394,0.11358879,-0.00577256,0.01661313,0.99337217,normal
0oI5CKWv,pose,1769294284554,0.00194889,0.50195480,-0.00101486,0.11356287,-0.00589135,0.01644625,0.99337721,normal
0oI5CKWv,pose,1769294284565,0.00201905,0.50193263,-0.00105926,0.11343430,-0.00597948,0.01624498,0.99339469,normal
0oI5CKWv,pose,1769294284576,0.00208598,0.50188627,-0.00111619,0.11359888,-0.00602102,0.01619528,0.99337644,normal
0oI5CKWv,pose,1769294284588,0.00214899,0.50186636,-0.00115985,0.11330036,-0.00597820,0.01597016,0.99341444,normal
0oI5CKWv,pose,1769294284599,0.00221539,0.50186179,-0.00120059,0.11320020,-0.00595671,0.01590927,0.99342696,normal
0oI5CKWv,pose,1769294284610,0.00228220,0.50186068,-0.00123408,0.11312864,-0.00595170,0.01587565,0.99343568,normal
0oI5CKWv,pose,1769294284622,0.00234336,0.50186514,-0.00124630,0.11315267,-0.00610524,0.01567978,0.99343512,normal
0oI5CKWv,pose,1769294284633,0.00241899,0.50185826,-0.00124460,0.11315354,-0.00616252,0.01566382,0.99343492,normal
0oI5CKWv,pose,1769294284644,0.00249130,0.50185538,-0.00123593,0.11300481,-0.00624725,0.01564083,0.99345168,normal
0oI5CKWv,pose,1769294284656,0.00255555,0.50185015,-0.00123528,0.11289509,-0.00623316,0.01548695,0.99346666,normal
0oI5CKWv,pose,1769294284667,0.00261050,0.50184874,-0.00123590,0.11275585,-0.00620809,0.01532098,0.99348520,normal
0oI5CKWv,pose,1769294284678,0.00266618,0.50185179,-0.00122857,0.11265143,-0.00622663,0.01523734,0.99349822,normal
0oI5CKWv,pose,1769294284689,0.00272971,0.50184081,-0.00124446,0.11263340,-0.00634664,0.01512994,0.99350114,normal
0oI5CKWv,pose,1769294284701,0.00280422,0.50182253,-0.00125325,0.11266736,-0.00650606,0.01503304,0.99349773,normal
0oI5CKWv,pose,1769294284712,0.00288373,0.50179576,-0.00124735,0.11258287,-0.00670239,0.01491419,0.99350780,normal
0oI5CKWv,pose,1769294284723,0.00295788,0.50176499,-0.00120428,0.11243117,-0.00685525,0.01481184,0.99352546,normal
0oI5CKWv,pose,1769294284737,0.00302881,0.50172568,-0.00115523,0.11226540,-0.00698021,0.01469726,0.99354504,normal
0oI5CKWv,pose,1769294284745,0.00309879,0.50167769,-0.00110528,0.11210084,-0.00709835,0.01470285,0.99356270,normal
0oI5CKWv,pose,1769294284756,0.00316733,0.50163181,-0.00104770,0.11187128,-0.00715405,0.01470311,0.99358817,normal
0oI5CKWv,pose,1769294284768,0.00322914,0.50158118,-0.00099823,0.11169320,-0.00720933,0.01463919,0.99360875,normal
0oI5CKWv,pose,1769294284779,0.00328976,0.50152606,-0.00095305,0.11145958,-0.00719658,0.01459600,0.99363571,normal
0oI5CKWv,pose,1769294284790,0.00334620,0.50147104,-0.00091195,0.11123674,-0.00717536,0.01453809,0.99366169,normal
0oI5CKWv,pose,1769294284801,0.00340170,0.50141183,-0.00087118,0.11098539,-0.00715470,0.01444901,0.99369124,normal
0oI5CKWv,pose,1769294284813,0.00345093,0.50135165,-0.00082725,0.11069647,-0.00724939,0.01439778,0.99372352,normal
0oI5CKWv,pose,1769294284824,0.00350434,0.50128272,-0.00079456,0.11054877,-0.00731459,0.01431487,0.99374069,normal
0oI5CKWv,pose,1769294284835,0.00355047,0.50122090,-0.00076443,0.11030079,-0.00739530,0.01424485,0.99376865,normal
0oI5CKWv,pose,1769294284846,0.00360316,0.50116655,-0.00073776,0.10997797,-0.00739887,0.01418027,0.99380532,normal
0oI5CKWv,pose,1769294284857,0.00365090,0.50111303,-0.00071132,0.10966561,-0.00734156,0.01424429,0.99383935,normal
0oI5CKWv,pose,1769294284868,0.00369805,0.50108494,-0.00068438,0.10945186,-0.00756672,0.01412075,0.99386299,normal
0oI5CKWv,pose,1769294284879,0.00374132,0.50104176,-0.00066295,0.10947091,-0.00760061,0.01386458,0.99386424,normal
0oI5CKWv,pose,1769294284890,0.00378191,0.50102800,-0.00065094,0.10923474,-0.00773352,0.01375836,0.99389067,normal
0oI5CKWv,pose,1769294284902,0.00384754,0.50101108,-0.00063619,0.10936284,-0.00759822,0.01387430,0.99387602,normal
0oI5CKWv,pose,1769294284913,0.00386721,0.50100309,-0.00059867,0.10926896,-0.00784656,0.01369544,0.99388690,normal
0oI5CKWv,pose,1769294284924,0.00389719,0.50100105,-0.00055960,0.10927131,-0.00776631,0.01363066,0.99388816,normal
0oI5CKWv,pose,1769294284935,0.00391555,0.50099751,-0.00054717,0.10938044,-0.00772628,0.01356955,0.99387730,normal
0oI5CKWv,pose,1769294284946,0.00392526,0.50100618,-0.00052911,0.10943250,-0.00765354,0.01342857,0.99387405,normal
0oI5CKWv,pose,1769294284958,0.00393730,0.50102747,-0.00048456,0.10946522,-0.00763524,0.01335604,0.99387156,normal
0oI5CKWv,pose,1769294284969,0.00394452,0.50104880,-0.00044093,0.10964470,-0.00770438,0.01326158,0.99385251,normal
0oI5CKWv,pose,1769294284980,0.00395876,0.50108341,-0.00039697,0.10972634,-0.00762454,0.01313870,0.99384575,normal
0oI5CKWv,pose,1769294284991,0.00396717,0.50111038,-0.00036156,0.10977302,-0.00760850,0.01307481,0.99384156,normal
0oI5CKWv,pose,1769294285002,0.00396854,0.50111956,-0.00033095,0.10980276,-0.00762674,0.01311003,0.99383767,normal
0oI5CKWv,pose,1769294285013,0.00397998,0.50113326,-0.00029200,0.10991109,-0.00756928,0.01308755,0.99382643,normal
0oI5CKWv,pose,1769294285025,0.00397474,0.50115132,-0.00026223,0.10998726,-0.00754616,0.01308806,0.99381817,normal
0oI5CKWv,pose,1769294285036,0.00397706,0.50118730,-0.00023288,0.10995015,-0.00755811,0.01313915,0.99382151,normal
0oI5CKWv,pose,1769294285047,0.00399339,0.50120974,-0.00022203,0.11010211,-0.00750703,0.01317516,0.99380460,normal
0oI5CKWv,pose,1769294285058,0.00398690,0.50123285,-0.00019833,0.11017930,-0.00758237,0.01313649,0.99379599,normal
0oI5CKWv,pose,1769294285069,0.00399107,0.50126488,-0.00017676,0.11018277,-0.00764594,0.01315140,0.99379492,normal
0oI5CKWv,pose,1769294285080,0.00398684,0.50127392,-0.00017905,0.11031644,-0.00773862,0.01317946,0.99377900,normal
0oI5CKWv,pose,1769294285091,0.00398839,0.50129007,-0.00015801,0.11026055,-0.00776613,0.01319851,0.99378473,normal
0oI5CKWv,pose,1769294285103,0.00398803,0.50127606,-0.00014973,0.11031607,-0.00776815,0.01321262,0.99377837,normal
0oI5CKWv,pose,1769294285114,0.00397640,0.50128343,-0.00012484,0.11017802,-0.00774389,0.01321207,0.99379388,normal
0oI5CKWv,pose,1769294285125,0.00396246,0.50128980,-0.00013268,0.11018368,-0.00768065,0.01318973,0.99379404,normal
0oI5CKWv,pose,1769294285136,0.00394487,0.50130693,-0.00015086,0.11021577,-0.00765151,0.01320861,0.99379046,normal
0oI5CKWv,pose,1769294285147,0.00393468,0.50132294,-0.00017795,0.11034457,-0.00761262,0.01325012,0.99377591,normal
0oI5CKWv,pose,1769294285159,0.00393480,0.50134559,-0.00021502,0.11043770,-0.00764713,0.01329423,0.99376471,normal
0oI5CKWv,pose,1769294285170,0.00395608,0.50135993,-0.00025266,0.11049048,-0.00767794,0.01333368,0.99375808,normal
0oI5CKWv,pose,1769294285181,0.00398165,0.50136787,-0.00028613,0.11044033,-0.00777924,0.01335523,0.99376258,normal
0oI5CKWv,pose,1769294285192,0.00399894,0.50135949,-0.00031301,0.11037775,-0.00787774,0.01330195,0.99376947,normal
0oI5CKWv,pose,1769294285203,0.00401509,0.50133925,-0.00034359,0.11033129,-0.00797156,0.01323047,0.99377483,normal
0oI5CKWv,pose,1769294285214,0.00402886,0.50131805,-0.00037509,0.11025996,-0.00808436,0.01320506,0.99378218,normal
0oI5CKWv,pose,1769294285226,0.00403541,0.50129455,-0.00041178,0.11022497,-0.00816560,0.01314977,0.99378613,normal
0oI5CKWv,pose,1769294285237,0.00404876,0.50127022,-0.00044933,0.11022457,-0.00817129,0.01310902,0.99378666,normal
0oI5CKWv,pose,1769294285248,0.00406229,0.50125015,-0.00047794,0.11017328,-0.00815806,0.01309988,0.99379258,normal
0oI5CKWv,pose,1769294285259,0.00407791,0.50123858,-0.00049233,0.11011977,-0.00810838,0.01308226,0.99379915,normal
0oI5CKWv,pose,1769294285270,0.00409442,0.50122708,-0.00050244,0.11006783,-0.00811026,0.01300216,0.99380594,normal
0oI5CKWv,pose,1769294285281,0.00412154,0.50121217,-0.00050941,0.11000710,-0.00812742,0.01292398,0.99381354,normal
0oI5CKWv,pose,1769294285293,0.00416285,0.50117881,-0.00052357,0.10992152,-0.00817460,0.01283091,0.99382383,normal
0oI5CKWv,pose,1769294285304,0.00420445,0.50113825,-0.00054002,0.10980513,-0.00820878,0.01268451,0.99383829,normal
0oI5CKWv,pose,1769294285315,0.00423706,0.50110483,-0.00054950,0.10975060,-0.00816894,0.01253762,0.99384651,normal
0oI5CKWv,pose,1769294285326,0.00425184,0.50109945,-0.00054953,0.10979068,-0.00812486,0.01247615,0.99384322,normal
0oI5CKWv,pose,1769294285337,0.00426775,0.50111081,-0.00053969,0.10981747,-0.00807232,0.01244226,0.99384111,normal
0oI5CKWv,pose,1769294285348,0.00427908,0.50114164,-0.00053048,0.10992207,-0.00804737,0.01245090,0.99382964,normal
0oI5CKWv,pose,1769294285359,0.00429183,0.50115350,-0.00051582,0.11010708,-0.00800422,0.01245620,0.99380944,normal
