# Session Metadata: H9wc1Fsp,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
H9wc1Fsp,pose,1769294488319,-0.00768173,0.52977785,-0.03198171,0.18709408,0.10200107,0.01207238,0.97695744,normal
H9wc1Fsp,pose,1769294488358,-0.00766337,0.52969796,-0.03194835,0.18701421,0.10208238,0.01203348,0.97696472,normal
H9wc1Fsp,pose,1769294488361,-0.00764155,0.52962922,-0.03196382,0.18686627,0.10215596,0.01201054,0.97698562,normal
H9wc1Fsp,pose,1769294488372,-0.00764561,0.52964213,-0.03199113,0.18682275,0.10215093,0.01195410,0.97699516,normal
H9wc1Fsp,pose,1769294488403,-0.00764900,0.52965681,-0.03205656,0.18694806,0.10225675,0.01187097,0.97696114,normal
H9wc1Fsp,pose,1769294488417,-0.00765252,0.52966373,-0.03207272,0.18694942,0.10232102,0.01190635,0.97695372,normal
H9wc1Fsp,pose,1769294488429,-0.00765371,0.52967920,-0.03209523,0.18692206,0.10237915,0.01193463,0.97695252,normal
H9wc1Fsp,pose,1769294488440,-0.00764579,0.52968447,-0.03211951,0.18685936,0.10238124,0.01199871,0.97696351,normal
H9wc1Fsp,pose,1769294488451,-0.00761098,0.52966473,-0.03209469,0.18670586,0.10232815,0.01194724,0.97699905,normal
H9wc1Fsp,pose,1769294488463,-0.00756550,0.52962634,-0.03206881,0.18664560,0.10227600,0.01189994,0.97701660,normal
H9wc1Fsp,pose,1769294488475,-0.00751030,0.52958917,-0.03203313,0.18658149,0.10215988,0.01186579,0.97704141,normal
H9wc1Fsp,pose,1769294488486,-0.00747102,0.52959474,-0.03204399,0.18651751,0.10200453,0.01184245,0.97707014,normal
H9wc1Fsp,pose,1769294488498,-0.00743103,0.52959512,-0.03206336,0.18645560,0.10172765,0.01186849,0.97711050,normal
H9wc1Fsp,pose,1769294488509,-0.00739002,0.52958267,-0.03208001,0.18629539,0.10162260,0.01182264,0.97715255,normal
H9wc1Fsp,pose,1769294488520,-0.00735235,0.52955561,-0.03207389,0.18598448,0.10145567,0.01184172,0.97722889,normal
H9wc1Fsp,pose,1769294488532,-0.00730675,0.52950717,-0.03206319,0.18564701,0.10134521,0.01188663,0.97730397,normal
H9wc1Fsp,pose,1769294488543,-0.00728047,0.52945503,-0.03205509,0.18524879,0.10130265,0.01180632,0.97738491,normal
H9wc1Fsp,pose,1769294488554,-0.00725150,0.52940817,-0.03206787,0.18492573,0.10119016,0.01178143,0.97745804,normal
H9wc1Fsp,pose,1769294488566,-0.00722325,0.52939000,-0.03208111,0.18476305,0.10105095,0.01174398,0.97750366,normal
H9wc1Fsp,pose,1769294488577,-0.00719881,0.52939740,-0.03209310,0.18460525,0.10090039,0.01184443,0.97754781,normal
H9wc1Fsp,pose,1769294488588,-0.00717616,0.52934845,-0.03208915,0.18456750,0.10077173,0.01195008,0.97756692,normal
H9wc1Fsp,pose,1769294488600,-0.00715888,0.52929736,-0.03209125,0.18450382,0.10068271,0.01198800,0.97758765,normal
H9wc1Fsp,pose,1769294488611,-0.00714278,0.52925046,-0.03209501,0.18442414,0.10053566,0.01203640,0.97761723,normal
H9wc1Fsp,pose,1769294488622,-0.00712901,0.52924744,-0.03211960,0.18436103,0.10040573,0.01207338,0.97764203,normal
H9wc1Fsp,pose,1769294488633,-0.00712049,0.52924470,-0.03214605,0.18434283,0.10028977,0.01209373,0.97765711,normal
H9wc1Fsp,pose,1769294488645,-0.00710738,0.52925506,-0.03217030,0.18440064,0.10025856,0.01209274,0.97764942,normal
H9wc1Fsp,pose,1769294488656,-0.00710523,0.52926155,-0.03219036,0.18435376,0.10014254,0.01215071,0.97766943,normal
H9wc1Fsp,pose,1769294488667,-0.00709879,0.52925058,-0.03221696,0.18440909,0.10009874,0.01220692,0.97766278,normal
H9wc1Fsp,pose,1769294488685,-0.00709730,0.52923387,-0.03224219,0.18442990,0.10007942,0.01213692,0.97766171,normal
H9wc1Fsp,pose,1769294488688,-0.00708580,0.52923391,-0.03225812,0.18441222,0.10013467,0.01201080,0.97766094,normal
H9wc1Fsp,pose,1769294488699,-0.00708020,0.52924706,-0.03227918,0.18435254,0.10015456,0.01193069,0.97767114,normal
