# Session Metadata: 3LDK3ctl,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
3LDK3ctl,pose,1776629538470,-0.01872253,1.65758014,0.03988361,0.08574388,0.07005018,0.04730790,0.99272500,normal
3LDK3ctl,pose,1776629538506,0.00182438,1.73432732,-0.00137353,0.08091113,-0.01397908,0.05433854,0.99514084,normal
3LDK3ctl,pose,1776629538511,0.00235081,1.73385316,-0.00172663,0.07838714,-0.01662067,0.05438546,0.99529967,normal
3LDK3ctl,pose,1776629538522,0.00255013,1.73363018,-0.00182033,0.07734411,-0.01761496,0.05436206,0.99536544,normal
3LDK3ctl,pose,1776629538556,0.00308418,1.73311073,-0.00225759,0.07485782,-0.02011493,0.05429712,0.99551169,normal
3LDK3ctl,pose,1776629538567,0.00326681,1.73294789,-0.00235748,0.07413737,-0.02086544,0.05435525,0.99554698,normal
3LDK3ctl,pose,1776629538579,0.00345469,1.73277223,-0.00244474,0.07347988,-0.02152669,0.05442769,0.99557769,normal
3LDK3ctl,pose,1776629538590,0.00362682,1.73257673,-0.00252104,0.07261254,-0.02214408,0.05448037,0.99562490,normal
3LDK3ctl,pose,1776629538602,0.00380468,1.73239946,-0.00267601,0.07164334,-0.02273002,0.05437218,0.99568782,normal
3LDK3ctl,pose,1776629538614,0.00400066,1.73220879,-0.00282025,0.07068212,-0.02327162,0.05412024,0.99575774,normal
3LDK3ctl,pose,1776629538624,0.00421572,1.73203307,-0.00297236,0.06982799,-0.02390069,0.05376926,0.99582211,normal
3LDK3ctl,pose,1776629538636,0.00444984,1.73191112,-0.00309730,0.06910546,-0.02451318,0.05335688,0.99587980,normal
3LDK3ctl,pose,1776629538647,0.00467682,1.73182255,-0.00320649,0.06860837,-0.02511570,0.05307942,0.99591399,normal
3LDK3ctl,pose,1776629538659,0.00486946,1.73174936,-0.00332332,0.06834130,-0.02566585,0.05293157,0.99592619,normal
3LDK3ctl,pose,1776629538670,0.00504398,1.73168927,-0.00342345,0.06803880,-0.02611879,0.05264531,0.99595030,normal
3LDK3ctl,pose,1776629538681,0.00522518,1.73160130,-0.00350881,0.06774883,-0.02653807,0.05244800,0.99596939,normal
3LDK3ctl,pose,1776629538692,0.00540686,1.73149961,-0.00358987,0.06745310,-0.02692538,0.05226126,0.99598889,normal
3LDK3ctl,pose,1776629538704,0.00556898,1.73140377,-0.00368690,0.06701417,-0.02730712,0.05206300,0.99601851,normal
3LDK3ctl,pose,1776629538715,0.00571012,1.73128706,-0.00376058,0.06652631,-0.02770728,0.05191349,0.99604796,normal
3LDK3ctl,pose,1776629538726,0.00584602,1.73117524,-0.00383568,0.06632040,-0.02807585,0.05178808,0.99605790,normal
3LDK3ctl,pose,1776629538738,0.00599527,1.73111624,-0.00389290,0.06633657,-0.02831846,0.05168602,0.99605526,normal
3LDK3ctl,pose,1776629538749,0.00613117,1.73110539,-0.00394249,0.06655143,-0.02854106,0.05161123,0.99603845,normal
3LDK3ctl,pose,1776629538760,0.00625610,1.73112941,-0.00398445,0.06673051,-0.02872866,0.05160328,0.99602149,normal
3LDK3ctl,pose,1776629538771,0.00635052,1.73117602,-0.00402451,0.06688512,-0.02885321,0.05165420,0.99600488,normal
3LDK3ctl,pose,1776629538782,0.00643253,1.73121250,-0.00404811,0.06695203,-0.02891254,0.05164624,0.99599907,normal
3LDK3ctl,pose,1776629538793,0.00650024,1.73123640,-0.00405812,0.06692400,-0.02895135,0.05162861,0.99600075,normal
3LDK3ctl,pose,1776629538805,0.00656939,1.73123825,-0.00405240,0.06688058,-0.02899182,0.05165691,0.99600102,normal
3LDK3ctl,pose,1776629538816,0.00662708,1.73122865,-0.00405836,0.06694913,-0.02892778,0.05167343,0.99599742,normal
3LDK3ctl,pose,1776629538827,0.00666475,1.73122817,-0.00404239,0.06698347,-0.02873469,0.05171017,0.99599879,normal
3LDK3ctl,pose,1776629538838,0.00668430,1.73123187,-0.00398850,0.06704664,-0.02853084,0.05178240,0.99599665,normal
3LDK3ctl,pose,1776629538849,0.00670338,1.73123378,-0.00393438,0.06708347,-0.02817956,0.05178773,0.99600389,normal
3LDK3ctl,pose,1776629538860,0.00672913,1.73121858,-0.00390506,0.06710593,-0.02799314,0.05175354,0.99600941,normal
3LDK3ctl,pose,1776629538871,0.00676823,1.73119223,-0.00391173,0.06704168,-0.02789664,0.05170712,0.99601886,normal
3LDK3ctl,pose,1776629538883,0.00681877,1.73115712,-0.00391936,0.06692367,-0.02778763,0.05159102,0.99603586,normal
3LDK3ctl,pose,1776629538894,0.00688171,1.73110723,-0.00392962,0.06669864,-0.02771774,0.05150453,0.99605738,normal
3LDK3ctl,pose,1776629538905,0.00695515,1.73105305,-0.00393867,0.06637684,-0.02767876,0.05145209,0.99608267,normal
3LDK3ctl,pose,1776629538916,0.00703144,1.73098230,-0.00396585,0.06609099,-0.02766395,0.05142394,0.99610354,normal
3LDK3ctl,pose,1776629538927,0.00710011,1.73088843,-0.00400925,0.06559948,-0.02766365,0.05123415,0.99614582,normal
3LDK3ctl,pose,1776629538938,0.00717402,1.73076934,-0.00406361,0.06500967,-0.02770978,0.05109881,0.99619015,normal
3LDK3ctl,pose,1776629538949,0.00726748,1.73062533,-0.00413561,0.06426972,-0.02781886,0.05110374,0.99623487,normal
3LDK3ctl,pose,1776629538960,0.00736904,1.73046529,-0.00421929,0.06348205,-0.02801797,0.05107646,0.99628119,normal
3LDK3ctl,pose,1776629538972,0.00747490,1.73030096,-0.00430608,0.06275448,-0.02823541,0.05092312,0.99632900,normal
3LDK3ctl,pose,1776629538983,0.00759220,1.73014754,-0.00440621,0.06211573,-0.02843499,0.05080233,0.99636952,normal
3LDK3ctl,pose,1776629538994,0.00771713,1.73000473,-0.00453520,0.06149689,-0.02873352,0.05070765,0.99640416,normal
3LDK3ctl,pose,1776629539005,0.00785446,1.72985548,-0.00466728,0.06069753,-0.02899259,0.05059136,0.99645158,normal
3LDK3ctl,pose,1776629539024,0.00800133,1.72967857,-0.00481367,0.05971562,-0.02939314,0.05030726,0.99651356,normal
3LDK3ctl,pose,1776629539025,0.00813103,1.72951400,-0.00495887,0.05879673,-0.02977613,0.05025421,0.99655950,normal
3LDK3ctl,pose,1776629539037,0.00826406,1.72933388,-0.00514293,0.05784813,-0.03017631,0.05028025,0.99660167,normal
3LDK3ctl,pose,1776629539048,0.00839615,1.72917747,-0.00531149,0.05702472,-0.03050959,0.05029430,0.99663826,normal
3LDK3ctl,pose,1776629539059,0.00850201,1.72905922,-0.00547242,0.05622506,-0.03082150,0.05022920,0.99667738,normal
3LDK3ctl,pose,1776629539070,0.00863075,1.72890502,-0.00557661,0.05562251,-0.03114167,0.05019153,0.99670314,normal
