# Session Metadata: KA7YTc3T,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
KA7YTc3T,pose,1776629607535,0.00127459,1.71778217,-0.00200105,0.16889001,-0.02107856,0.10661758,0.97962470,normal
KA7YTc3T,pose,1776629607553,0.00136566,1.71779685,-0.00209951,0.16879993,-0.02115494,0.10656356,0.97964446,normal
KA7YTc3T,pose,1776629607562,0.00157464,1.71775356,-0.00238442,0.16861727,-0.02146602,0.10636888,0.97969030,normal
KA7YTc3T,pose,1776629607570,0.00169277,1.71772914,-0.00252628,0.16854036,-0.02166745,0.10630808,0.97970570,normal
KA7YTc3T,pose,1776629607581,0.00185168,1.71770202,-0.00269628,0.16845418,-0.02191502,0.10636810,0.97970850,normal
KA7YTc3T,pose,1776629607592,0.00202036,1.71767876,-0.00287604,0.16842803,-0.02220118,0.10633725,0.97970990,normal
KA7YTc3T,pose,1776629607602,0.00218379,1.71766406,-0.00304127,0.16834305,-0.02241784,0.10633909,0.97971938,normal
KA7YTc3T,pose,1776629607613,0.00239778,1.71764541,-0.00324392,0.16830113,-0.02267909,0.10641834,0.97971196,normal
KA7YTc3T,pose,1776629607625,0.00259352,1.71761134,-0.00342870,0.16816864,-0.02294407,0.10632401,0.97973878,normal
KA7YTc3T,pose,1776629607636,0.00277758,1.71758305,-0.00362134,0.16793683,-0.02327019,0.10608685,0.97979656,normal
KA7YTc3T,pose,1776629607647,0.00295603,1.71757276,-0.00380039,0.16765885,-0.02366116,0.10589009,0.97985608,normal
KA7YTc3T,pose,1776629607659,0.00315523,1.71754534,-0.00400734,0.16755201,-0.02400261,0.10577362,0.97987863,normal
KA7YTc3T,pose,1776629607670,0.00334573,1.71752065,-0.00419950,0.16737069,-0.02431169,0.10565338,0.97991497,normal
KA7YTc3T,pose,1776629607681,0.00353110,1.71748402,-0.00440836,0.16716566,-0.02465069,0.10563248,0.97994376,normal
KA7YTc3T,pose,1776629607692,0.00374842,1.71743684,-0.00461030,0.16686278,-0.02495724,0.10565955,0.97998470,normal
KA7YTc3T,pose,1776629607703,0.00396144,1.71742577,-0.00480580,0.16653105,-0.02527061,0.10556555,0.98004322,normal
KA7YTc3T,pose,1776629607714,0.00418580,1.71741379,-0.00500345,0.16630293,-0.02564150,0.10543161,0.98008674,normal
KA7YTc3T,pose,1776629607726,0.00441897,1.71738438,-0.00518322,0.16602806,-0.02599907,0.10526790,0.98014152,normal
KA7YTc3T,pose,1776629607737,0.00464928,1.71735228,-0.00536466,0.16570185,-0.02637348,0.10504091,0.98021107,normal
KA7YTc3T,pose,1776629607748,0.00488651,1.71727414,-0.00559044,0.16529905,-0.02679813,0.10483113,0.98029002,normal
KA7YTc3T,pose,1776629607759,0.00514436,1.71722391,-0.00580835,0.16488342,-0.02717007,0.10454302,0.98038054,normal
KA7YTc3T,pose,1776629607771,0.00539804,1.71716774,-0.00605655,0.16446910,-0.02774698,0.10430731,0.98045908,normal
KA7YTc3T,pose,1776629607782,0.00569344,1.71710080,-0.00629783,0.16399259,-0.02824724,0.10412353,0.98054414,normal
KA7YTc3T,pose,1776629607793,0.00600064,1.71704134,-0.00653481,0.16352281,-0.02879828,0.10389996,0.98063028,normal
KA7YTc3T,pose,1776629607804,0.00629735,1.71694564,-0.00681305,0.16311113,-0.02946234,0.10366692,0.98070378,normal
KA7YTc3T,pose,1776629607815,0.00661707,1.71686253,-0.00704026,0.16253924,-0.03013897,0.10341111,0.98080517,normal
KA7YTc3T,pose,1776629607827,0.00694788,1.71675510,-0.00729394,0.16199267,-0.03076366,0.10311183,0.98090770,normal
KA7YTc3T,pose,1776629607838,0.00728977,1.71668871,-0.00750685,0.16122381,-0.03144011,0.10274100,0.98105183,normal
KA7YTc3T,pose,1776629607849,0.00763452,1.71660665,-0.00780630,0.16060525,-0.03215146,0.10232439,0.98117376,normal
KA7YTc3T,pose,1776629607860,0.00802588,1.71653058,-0.00808835,0.16005795,-0.03280151,0.10194875,0.98128078,normal
KA7YTc3T,pose,1776629607871,0.00839865,1.71644598,-0.00840020,0.15956945,-0.03360683,0.10158979,0.98137031,normal
KA7YTc3T,pose,1776629607882,0.00878048,1.71635437,-0.00871253,0.15908899,-0.03432945,0.10125902,0.98145748,normal
KA7YTc3T,pose,1776629607894,0.00918543,1.71626674,-0.00902319,0.15852289,-0.03495610,0.10095366,0.98155842,normal
KA7YTc3T,pose,1776629607904,0.00957632,1.71618085,-0.00932693,0.15788001,-0.03563419,0.10058813,0.98167517,normal
KA7YTc3T,pose,1776629607916,0.00998056,1.71609072,-0.00963783,0.15721362,-0.03627154,0.10022096,0.98179632,normal
