# Session Metadata: yFCxKmKg,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
yFCxKmKg,pose,1776632042313,-0.00106430,1.13761149,0.00097871,0.11462503,-0.00180924,0.01795974,0.99324482,normal
yFCxKmKg,pose,1776632042333,-0.00104856,1.13758376,0.00094581,0.11461231,-0.00175557,0.01785389,0.99324829,normal
yFCxKmKg,pose,1776632042341,-0.00101185,1.13748510,0.00086367,0.11448727,-0.00169161,0.01750538,0.99326903,normal
yFCxKmKg,pose,1776632042351,-0.00099015,1.13742611,0.00081444,0.11441250,-0.00165343,0.01729701,0.99328136,normal
yFCxKmKg,pose,1776632042384,-0.00092459,1.13731773,0.00070083,0.11430282,-0.00138006,0.01705571,0.99329858,normal
yFCxKmKg,pose,1776632042418,-0.00086355,1.13717468,0.00057113,0.11414321,-0.00119579,0.01662498,0.99332447,normal
yFCxKmKg,pose,1776632042440,-0.00073242,1.13715681,0.00070691,0.11390105,-0.00178453,0.01753737,0.99333570,normal
yFCxKmKg,pose,1776632042449,-0.00070024,1.13712327,0.00068033,0.11387341,-0.00174302,0.01762213,0.99333744,normal
yFCxKmKg,pose,1776632042460,-0.00054526,1.13705570,0.00064504,0.11378219,-0.00181234,0.01759862,0.99334819,normal
yFCxKmKg,pose,1776632042472,-0.00041103,1.13698684,0.00061226,0.11363204,-0.00187489,0.01752679,0.99336653,normal
yFCxKmKg,pose,1776632042483,-0.00025153,1.13690548,0.00058341,0.11332690,-0.00196290,0.01731662,0.99340490,normal
yFCxKmKg,pose,1776632042494,-0.00019002,1.13687730,0.00055361,0.11306534,-0.00213653,0.01722939,0.99343586,normal
yFCxKmKg,pose,1776632042505,-0.00012445,1.13683850,0.00051093,0.11294547,-0.00235057,0.01704199,0.99345225,normal
yFCxKmKg,pose,1776632042516,-0.00005174,1.13680276,0.00047874,0.11265517,-0.00254491,0.01686570,0.99348774,normal
yFCxKmKg,pose,1776632042527,0.00002193,1.13674501,0.00043499,0.11256319,-0.00281501,0.01677363,0.99349899,normal
yFCxKmKg,pose,1776632042538,0.00009418,1.13669492,0.00038671,0.11253687,-0.00297087,0.01671357,0.99350253,normal
yFCxKmKg,pose,1776632042550,0.00016069,1.13665362,0.00034130,0.11241315,-0.00306946,0.01665542,0.99351722,normal
yFCxKmKg,pose,1776632042561,0.00021935,1.13663508,0.00031948,0.11244483,-0.00317916,0.01663823,0.99351357,normal
yFCxKmKg,pose,1776632042572,0.00027037,1.13663013,0.00031185,0.11242603,-0.00316316,0.01662041,0.99351605,normal
yFCxKmKg,pose,1776632042583,0.00031304,1.13663228,0.00030589,0.11236821,-0.00319949,0.01656806,0.99352335,normal
yFCxKmKg,pose,1776632042594,0.00035000,1.13662341,0.00026822,0.11234009,-0.00322393,0.01653754,0.99352696,normal
yFCxKmKg,pose,1776632042605,0.00038767,1.13661657,0.00022280,0.11236798,-0.00323135,0.01646269,0.99352502,normal
yFCxKmKg,pose,1776632042616,0.00042295,1.13659970,0.00017238,0.11240273,-0.00321990,0.01644844,0.99352137,normal
yFCxKmKg,pose,1776632042627,0.00042963,1.13659865,0.00013769,0.11233076,-0.00318640,0.01640707,0.99353030,normal
yFCxKmKg,pose,1776632042639,0.00044560,1.13659371,0.00010741,0.11216635,-0.00313032,0.01636087,0.99354981,normal
yFCxKmKg,pose,1776632042650,0.00047302,1.13658668,0.00007212,0.11201936,-0.00315875,0.01628781,0.99356751,normal
yFCxKmKg,pose,1776632042661,0.00051928,1.13655500,0.00003207,0.11183895,-0.00317028,0.01616063,0.99358987,normal
yFCxKmKg,pose,1776632042672,0.00056744,1.13651752,-0.00000620,0.11160481,-0.00329575,0.01589308,0.99362011,normal
yFCxKmKg,pose,1776632042685,0.00062180,1.13648437,-0.00004554,0.11142368,-0.00334790,0.01571890,0.99364303,normal
yFCxKmKg,pose,1776632042694,0.00067139,1.13647333,-0.00007606,0.11129736,-0.00352803,0.01552985,0.99365954,normal
yFCxKmKg,pose,1776632042705,0.00072551,1.13645793,-0.00010121,0.11119098,-0.00349233,0.01551411,0.99367182,normal
yFCxKmKg,pose,1776632042716,0.00077605,1.13646734,-0.00011933,0.11099807,-0.00350976,0.01552356,0.99369318,normal
yFCxKmKg,pose,1776632042728,0.00080967,1.13646856,-0.00015604,0.11102322,-0.00355908,0.01561624,0.99368874,normal
yFCxKmKg,pose,1776632042739,0.00084329,1.13647109,-0.00018835,0.11097707,-0.00361305,0.01570503,0.99369230,normal
yFCxKmKg,pose,1776632042750,0.00086927,1.13647066,-0.00022507,0.11101994,-0.00366971,0.01576340,0.99368638,normal
yFCxKmKg,pose,1776632042761,0.00087762,1.13645117,-0.00025332,0.11101269,-0.00377876,0.01570932,0.99368764,normal
yFCxKmKg,pose,1776632042772,0.00088596,1.13640940,-0.00028193,0.11105830,-0.00390866,0.01561780,0.99368348,normal
yFCxKmKg,pose,1776632042783,0.00088573,1.13636985,-0.00030208,0.11096851,-0.00405475,0.01533377,0.99369735,normal
