# Session Metadata: CGg83RWU,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
CGg83RWU,pose,1776653392098,-0.02811754,1.68495124,0.08003902,0.24020944,0.35723365,-0.03550586,0.90189959,normal
CGg83RWU,pose,1776653392106,-0.02812994,1.68481771,0.08001816,0.23965530,0.35766768,-0.03483806,0.90190104,normal
CGg83RWU,pose,1776653392117,-0.02815366,1.68466150,0.08000302,0.23889539,0.35813047,-0.03416672,0.90194467,normal
CGg83RWU,pose,1776653392129,-0.02819073,1.68449853,0.07998085,0.23820704,0.35854600,-0.03367174,0.90198026,normal
CGg83RWU,pose,1776653392140,-0.02823317,1.68435387,0.07995379,0.23755381,0.35901046,-0.03322897,0.90198421,normal
CGg83RWU,pose,1776653392151,-0.02828300,1.68423636,0.07990861,0.23716262,0.35942252,-0.03284192,0.90193722,normal
CGg83RWU,pose,1776653392162,-0.02833664,1.68416855,0.07986748,0.23695892,0.35986067,-0.03275286,0.90181928,normal
CGg83RWU,pose,1776653392173,-0.02836859,1.68415979,0.07983696,0.23700185,0.36021630,-0.03279766,0.90166438,normal
CGg83RWU,pose,1776653392184,-0.02836072,1.68418426,0.07981884,0.23710664,0.36054862,-0.03277582,0.90150479,normal
CGg83RWU,pose,1776653392195,-0.02833867,1.68418616,0.07980216,0.23692036,0.36090582,-0.03265973,0.90141504,normal
CGg83RWU,pose,1776653392207,-0.02832365,1.68412877,0.07978010,0.23645705,0.36128769,-0.03240669,0.90139285,normal
CGg83RWU,pose,1776653392218,-0.02834213,1.68401169,0.07974291,0.23581966,0.36166569,-0.03208289,0.90141983,normal
CGg83RWU,pose,1776653392229,-0.02835679,1.68389200,0.07970941,0.23525738,0.36206306,-0.03179123,0.90141756,normal
CGg83RWU,pose,1776653392240,-0.02836514,1.68379666,0.07968569,0.23483833,0.36248672,-0.03161060,0.90136292,normal
CGg83RWU,pose,1776653392251,-0.02837670,1.68372078,0.07966840,0.23462117,0.36283710,-0.03151825,0.90128172,normal
CGg83RWU,pose,1776653392262,-0.02838874,1.68365926,0.07965362,0.23439477,0.36311407,-0.03134864,0.90123500,normal
CGg83RWU,pose,1776653392274,-0.02842331,1.68358866,0.07961750,0.23410124,0.36346745,-0.03114703,0.90117583,normal
CGg83RWU,pose,1776653392285,-0.02848625,1.68349755,0.07957387,0.23371434,0.36384441,-0.03089825,0.90113271,normal
CGg83RWU,pose,1776653392296,-0.02854669,1.68339050,0.07954776,0.23317793,0.36440062,-0.03052682,0.90105957,normal
CGg83RWU,pose,1776653392307,-0.02859962,1.68327764,0.07957029,0.23260080,0.36492405,-0.03002134,0.90101389,normal
CGg83RWU,pose,1776653392318,-0.02865219,1.68316457,0.07962883,0.23202921,0.36565768,-0.02955127,0.90087937,normal
CGg83RWU,pose,1776653392329,-0.02873576,1.68305095,0.07971096,0.23152218,0.36645877,-0.02912185,0.90069827,normal
CGg83RWU,pose,1776653392341,-0.02883756,1.68293434,0.07982337,0.23089602,0.36746003,-0.02852739,0.90047007,normal
CGg83RWU,pose,1776653392352,-0.02898955,1.68280444,0.07995832,0.23033198,0.36860200,-0.02784455,0.90016911,normal
CGg83RWU,pose,1776653392363,-0.02918434,1.68266324,0.08013475,0.22967847,0.37006305,-0.02704492,0.89976092,normal
CGg83RWU,pose,1776653392374,-0.02950644,1.68248573,0.08046889,0.22893220,0.37183633,-0.02623337,0.89924391,normal
CGg83RWU,pose,1776653392385,-0.02973247,1.68237104,0.08077276,0.22809273,0.37390968,-0.02542758,0.89862044,normal
CGg83RWU,pose,1776653392396,-0.03000116,1.68224419,0.08111250,0.22722309,0.37615069,-0.02475089,0.89792412,normal
CGg83RWU,pose,1776653392408,-0.03034663,1.68208043,0.08147168,0.22631214,0.37862718,-0.02426350,0.89712628,normal
CGg83RWU,pose,1776653392419,-0.03074074,1.68186370,0.08181787,0.22552558,0.38128340,-0.02379234,0.89621153,normal
CGg83RWU,pose,1776653392430,-0.03119540,1.68163655,0.08221877,0.22453187,0.38393146,-0.02339761,0.89534051,normal
CGg83RWU,pose,1776653392441,-0.03163767,1.68138400,0.08263814,0.22339651,0.38680041,-0.02285477,0.89440321,normal
CGg83RWU,pose,1776653392452,-0.03210092,1.68110961,0.08308351,0.22208358,0.38984793,-0.02220751,0.89342280,normal
CGg83RWU,pose,1776653392463,-0.03259158,1.68081371,0.08354867,0.22070755,0.39298094,-0.02150691,0.89240776,normal
CGg83RWU,pose,1776653392475,-0.03312719,1.68050693,0.08400226,0.21930022,0.39608684,-0.02074075,0.89139915,normal
CGg83RWU,pose,1776653392486,-0.03366232,1.68020846,0.08447552,0.21777043,0.39941150,-0.01995917,0.89030788,normal
CGg83RWU,pose,1776653392497,-0.03423309,1.67986675,0.08495224,0.21620759,0.40268686,-0.01912926,0.88923093,normal
CGg83RWU,pose,1776653392508,-0.03480208,1.67951253,0.08546686,0.21435375,0.40600492,-0.01818613,0.88819015,normal
CGg83RWU,pose,1776653392519,-0.03538680,1.67914415,0.08599865,0.21233208,0.40929910,-0.01711351,0.88718457,normal
CGg83RWU,pose,1776653392530,-0.03597689,1.67871547,0.08649361,0.21029345,0.41269541,-0.01598376,0.88611719,normal
CGg83RWU,pose,1776653392541,-0.03660762,1.67828143,0.08700907,0.20787110,0.41591002,-0.01468179,0.88520783,normal
CGg83RWU,pose,1776653392553,-0.03727818,1.67783453,0.08749163,0.20541992,0.41909938,-0.01357365,0.88429301,normal
CGg83RWU,pose,1776653392564,-0.03795362,1.67742537,0.08798254,0.20293450,0.42208540,-0.01265519,0.88345987,normal
CGg83RWU,pose,1776653392575,-0.03865254,1.67706484,0.08843458,0.20061928,0.42491978,-0.01177014,0.88264180,normal
CGg83RWU,pose,1776653392586,-0.03935015,1.67673614,0.08883870,0.19842777,0.42767233,-0.01088143,0.88181880,normal
CGg83RWU,pose,1776653392597,-0.04007185,1.67641089,0.08922422,0.19641065,0.43024192,-0.01010284,0.88102933,normal
CGg83RWU,pose,1776653392608,-0.04073381,1.67606231,0.08961332,0.19454562,0.43267495,-0.00952892,0.88025768,normal
CGg83RWU,pose,1776653392620,-0.04135394,1.67570765,0.08998358,0.19270817,0.43486414,-0.00894655,0.87958894,normal
CGg83RWU,pose,1776653392630,-0.04196346,1.67536853,0.09033382,0.19094782,0.43682252,-0.00848866,0.87900680,normal
CGg83RWU,pose,1776653392642,-0.04256666,1.67499908,0.09064698,0.18934523,0.43856263,-0.00799061,0.87849152,normal
CGg83RWU,pose,1776653392653,-0.04311419,1.67468965,0.09096098,0.18766638,0.44016385,-0.00742902,0.87805576,normal
CGg83RWU,pose,1776653392664,-0.04369760,1.67440040,0.09124398,0.18638002,0.44148691,-0.00707948,0.87766832,normal
CGg83RWU,pose,1776653392675,-0.04424143,1.67417373,0.09153473,0.18532207,0.44268281,-0.00689763,0.87729133,normal
CGg83RWU,pose,1776653392686,-0.04477215,1.67396609,0.09183395,0.18452556,0.44363700,-0.00672413,0.87697852,normal
CGg83RWU,pose,1776653392697,-0.04528928,1.67377345,0.09211564,0.18389451,0.44440704,-0.00658026,0.87672224,normal
CGg83RWU,pose,1776653392708,-0.04574561,1.67357339,0.09236813,0.18334363,0.44503438,-0.00626954,0.87652165,normal
CGg83RWU,pose,1776653392720,-0.04615426,1.67341679,0.09259212,0.18275079,0.44551271,-0.00582086,0.87640555,normal
CGg83RWU,pose,1776653392731,-0.04653418,1.67327168,0.09279609,0.18236496,0.44595290,-0.00539312,0.87626477,normal
CGg83RWU,pose,1776653392742,-0.04689586,1.67316394,0.09302151,0.18200467,0.44619292,-0.00494853,0.87622012,normal
CGg83RWU,pose,1776653392753,-0.04723716,1.67307755,0.09323299,0.18176764,0.44644679,-0.00462288,0.87614178,normal
CGg83RWU,pose,1776653392764,-0.04756474,1.67302611,0.09343064,0.18173238,0.44655179,-0.00440610,0.87609670,normal
CGg83RWU,pose,1776653392775,-0.04785037,1.67301378,0.09359336,0.18191006,0.44668627,-0.00417518,0.87599239,normal
CGg83RWU,pose,1776653392786,-0.04814959,1.67302785,0.09374559,0.18220806,0.44670509,-0.00400815,0.87592164,normal
CGg83RWU,pose,1776653392798,-0.04840839,1.67306566,0.09391105,0.18243959,0.44674673,-0.00389436,0.87585272,normal
CGg83RWU,pose,1776653392809,-0.04866517,1.67307933,0.09408605,0.18286048,0.44682092,-0.00390811,0.87572703,normal
CGg83RWU,pose,1776653392820,-0.04891884,1.67307217,0.09427691,0.18328604,0.44682407,-0.00393036,0.87563636,normal
CGg83RWU,pose,1776653392831,-0.04915738,1.67306898,0.09446943,0.18369177,0.44679963,-0.00395210,0.87556371,normal
CGg83RWU,pose,1776653392842,-0.04937851,1.67307919,0.09465957,0.18403846,0.44675973,-0.00403514,0.87551088,normal
CGg83RWU,pose,1776653392853,-0.04958272,1.67308118,0.09484792,0.18444453,0.44667658,-0.00417974,0.87546717,normal
CGg83RWU,pose,1776653392865,-0.04976916,1.67310778,0.09503698,0.18480949,0.44652987,-0.00421074,0.87546490,normal
CGg83RWU,pose,1776653392876,-0.04999185,1.67310387,0.09521687,0.18520476,0.44636846,-0.00425359,0.87546348,normal
CGg83RWU,pose,1776653392887,-0.05024397,1.67309853,0.09539545,0.18552199,0.44612420,-0.00421492,0.87552100,normal
CGg83RWU,pose,1776653392898,-0.05046105,1.67309019,0.09556127,0.18581393,0.44594669,-0.00406419,0.87555024,normal
CGg83RWU,pose,1776653392909,-0.05064392,1.67310390,0.09573638,0.18611919,0.44564639,-0.00399797,0.87563860,normal
CGg83RWU,pose,1776653392920,-0.05079257,1.67313006,0.09590268,0.18649491,0.44537539,-0.00396734,0.87569668,normal
CGg83RWU,pose,1776653392931,-0.05090308,1.67316309,0.09606361,0.18690612,0.44508748,-0.00392083,0.87575560,normal
CGg83RWU,pose,1776653392942,-0.05104947,1.67318860,0.09622681,0.18739540,0.44467307,-0.00398614,0.87586126,normal
CGg83RWU,pose,1776653392954,-0.05114818,1.67324713,0.09637022,0.18798011,0.44423063,-0.00414157,0.87595974,normal
CGg83RWU,pose,1776653392965,-0.05121708,1.67331462,0.09650433,0.18861838,0.44376771,-0.00413152,0.87605722,normal
CGg83RWU,pose,1776653392976,-0.05124760,1.67340160,0.09662867,0.18921050,0.44324173,-0.00404658,0.87619620,normal
CGg83RWU,pose,1776653392987,-0.05122066,1.67348307,0.09673214,0.18957258,0.44268334,-0.00394089,0.87640069,normal
CGg83RWU,pose,1776653392998,-0.05115306,1.67356323,0.09681332,0.18980989,0.44192398,-0.00407774,0.87673187,normal
CGg83RWU,pose,1776653393009,-0.05106473,1.67363954,0.09687841,0.19012715,0.44105023,-0.00437820,0.87710158,normal
CGg83RWU,pose,1776653393021,-0.05096817,1.67375177,0.09692717,0.19077404,0.44013518,-0.00484100,0.87741829,normal
CGg83RWU,pose,1776653393032,-0.05086970,1.67391130,0.09696484,0.19175804,0.43924439,-0.00552902,0.87764609,normal
CGg83RWU,pose,1776653393043,-0.05076933,1.67411721,0.09700394,0.19281870,0.43835197,-0.00629825,0.87785467,normal
CGg83RWU,pose,1776653393054,-0.05065346,1.67432790,0.09703147,0.19392866,0.43743252,-0.00691812,0.87806412,normal
CGg83RWU,pose,1776653393065,-0.05052543,1.67451975,0.09705687,0.19489189,0.43640627,-0.00756293,0.87835615,normal
CGg83RWU,pose,1776653393076,-0.05035996,1.67467184,0.09709013,0.19579815,0.43536771,-0.00807190,0.87866540,normal
CGg83RWU,pose,1776653393087,-0.05016804,1.67478849,0.09711695,0.19666947,0.43417328,-0.00856525,0.87905706,normal
CGg83RWU,pose,1776653393099,-0.04994917,1.67489120,0.09712720,0.19747626,0.43289460,-0.00899322,0.87950243,normal
CGg83RWU,pose,1776653393110,-0.04964983,1.67497347,0.09706259,0.19836444,0.43159318,-0.00925592,0.87993932,normal
CGg83RWU,pose,1776653393121,-0.04941654,1.67509556,0.09701836,0.19927620,0.43027668,-0.00965344,0.88037366,normal
CGg83RWU,pose,1776653393132,-0.04917169,1.67523368,0.09694803,0.20027888,0.42898161,-0.01000647,0.88077410,normal
CGg83RWU,pose,1776653393143,-0.04891479,1.67538902,0.09686267,0.20141002,0.42766564,-0.01037084,0.88115183,normal
CGg83RWU,pose,1776653393154,-0.04865551,1.67557854,0.09676445,0.20251910,0.42624834,-0.01091442,0.88157770,normal
CGg83RWU,pose,1776653393166,-0.04837525,1.67577364,0.09665620,0.20357751,0.42471304,-0.01167423,0.88206505,normal
CGg83RWU,pose,1776653393176,-0.04801393,1.67600062,0.09653735,0.20458195,0.42299807,-0.01240139,0.88264663,normal
CGg83RWU,pose,1776653393188,-0.04761040,1.67624593,0.09639251,0.20553711,0.42116365,-0.01294631,0.88329388,normal
CGg83RWU,pose,1776653393199,-0.04719400,1.67648810,0.09626091,0.20632267,0.41931623,-0.01342022,0.88398233,normal
CGg83RWU,pose,1776653393210,-0.04683542,1.67665961,0.09610200,0.20708310,0.41754182,-0.01379762,0.88463837,normal
CGg83RWU,pose,1776653393221,-0.04649019,1.67679015,0.09590936,0.20776437,0.41589925,-0.01404013,0.88524836,normal
CGg83RWU,pose,1776653393232,-0.04615712,1.67689605,0.09570277,0.20844195,0.41429214,-0.01422697,0.88583947,normal
CGg83RWU,pose,1776653393243,-0.04580534,1.67699219,0.09550583,0.20888230,0.41275076,-0.01447458,0.88645106,normal
CGg83RWU,pose,1776653393254,-0.04546142,1.67708072,0.09527278,0.20926776,0.41115309,-0.01487061,0.88709583,normal
CGg83RWU,pose,1776653393266,-0.04510105,1.67717474,0.09504199,0.20944072,0.40952233,-0.01520251,0.88780343,normal
CGg83RWU,pose,1776653393277,-0.04475427,1.67724857,0.09480786,0.20958286,0.40788496,-0.01555057,0.88851734,normal
CGg83RWU,pose,1776653393288,-0.04441035,1.67731198,0.09458387,0.20958717,0.40631204,-0.01591757,0.88923021,normal
CGg83RWU,pose,1776653393299,-0.04408395,1.67736661,0.09435713,0.20961589,0.40478510,-0.01629283,0.88991278,normal
CGg83RWU,pose,1776653393310,-0.04376626,1.67740472,0.09410381,0.20967628,0.40339570,-0.01670664,0.89052156,normal
CGg83RWU,pose,1776653393321,-0.04344487,1.67745457,0.09386218,0.20956522,0.40214675,-0.01698899,0.89110706,normal
CGg83RWU,pose,1776653393332,-0.04315281,1.67749120,0.09361291,0.20957350,0.40099587,-0.01731670,0.89161729,normal
CGg83RWU,pose,1776653393344,-0.04287148,1.67751797,0.09338474,0.20953667,0.39998489,-0.01761581,0.89207408,normal
