# Session Metadata: ffS1negE,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
ffS1negE,pose,1776656645843,0.76617062,1.64973791,-0.72358471,0.16759147,0.53034367,0.01229820,0.83096176,normal
ffS1negE,pose,1776656645874,0.76625609,1.64966160,-0.72352737,0.16712669,0.53043748,0.01238307,0.83099423,normal
ffS1negE,pose,1776656645884,0.76637495,1.64959358,-0.72341859,0.16684036,0.53061438,0.01238660,0.83093877,normal
ffS1negE,pose,1776656645891,0.76644897,1.64958160,-0.72332859,0.16687477,0.53082436,0.01232714,0.83079862,normal
ffS1negE,pose,1776656645902,0.76652992,1.64958495,-0.72321409,0.16669730,0.53113610,0.01246778,0.83063290,normal
ffS1negE,pose,1776656645913,0.76658666,1.64958577,-0.72310936,0.16677239,0.53146887,0.01253457,0.83040394,normal
ffS1negE,pose,1776656645925,0.76664233,1.64960718,-0.72299439,0.16692150,0.53173889,0.01249159,0.83020174,normal
ffS1negE,pose,1776656645936,0.76671076,1.64962676,-0.72288102,0.16709073,0.53198775,0.01249818,0.83000814,normal
ffS1negE,pose,1776656645948,0.76677233,1.64963760,-0.72274709,0.16716665,0.53218746,0.01255684,0.82986393,normal
ffS1negE,pose,1776656645959,0.76686013,1.64966118,-0.72261208,0.16717308,0.53251308,0.01252615,0.82965419,normal
ffS1negE,pose,1776656645971,0.76693845,1.64967605,-0.72248447,0.16748360,0.53269643,0.01242741,0.82947533,normal
ffS1negE,pose,1776656645982,0.76703191,1.64970144,-0.72235966,0.16764755,0.53287877,0.01243941,0.82932489,normal
ffS1negE,pose,1776656645993,0.76712966,1.64972414,-0.72224486,0.16781488,0.53299057,0.01241621,0.82921955,normal
ffS1negE,pose,1776656646004,0.76723814,1.64972385,-0.72214127,0.16793094,0.53305568,0.01222526,0.82915703,normal
ffS1negE,pose,1776656646015,0.76735747,1.64970823,-0.72204804,0.16793117,0.53312724,0.01210144,0.82911279,normal
ffS1negE,pose,1776656646027,0.76746058,1.64968583,-0.72195458,0.16790125,0.53329457,0.01202077,0.82901241,normal
ffS1negE,pose,1776656646038,0.76754415,1.64964733,-0.72187269,0.16790576,0.53354883,0.01213475,0.82884621,normal
ffS1negE,pose,1776656646049,0.76763308,1.64962377,-0.72177827,0.16771841,0.53377415,0.01242841,0.82873471,normal
ffS1negE,pose,1776656646060,0.76772189,1.64957657,-0.72170222,0.16787010,0.53393866,0.01234946,0.82859920,normal
ffS1negE,pose,1776656646072,0.76783156,1.64948537,-0.72160751,0.16782060,0.53402710,0.01231620,0.82855272,normal
ffS1negE,pose,1776656646083,0.76794541,1.64937797,-0.72148836,0.16744460,0.53409498,0.01248961,0.82858244,normal
ffS1negE,pose,1776656646094,0.76805997,1.64925592,-0.72137839,0.16705814,0.53436672,0.01274248,0.82848139,normal
ffS1negE,pose,1776656646105,0.76813418,1.64916967,-0.72130865,0.16672297,0.53461183,0.01294142,0.82838769,normal
ffS1negE,pose,1776656646116,0.76820928,1.64909716,-0.72125018,0.16645452,0.53491874,0.01311491,0.82824081,normal
ffS1negE,pose,1776656646128,0.76825970,1.64901876,-0.72119498,0.16623525,0.53527029,0.01326691,0.82805528,normal
ffS1negE,pose,1776656646139,0.76832592,1.64894083,-0.72116339,0.16585378,0.53568655,0.01357272,0.82785761,normal
ffS1negE,pose,1776656646150,0.76840985,1.64884685,-0.72114813,0.16537589,0.53612579,0.01392042,0.82766308,normal
ffS1negE,pose,1776656646161,0.76849103,1.64874700,-0.72113305,0.16478475,0.53657693,0.01422352,0.82748346,normal
ffS1negE,pose,1776656646172,0.76854515,1.64862186,-0.72110844,0.16427628,0.53699161,0.01453447,0.82731014,normal
ffS1negE,pose,1776656646184,0.76858276,1.64846745,-0.72106600,0.16362575,0.53744949,0.01499250,0.82713353,normal
ffS1negE,pose,1776656646195,0.76861817,1.64830499,-0.72104585,0.16293515,0.53791106,0.01579679,0.82695483,normal
ffS1negE,pose,1776656646206,0.76864231,1.64810719,-0.72100425,0.16198697,0.53843181,0.01625415,0.82679333,normal
ffS1negE,pose,1776656646217,0.76866591,1.64787623,-0.72099626,0.16119148,0.53907164,0.01686985,0.82651950,normal
ffS1negE,pose,1776656646228,0.76869863,1.64763132,-0.72095466,0.15973683,0.53957552,0.01750746,0.82645985,normal
ffS1negE,pose,1776656646239,0.76872385,1.64737903,-0.72093982,0.15850437,0.54022897,0.01807804,0.82625795,normal
ffS1negE,pose,1776656646250,0.76867288,1.64704577,-0.72098309,0.15743486,0.54097767,0.01876613,0.82595718,normal
ffS1negE,pose,1776656646262,0.76865923,1.64682521,-0.72095591,0.15564386,0.54185862,0.01968036,0.82569783,normal
ffS1negE,pose,1776656646273,0.76862121,1.64646547,-0.72102916,0.15419394,0.54278869,0.02057988,0.82533699,normal
ffS1negE,pose,1776656646284,0.76856267,1.64616615,-0.72101849,0.15186502,0.54404813,0.02121245,0.82492344,normal
ffS1negE,pose,1776656646295,0.76848102,1.64576740,-0.72104132,0.14982337,0.54508692,0.02250411,0.82457672,normal
ffS1negE,pose,1776656646306,0.76845580,1.64539631,-0.72115922,0.14729374,0.54662508,0.02418353,0.82396646,normal
ffS1negE,pose,1776656646317,0.76831818,1.64492922,-0.72111976,0.14514883,0.54774869,0.02517107,0.82357125,normal
