# Session Metadata: EtUhoItE,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
EtUhoItE,pose,1776719200153,-0.02509975,1.68247482,-0.07191610,0.11291446,0.42602938,0.00340693,0.89762892,normal
EtUhoItE,pose,1776719200166,-0.02514839,1.68226557,-0.07228088,0.11157099,0.42559633,0.00362398,0.89800142,normal
EtUhoItE,pose,1776719200170,-0.02518940,1.68205818,-0.07264042,0.11023565,0.42513093,0.00390416,0.89838552,normal
EtUhoItE,pose,1776719200174,-0.02521420,1.68192250,-0.07287407,0.10944686,0.42486442,0.00400929,0.89860755,normal
EtUhoItE,pose,1776719200183,-0.02524471,1.68173490,-0.07325602,0.10808872,0.42444221,0.00418719,0.89897058,normal
EtUhoItE,pose,1776719200195,-0.02529430,1.68147514,-0.07371187,0.10684646,0.42391070,0.00436129,0.89936896,normal
EtUhoItE,pose,1776719200206,-0.02532959,1.68122384,-0.07419205,0.10539308,0.42338451,0.00465449,0.89978675,normal
EtUhoItE,pose,1776719200231,-0.02542591,1.68064994,-0.07517052,0.10260170,0.42233003,0.00520842,0.90060153,normal
EtUhoItE,pose,1776719200243,-0.02546024,1.68040265,-0.07560253,0.10109924,0.42190564,0.00555916,0.90096818,normal
EtUhoItE,pose,1776719200255,-0.02550983,1.68014792,-0.07601643,0.09963348,0.42141601,0.00608103,0.90135716,normal
EtUhoItE,pose,1776719200266,-0.02558136,1.67985174,-0.07642794,0.09809490,0.42097636,0.00657089,0.90172785,normal
EtUhoItE,pose,1776719200278,-0.02562523,1.67958301,-0.07684851,0.09639119,0.42058544,0.00714767,0.90208954,normal
EtUhoItE,pose,1776719200289,-0.02570343,1.67929189,-0.07729816,0.09485365,0.42016619,0.00761007,0.90244404,normal
EtUhoItE,pose,1776719200301,-0.02573586,1.67898792,-0.07776356,0.09346391,0.41972483,0.00795786,0.90279136,normal
EtUhoItE,pose,1776719200311,-0.02579880,1.67869560,-0.07823563,0.09204048,0.41917016,0.00829281,0.90319220,normal
EtUhoItE,pose,1776719200323,-0.02584267,1.67843236,-0.07870150,0.09051698,0.41873025,0.00869727,0.90354635,normal
EtUhoItE,pose,1776719200334,-0.02592373,1.67814481,-0.07914639,0.08904366,0.41821847,0.00905151,0.90392622,normal
EtUhoItE,pose,1776719200345,-0.02599621,1.67782355,-0.07957649,0.08740098,0.41763426,0.00959706,0.90435092,normal
EtUhoItE,pose,1776719200357,-0.02605915,1.67747494,-0.08001566,0.08561572,0.41714184,0.01014654,0.90474288,normal
EtUhoItE,pose,1776719200368,-0.02612877,1.67711686,-0.08043289,0.08368057,0.41658973,0.01078387,0.90517085,normal
EtUhoItE,pose,1776719200379,-0.02620316,1.67672332,-0.08086014,0.08168889,0.41609163,0.01157551,0.90557202,normal
EtUhoItE,pose,1776719200390,-0.02626610,1.67633586,-0.08129025,0.07967350,0.41556943,0.01232469,0.90598139,normal
EtUhoItE,pose,1776719200402,-0.02635956,1.67592005,-0.08175182,0.07783288,0.41497367,0.01291193,0.90640619,normal
EtUhoItE,pose,1776719200412,-0.02644825,1.67555230,-0.08221960,0.07610025,0.41442438,0.01349803,0.90679600,normal
EtUhoItE,pose,1776719200424,-0.02652645,1.67522290,-0.08267641,0.07449969,0.41391508,0.01407436,0.90715269,normal
EtUhoItE,pose,1776719200435,-0.02662945,1.67491350,-0.08311176,0.07297102,0.41340692,0.01449352,0.90750200,normal
EtUhoItE,pose,1776719200446,-0.02672577,1.67460526,-0.08353853,0.07144245,0.41296318,0.01500463,0.90781730,normal
EtUhoItE,pose,1776719200457,-0.02680111,1.67427485,-0.08396769,0.06988379,0.41257429,0.01557755,0.90810575,normal
EtUhoItE,pose,1776719200469,-0.02689362,1.67393862,-0.08438730,0.06820700,0.41219986,0.01618205,0.90839266,normal
EtUhoItE,pose,1776719200480,-0.02697849,1.67357279,-0.08479929,0.06646529,0.41189722,0.01687202,0.90864646,normal
EtUhoItE,pose,1776719200491,-0.02707863,1.67318185,-0.08522415,0.06459363,0.41161158,0.01763018,0.90889644,normal
EtUhoItE,pose,1776719200502,-0.02716541,1.67280589,-0.08566332,0.06271087,0.41146800,0.01831570,0.90907974,normal
EtUhoItE,pose,1776719200513,-0.02730179,1.67241021,-0.08609581,0.06093040,0.41134870,0.01885468,0.90924377,normal
EtUhoItE,pose,1776719200525,-0.02742672,1.67206269,-0.08648300,0.05918001,0.41128336,0.01927939,0.90938003,normal
EtUhoItE,pose,1776719200536,-0.02756214,1.67172052,-0.08685732,0.05754918,0.41127889,0.01959704,0.90947992,normal
EtUhoItE,pose,1776719200547,-0.02770424,1.67136693,-0.08722067,0.05593139,0.41131239,0.02007102,0.90955536,normal
EtUhoItE,pose,1776719200558,-0.02784348,1.67103776,-0.08755636,0.05426342,0.41139432,0.02046529,0.90961056,normal
EtUhoItE,pose,1776719200570,-0.02798939,1.67067156,-0.08789110,0.05260923,0.41156892,0.02091860,0.90961844,normal
EtUhoItE,pose,1776719200581,-0.02814865,1.67030416,-0.08820009,0.05084032,0.41179478,0.02134565,0.90960688,normal
EtUhoItE,pose,1776719200592,-0.02829170,1.66991925,-0.08849525,0.04894530,0.41212756,0.02185566,0.90954800,normal
EtUhoItE,pose,1776719200603,-0.02844906,1.66946895,-0.08878040,0.04710701,0.41247334,0.02236318,0.90947598,normal
EtUhoItE,pose,1776719200614,-0.02860355,1.66901654,-0.08905363,0.04524510,0.41291450,0.02287481,0.90935760,normal
EtUhoItE,pose,1776719200625,-0.02880764,1.66863932,-0.08932209,0.04344355,0.41332985,0.02324017,0.90924749,normal
EtUhoItE,pose,1776719200637,-0.02899170,1.66831565,-0.08959818,0.04195620,0.41384781,0.02340840,0.90907740,normal
EtUhoItE,pose,1776719200648,-0.02922535,1.66801091,-0.08986759,0.04063975,0.41426943,0.02358406,0.90894062,normal
EtUhoItE,pose,1776719200659,-0.02941990,1.66772804,-0.09012699,0.03933832,0.41476732,0.02379801,0.90876522,normal
