# Session Metadata: 9FGMprFE,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
9FGMprFE,pose,1776719413831,-0.54513359,1.69384535,-0.06731939,0.02215938,-0.88810611,0.21632954,0.40494201,normal
9FGMprFE,pose,1776719413835,-0.54521656,1.69388546,-0.06750298,0.02220038,-0.88788134,0.21671275,0.40522766,normal
9FGMprFE,pose,1776719413846,-0.54530144,1.69393408,-0.06768179,0.02220656,-0.88767021,0.21712639,0.40546837,normal
9FGMprFE,pose,1776719413857,-0.54537773,1.69399191,-0.06785011,0.02225579,-0.88748544,0.21750497,0.40566719,normal
9FGMprFE,pose,1776719413868,-0.54545832,1.69403997,-0.06800747,0.02225692,-0.88728111,0.21790103,0.40590147,normal
9FGMprFE,pose,1776719413879,-0.54553699,1.69407851,-0.06815720,0.02217892,-0.88712841,0.21815886,0.40610096,normal
9FGMprFE,pose,1776719413890,-0.54560041,1.69412307,-0.06829119,0.02217260,-0.88695911,0.21839715,0.40634295,normal
9FGMprFE,pose,1776719413902,-0.54565811,1.69416065,-0.06841183,0.02221118,-0.88679510,0.21872752,0.40652109,normal
9FGMprFE,pose,1776719413912,-0.54571486,1.69420597,-0.06852627,0.02231977,-0.88666259,0.21896275,0.40667751,normal
9FGMprFE,pose,1776719413923,-0.54578686,1.69423678,-0.06862926,0.02246384,-0.88655328,0.21919428,0.40678314,normal
9FGMprFE,pose,1776719413935,-0.54586220,1.69426393,-0.06872845,0.02245973,-0.88647767,0.21934958,0.40686442,normal
9FGMprFE,pose,1776719413946,-0.54593706,1.69429082,-0.06882238,0.02248757,-0.88641408,0.21944003,0.40695265,normal
9FGMprFE,pose,1776719413957,-0.54601908,1.69430829,-0.06891060,0.02245339,-0.88635981,0.21950923,0.40703543,normal
9FGMprFE,pose,1776719413968,-0.54609632,1.69430663,-0.06898546,0.02237529,-0.88632242,0.21952831,0.40711084,normal
9FGMprFE,pose,1776719413979,-0.54617310,1.69430229,-0.06905890,0.02234854,-0.88629738,0.21954237,0.40715925,normal
9FGMprFE,pose,1776719413990,-0.54626417,1.69432372,-0.06914139,0.02236586,-0.88628324,0.21952832,0.40719665,normal
9FGMprFE,pose,1776719414001,-0.54634380,1.69435128,-0.06921816,0.02238664,-0.88627085,0.21958721,0.40719071,normal
9FGMprFE,pose,1776719414012,-0.54641628,1.69438304,-0.06928778,0.02239357,-0.88624750,0.21965990,0.40720194,normal
9FGMprFE,pose,1776719414023,-0.54646158,1.69438703,-0.06932831,0.02238204,-0.88621066,0.21973402,0.40724276,normal
9FGMprFE,pose,1776719414035,-0.54650021,1.69438738,-0.06936550,0.02233860,-0.88618600,0.21975715,0.40728632,normal
9FGMprFE,pose,1776719414046,-0.54653502,1.69437383,-0.06939650,0.02224404,-0.88616185,0.21971306,0.40736784,normal
9FGMprFE,pose,1776719414057,-0.54657173,1.69435464,-0.06942129,0.02214008,-0.88614762,0.21961782,0.40745580,normal
9FGMprFE,pose,1776719414068,-0.54660273,1.69432654,-0.06943655,0.02198371,-0.88616508,0.21943337,0.40752566,normal
9FGMprFE,pose,1776719414079,-0.54662752,1.69429994,-0.06945086,0.02185416,-0.88619536,0.21925387,0.40756339,normal
9FGMprFE,pose,1776719414090,-0.54663706,1.69424741,-0.06943893,0.02175993,-0.88619064,0.21911501,0.40765336,normal
9FGMprFE,pose,1776719414101,-0.54663658,1.69419665,-0.06941509,0.02161540,-0.88618743,0.21899553,0.40773223,normal
9FGMprFE,pose,1776719414113,-0.54662132,1.69415114,-0.06937981,0.02157892,-0.88616837,0.21899235,0.40777729,normal
9FGMprFE,pose,1776719414123,-0.54662037,1.69414039,-0.06934977,0.02152352,-0.88614540,0.21896999,0.40784214,normal
9FGMprFE,pose,1776719414134,-0.54661465,1.69413154,-0.06931019,0.02144331,-0.88611647,0.21900273,0.40789165,normal
9FGMprFE,pose,1776719414146,-0.54661417,1.69411263,-0.06926250,0.02138918,-0.88611466,0.21895923,0.40792176,normal
9FGMprFE,pose,1776719414157,-0.54661989,1.69407206,-0.06920624,0.02132288,-0.88616157,0.21876102,0.40792967,normal
9FGMprFE,pose,1776719414168,-0.54663134,1.69400819,-0.06913137,0.02120294,-0.88622230,0.21851798,0.40793427,normal
9FGMprFE,pose,1776719414179,-0.54665232,1.69393666,-0.06905127,0.02105656,-0.88634033,0.21815565,0.40787933,normal
9FGMprFE,pose,1776719414190,-0.54663992,1.69385322,-0.06899738,0.02100771,-0.88646237,0.21782465,0.40779353,normal
9FGMprFE,pose,1776719414201,-0.54663897,1.69378521,-0.06894398,0.02096223,-0.88658297,0.21749975,0.40770711,normal
9FGMprFE,pose,1776719414212,-0.54662704,1.69371748,-0.06888247,0.02094562,-0.88667396,0.21730150,0.40761578,normal
