# Session Metadata: b7qilUwq,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
b7qilUwq,pose,1776719623090,-0.02034521,1.69270312,-0.15873051,0.17479266,0.07373342,0.02272147,0.98157763,normal
b7qilUwq,pose,1776719623107,-0.01999521,1.69279267,-0.15881443,0.17447108,0.07348379,0.02280796,0.98165155,normal
b7qilUwq,pose,1776719623110,-0.01931477,1.69270972,-0.15871048,0.17373649,0.07299441,0.02292273,0.98181566,normal
b7qilUwq,pose,1776719623114,-0.01902533,1.69266587,-0.15869999,0.17342910,0.07275358,0.02296606,0.98188687,normal
b7qilUwq,pose,1776719623122,-0.01862526,1.69257220,-0.15864849,0.17285209,0.07245728,0.02300406,0.98200963,normal
b7qilUwq,pose,1776719623134,-0.01805735,1.69244782,-0.15859509,0.17181455,0.07203124,0.02325637,0.98221709,normal
b7qilUwq,pose,1776719623145,-0.01752806,1.69232491,-0.15855026,0.17076041,0.07172678,0.02355073,0.98241616,normal
b7qilUwq,pose,1776719623156,-0.01702785,1.69218232,-0.15854645,0.16988552,0.07142991,0.02386136,0.98258196,normal
b7qilUwq,pose,1776719623167,-0.01652479,1.69197511,-0.15856266,0.16898367,0.07123217,0.02416387,0.98274442,normal
b7qilUwq,pose,1776719623191,-0.01562309,1.69159117,-0.15880966,0.16624788,0.07094750,0.02480392,0.98321557,normal
b7qilUwq,pose,1776719623203,-0.01524639,1.69141692,-0.15898991,0.16464512,0.07086003,0.02511053,0.98348376,normal
b7qilUwq,pose,1776719623211,-0.01494408,1.69124335,-0.15908146,0.16334122,0.07080776,0.02534628,0.98369887,normal
b7qilUwq,pose,1776719623222,-0.01446915,1.69085973,-0.15919876,0.16137904,0.07073969,0.02585305,0.98401439,normal
b7qilUwq,pose,1776719623233,-0.01399994,1.69044824,-0.15931702,0.15919430,0.07069919,0.02634496,0.98436007,normal
b7qilUwq,pose,1776719623245,-0.01355886,1.69006633,-0.15943909,0.15685082,0.07067949,0.02676559,0.98472627,normal
b7qilUwq,pose,1776719623256,-0.01312447,1.68963797,-0.15957451,0.15446673,0.07059932,0.02723621,0.98509591,normal
