# Session Metadata: f51hYFqf,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
f51hYFqf,pose,1776724723772,0.09140771,1.57812746,0.13837151,0.02875076,0.01355971,0.04015950,0.99868751,normal
f51hYFqf,pose,1776724723773,0.09141783,1.57815222,0.13839339,0.02888760,0.01352740,0.04002420,0.99868943,normal
f51hYFqf,pose,1776724723784,0.09143818,1.57818650,0.13841259,0.02893255,0.01360567,0.03999567,0.99868821,normal
f51hYFqf,pose,1776724723795,0.09148751,1.57819731,0.13842562,0.02891892,0.01367117,0.04003563,0.99868611,normal
f51hYFqf,pose,1776724723806,0.09154943,1.57820528,0.13843067,0.02898971,0.01377438,0.04005751,0.99868176,normal
f51hYFqf,pose,1776724723818,0.09160580,1.57820921,0.13844232,0.02908488,0.01383247,0.03998245,0.99868120,normal
f51hYFqf,pose,1776724723829,0.09163872,1.57820262,0.13843875,0.02911825,0.01381480,0.03983072,0.99868653,normal
f51hYFqf,pose,1776724723840,0.09166363,1.57819151,0.13844229,0.02914503,0.01373948,0.03973548,0.99869059,normal
f51hYFqf,pose,1776724723851,0.09168486,1.57818089,0.13844636,0.02919186,0.01365664,0.03974249,0.99869007,normal
f51hYFqf,pose,1776724723862,0.09170920,1.57818133,0.13847607,0.02929354,0.01363701,0.03982767,0.99868397,normal
f51hYFqf,pose,1776724723873,0.09173208,1.57818177,0.13848901,0.02937051,0.01365065,0.03990823,0.99867831,normal
f51hYFqf,pose,1776724723884,0.09175406,1.57817404,0.13849816,0.02940621,0.01369677,0.03998651,0.99867350,normal
f51hYFqf,pose,1776724723895,0.09172200,1.57819615,0.13847163,0.02944324,0.01370568,0.03993876,0.99867419,normal
f51hYFqf,pose,1776724723907,0.09169126,1.57822283,0.13845761,0.02944125,0.01371681,0.03985907,0.99867728,normal
f51hYFqf,pose,1776724723918,0.09165675,1.57824840,0.13845010,0.02944681,0.01362218,0.03984448,0.99867900,normal
f51hYFqf,pose,1776724723929,0.09165715,1.57823968,0.13846749,0.02958727,0.01351859,0.03984741,0.99867614,normal
f51hYFqf,pose,1776724723940,0.09165343,1.57823393,0.13848831,0.02966590,0.01350860,0.03990001,0.99867184,normal
f51hYFqf,pose,1776724723951,0.09164433,1.57823522,0.13850570,0.02965513,0.01354501,0.03996195,0.99866919,normal
f51hYFqf,pose,1776724723962,0.09161008,1.57823637,0.13849460,0.02967821,0.01363561,0.03999262,0.99866604,normal
f51hYFqf,pose,1776724723973,0.09155929,1.57823943,0.13849413,0.02964652,0.01367663,0.03999297,0.99866641,normal
f51hYFqf,pose,1776724723985,0.09150057,1.57824764,0.13850869,0.02957408,0.01369394,0.04001538,0.99866742,normal
f51hYFqf,pose,1776724723997,0.09144633,1.57824349,0.13854975,0.02965157,0.01359832,0.04004678,0.99866517,normal
f51hYFqf,pose,1776724724008,0.09139790,1.57824680,0.13857932,0.02975855,0.01355516,0.04010062,0.99866042,normal
f51hYFqf,pose,1776724724019,0.09133937,1.57826241,0.13859060,0.02982675,0.01358777,0.04037449,0.99864690,normal
f51hYFqf,pose,1776724724029,0.09125048,1.57831399,0.13853723,0.02989599,0.01377607,0.04049304,0.99863745,normal
f51hYFqf,pose,1776724724041,0.09113854,1.57838884,0.13844718,0.02978339,0.01402573,0.04051689,0.99863638,normal
f51hYFqf,pose,1776724724052,0.09102524,1.57844169,0.13834947,0.02964387,0.01429485,0.04058100,0.99863411,normal
f51hYFqf,pose,1776724724063,0.09091421,1.57842603,0.13828394,0.02955353,0.01462970,0.04049006,0.99863563,normal
