# Session Metadata: mmk5heex,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
mmk5heex,pose,1776726205598,0.00043732,0.73032928,-0.00069738,0.18507612,-0.01337075,0.06338622,0.98058668,normal
mmk5heex,pose,1776726205613,0.00046679,0.73026687,-0.00079455,0.18475879,-0.01323913,0.06339409,0.98064780,normal
mmk5heex,pose,1776726205618,0.00049635,0.73017273,-0.00089466,0.18429324,-0.01313429,0.06341120,0.98073570,normal
mmk5heex,pose,1776726205621,0.00051643,0.73012833,-0.00093474,0.18397164,-0.01308322,0.06346180,0.98079349,normal
mmk5heex,pose,1776726205628,0.00053776,0.73007790,-0.00098660,0.18370272,-0.01304325,0.06347815,0.98084337,normal
mmk5heex,pose,1776726205638,0.00057676,0.72999064,-0.00109240,0.18331647,-0.01309028,0.06340461,0.98091976,normal
mmk5heex,pose,1776726205650,0.00061258,0.72988890,-0.00120595,0.18278376,-0.01318513,0.06317813,0.98103250,normal
mmk5heex,pose,1776726205675,0.00065376,0.72966651,-0.00136793,0.18203530,-0.01350822,0.06235199,0.98122011,normal
mmk5heex,pose,1776726205686,0.00066033,0.72961103,-0.00144813,0.18220358,-0.01352133,0.06225937,0.98119458,normal
mmk5heex,pose,1776726205698,0.00064826,0.72961603,-0.00153334,0.18255149,-0.01336325,0.06236208,0.98112555,normal
mmk5heex,pose,1776726205710,0.00060783,0.72965992,-0.00160469,0.18259575,-0.01332060,0.06252552,0.98110749,normal
mmk5heex,pose,1776726205721,0.00057874,0.72968120,-0.00165626,0.18278946,-0.01328230,0.06309163,0.98103570,normal
mmk5heex,pose,1776726205731,0.00056937,0.72966664,-0.00169143,0.18256861,-0.01339521,0.06324536,0.98106539,normal
mmk5heex,pose,1776726205742,0.00058438,0.72962485,-0.00172527,0.18228359,-0.01369065,0.06312635,0.98112197,normal
mmk5heex,pose,1776726205755,0.00060925,0.72956841,-0.00174982,0.18181939,-0.01406958,0.06271480,0.98122913,normal
mmk5heex,pose,1776726205764,0.00063801,0.72951039,-0.00176005,0.18152722,-0.01436115,0.06247916,0.98129403,normal
mmk5heex,pose,1776726205776,0.00064262,0.72946001,-0.00176371,0.18137045,-0.01455058,0.06227056,0.98133349,normal
mmk5heex,pose,1776726205788,0.00061432,0.72943592,-0.00178992,0.18150343,-0.01431459,0.06237106,0.98130599,normal
mmk5heex,pose,1776726205799,0.00058448,0.72947442,-0.00185446,0.18159424,-0.01416968,0.06255633,0.98127950,normal
mmk5heex,pose,1776726205810,0.00054726,0.72951548,-0.00192377,0.18187108,-0.01372955,0.06284845,0.98121582,normal
mmk5heex,pose,1776726205822,0.00054137,0.72952688,-0.00197935,0.18187629,-0.01367115,0.06306886,0.98120153,normal
mmk5heex,pose,1776726205837,0.00057074,0.72949739,-0.00200751,0.18151313,-0.01393420,0.06326013,0.98125276,normal
mmk5heex,pose,1776726205844,0.00061410,0.72943326,-0.00202259,0.18088037,-0.01434066,0.06337726,0.98135619,normal
mmk5heex,pose,1776726205855,0.00067833,0.72930641,-0.00204070,0.18004747,-0.01477908,0.06322033,0.98151295,normal
mmk5heex,pose,1776726205866,0.00074511,0.72916491,-0.00208032,0.17938653,-0.01513603,0.06279556,0.98165579,normal
mmk5heex,pose,1776726205878,0.00080199,0.72903926,-0.00216249,0.17913327,-0.01537094,0.06241870,0.98172242,normal
mmk5heex,pose,1776726205889,0.00084941,0.72896375,-0.00225336,0.17894156,-0.01539937,0.06231418,0.98176358,normal
mmk5heex,pose,1776726205900,0.00088017,0.72891855,-0.00234336,0.17876821,-0.01550199,0.06256497,0.98177759,normal
mmk5heex,pose,1776726205912,0.00092430,0.72886757,-0.00242446,0.17848617,-0.01556257,0.06294379,0.98180373,normal
mmk5heex,pose,1776726205922,0.00096729,0.72880104,-0.00250426,0.17789099,-0.01574021,0.06311062,0.98189821,normal
mmk5heex,pose,1776726205934,0.00102076,0.72868090,-0.00257278,0.17715351,-0.01603058,0.06313914,0.98202500,normal
mmk5heex,pose,1776726205945,0.00108390,0.72852749,-0.00265357,0.17616218,-0.01635658,0.06293544,0.98221101,normal
mmk5heex,pose,1776726205956,0.00116924,0.72835997,-0.00274510,0.17520784,-0.01656936,0.06266601,0.98239536,normal
mmk5heex,pose,1776726205968,0.00125680,0.72817444,-0.00287752,0.17438969,-0.01686651,0.06268261,0.98253481,normal
mmk5heex,pose,1776726205980,0.00133705,0.72802267,-0.00301106,0.17366687,-0.01705695,0.06252970,0.98266928,normal
mmk5heex,pose,1776726205991,0.00142810,0.72789533,-0.00314060,0.17270855,-0.01730940,0.06239050,0.98284260,normal
mmk5heex,pose,1776726206002,0.00149796,0.72774393,-0.00325505,0.17183048,-0.01746324,0.06218605,0.98300672,normal
mmk5heex,pose,1776726206014,0.00156013,0.72759348,-0.00335719,0.17112325,-0.01745485,0.06198370,0.98314301,normal
mmk5heex,pose,1776726206025,0.00158196,0.72744535,-0.00346731,0.17055215,-0.01738101,0.06181564,0.98325413,normal
mmk5heex,pose,1776726206036,0.00159277,0.72733312,-0.00359976,0.17020574,-0.01720627,0.06186265,0.98331427,normal
mmk5heex,pose,1776726206047,0.00160254,0.72724826,-0.00375504,0.17001540,-0.01691402,0.06213268,0.98333525,normal
mmk5heex,pose,1776726206058,0.00161792,0.72721831,-0.00389046,0.16982246,-0.01659813,0.06212105,0.98337471,normal
mmk5heex,pose,1776726206069,0.00163892,0.72719887,-0.00401163,0.16959807,-0.01646396,0.06199825,0.98342343,normal
mmk5heex,pose,1776726206080,0.00166372,0.72717945,-0.00411077,0.16935079,-0.01651127,0.06179622,0.98347797,normal
mmk5heex,pose,1776726206092,0.00168712,0.72711465,-0.00421130,0.16906415,-0.01660978,0.06164356,0.98353520,normal
mmk5heex,pose,1776726206103,0.00171120,0.72704243,-0.00431122,0.16854109,-0.01663502,0.06147694,0.98363497,normal
mmk5heex,pose,1776726206114,0.00173787,0.72696591,-0.00441850,0.16808963,-0.01661620,0.06128284,0.98372465,normal
mmk5heex,pose,1776726206125,0.00176050,0.72689684,-0.00453647,0.16776331,-0.01665505,0.06109894,0.98379114,normal
mmk5heex,pose,1776726206136,0.00179284,0.72683437,-0.00465274,0.16746783,-0.01677676,0.06116819,0.98383511,normal
mmk5heex,pose,1776726206147,0.00183657,0.72678707,-0.00476185,0.16716010,-0.01694815,0.06121233,0.98388176,normal
mmk5heex,pose,1776726206158,0.00189266,0.72672915,-0.00484982,0.16675726,-0.01715625,0.06117629,0.98394875,normal
mmk5heex,pose,1776726206169,0.00195395,0.72665418,-0.00492081,0.16629758,-0.01748727,0.06098126,0.98403282,normal
mmk5heex,pose,1776726206181,0.00201282,0.72657497,-0.00498087,0.16605679,-0.01768899,0.06057528,0.98409495,normal
