# Session Metadata: MmuNSyD4,local-floor,meters,right-handed,+Y,-Z,
session_id,type,UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW,trackingState
MmuNSyD4,pose,1776736203240,-0.02624527,1.63499253,0.02836841,-0.02474362,0.04264361,0.05126011,0.99746763,normal
MmuNSyD4,pose,1776736203244,-0.02623504,1.63506716,0.02842057,-0.02436160,0.04311982,0.05120323,0.99745948,normal
MmuNSyD4,pose,1776736203255,-0.02624193,1.63514065,0.02846992,-0.02401956,0.04372028,0.05116938,0.99744338,normal
MmuNSyD4,pose,1776736203267,-0.02627021,1.63520431,0.02852106,-0.02363614,0.04437983,0.05112471,0.99742570,normal
MmuNSyD4,pose,1776736203278,-0.02632222,1.63526485,0.02857065,-0.02322825,0.04509401,0.05115203,0.99740185,normal
MmuNSyD4,pose,1776736203289,-0.02638859,1.63532309,0.02860451,-0.02278393,0.04589537,0.05112251,0.99737706,normal
MmuNSyD4,pose,1776736203300,-0.02646482,1.63539029,0.02863193,-0.02235134,0.04668912,0.05108704,0.99735182,normal
MmuNSyD4,pose,1776736203311,-0.02655628,1.63545702,0.02864766,-0.02186202,0.04750604,0.05096363,0.99733041,normal
MmuNSyD4,pose,1776736203323,-0.02665964,1.63553669,0.02867025,-0.02145360,0.04831594,0.05074895,0.99731131,normal
MmuNSyD4,pose,1776736203333,-0.02676809,1.63559596,0.02868772,-0.02110567,0.04915884,0.05064246,0.99728296,normal
MmuNSyD4,pose,1776736203344,-0.02688289,1.63563455,0.02870208,-0.02088537,0.05005452,0.05061471,0.99724445,normal
MmuNSyD4,pose,1776736203356,-0.02701113,1.63564975,0.02870917,-0.02063794,0.05100167,0.05067082,0.99719876,normal
MmuNSyD4,pose,1776736203367,-0.02715248,1.63567219,0.02870721,-0.02029983,0.05204174,0.05068030,0.99715148,normal
MmuNSyD4,pose,1776736203378,-0.02731377,1.63570194,0.02868885,-0.01988219,0.05310446,0.05061277,0.99710730,normal
MmuNSyD4,pose,1776736203389,-0.02750528,1.63575670,0.02863842,-0.01964431,0.05414343,0.05052162,0.99706076,normal
MmuNSyD4,pose,1776736203400,-0.02770123,1.63579874,0.02857977,-0.01950072,0.05520242,0.05034902,0.99701424,normal
MmuNSyD4,pose,1776736203411,-0.02789807,1.63582136,0.02851427,-0.01954948,0.05621591,0.05027329,0.99696047,normal
MmuNSyD4,pose,1776736203422,-0.02807459,1.63579901,0.02846128,-0.01973619,0.05723882,0.05017796,0.99690339,normal
MmuNSyD4,pose,1776736203434,-0.02825522,1.63573165,0.02839923,-0.01999137,0.05824173,0.05013792,0.99684223,normal
MmuNSyD4,pose,1776736203445,-0.02844679,1.63562945,0.02833313,-0.02031689,0.05942288,0.05027710,0.99675893,normal
MmuNSyD4,pose,1776736203456,-0.02871987,1.63548176,0.02824366,-0.02068405,0.06088075,0.05048468,0.99665290,normal
MmuNSyD4,pose,1776736203467,-0.02900326,1.63539779,0.02814633,-0.02088223,0.06249317,0.05036085,0.99655523,normal
MmuNSyD4,pose,1776736203478,-0.02930877,1.63534283,0.02804464,-0.02096582,0.06409022,0.05010416,0.99646498,normal
MmuNSyD4,pose,1776736203489,-0.02960497,1.63526137,0.02792984,-0.02093682,0.06561381,0.04981544,0.99638090,normal
MmuNSyD4,pose,1776736203500,-0.02991331,1.63513972,0.02783841,-0.02107312,0.06700105,0.04957709,0.99629759,normal
MmuNSyD4,pose,1776736203512,-0.03021508,1.63499131,0.02775836,-0.02140403,0.06839648,0.04941938,0.99620355,normal
MmuNSyD4,pose,1776736203523,-0.03052264,1.63486405,0.02767688,-0.02188155,0.06976482,0.04924780,0.99610678,normal
MmuNSyD4,pose,1776736203534,-0.03080976,1.63472382,0.02759153,-0.02237972,0.07115775,0.04917984,0.99600054,normal
MmuNSyD4,pose,1776736203545,-0.03110555,1.63457314,0.02750504,-0.02280121,0.07245374,0.04912939,0.99590003,normal
MmuNSyD4,pose,1776736203556,-0.03139418,1.63445126,0.02742398,-0.02323258,0.07371953,0.04912791,0.99579723,normal
MmuNSyD4,pose,1776736203567,-0.03167728,1.63434774,0.02734381,-0.02365819,0.07486424,0.04913666,0.99570137,normal
