UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW
1755639082533,0.05878925,0.00444943,-0.01846409,0.08346094,-0.10929504,0.04927200,0.98927303
1755639082565,0.05904436,0.00451529,-0.01897836,0.08419993,-0.10834862,0.04962273,0.98929699
1755639082587,0.05935669,0.00475377,-0.01924419,0.08534766,-0.10797192,0.04922078,0.98925990
1755639082631,0.05960798,0.00490713,-0.01938033,0.08602435,-0.10781536,0.04939954,0.98920945
1755639082642,0.05988932,0.00503910,-0.01953340,0.08697756,-0.10803122,0.04951678,0.98909668
1755639082674,0.06010437,0.00518596,-0.01960063,0.08788557,-0.10811953,0.04977595,0.98899376
1755639082698,0.06026745,0.00541735,-0.01960254,0.08914459,-0.10807637,0.05001077,0.98887394
1755639082719,0.06043530,0.00566477,-0.01965404,0.09052441,-0.10812370,0.05023363,0.98873211
1755639082730,0.06055307,0.00581253,-0.01969600,0.09111248,-0.10813475,0.05030697,0.98867315
1755639082753,0.06070471,0.00598013,-0.01975060,0.09215749,-0.10812167,0.05041952,0.98857199
1755639082763,0.06081295,0.00613892,-0.01978374,0.09320926,-0.10816569,0.05037192,0.98847098
1755639082776,0.06095505,0.00632459,-0.01977324,0.09448379,-0.10830561,0.05035814,0.98833535
1755639082786,0.06112003,0.00652444,-0.01974797,0.09594307,-0.10852960,0.05048275,0.98816382
1755639082797,0.06128311,0.00674015,-0.01970458,0.09718673,-0.10881200,0.05065941,0.98800218
1755639082819,0.06143904,0.00704294,-0.01967335,0.09838774,-0.10911477,0.05085281,0.98783997
1755639082830,0.06164026,0.00743794,-0.01966357,0.10073884,-0.10989041,0.05129036,0.98749435
1755639082840,0.06180429,0.00772440,-0.01963782,0.10255404,-0.11036760,0.05155015,0.98724072
1755639082852,0.06193304,0.00809443,-0.01959634,0.10439944,-0.11088697,0.05181599,0.98697515
1755639082863,0.06208372,0.00850523,-0.01955724,0.10669425,-0.11130798,0.05205226,0.98666987
1755639082875,0.06224489,0.00894773,-0.01950002,0.10924954,-0.11174441,0.05230325,0.98632758
1755639082888,0.06242371,0.00934416,-0.01942897,0.11186874,-0.11219145,0.05258575,0.98596816
1755639082908,0.06258869,0.00988972,-0.01929927,0.11518687,-0.11298296,0.05284536,0.98548171
1755639082910,0.06282043,0.01058781,-0.01908469,0.11982916,-0.11390690,0.05329410,0.98479741
1755639082930,0.06295395,0.01105583,-0.01889014,0.12244800,-0.11440626,0.05347171,0.98440767
1755639082941,0.06309652,0.01144320,-0.01871085,0.12501183,-0.11491246,0.05369809,0.98401407
1755639082952,0.06321478,0.01190323,-0.01849270,0.12760935,-0.11540914,0.05389348,0.98361175
1755639082964,0.06333923,0.01238108,-0.01828218,0.13032349,-0.11601759,0.05414831,0.98317021
1755639082975,0.06346941,0.01281387,-0.01806355,0.13314810,-0.11651851,0.05433969,0.98272184
1755639083000,0.06356955,0.01327699,-0.01779532,0.13581452,-0.11720064,0.05463552,0.98225933
1755639083031,0.06379890,0.01421082,-0.01722574,0.14145067,-0.11817221,0.05539152,0.98130465
1755639083032,0.06405067,0.01555562,-0.01635957,0.14874599,-0.11945617,0.05614740,0.98002669
1755639083064,0.06418562,0.01648390,-0.01574850,0.15416817,-0.11994360,0.05671498,0.97909607
1755639083075,0.06421518,0.01694345,-0.01536250,0.15781612,-0.11981864,0.05706422,0.97850970
1755639083097,0.06415939,0.01758134,-0.01475930,0.16171570,-0.11933431,0.05743374,0.97791038
1755639083131,0.06400442,0.01807177,-0.01437593,0.16420351,-0.11868940,0.05753100,0.97756852
1755639083132,0.06357718,0.01909900,-0.01358223,0.17046414,-0.11580682,0.05820177,0.97680260
1755639083164,0.06313038,0.01972091,-0.01311421,0.17482130,-0.11302007,0.05872008,0.97632778
1755639083176,0.06275606,0.02008152,-0.01272464,0.17714130,-0.11072803,0.05866004,0.97617584
1755639083197,0.06230974,0.02039433,-0.01241064,0.17990627,-0.10823460,0.05879943,0.97594141
1755639083207,0.06189871,0.02068412,-0.01217365,0.18172524,-0.10642696,0.05900669,0.97579068
1755639083231,0.06156301,0.02092314,-0.01192498,0.18322407,-0.10442550,0.05929925,0.97570890
1755639083241,0.06103182,0.02118450,-0.01156068,0.18498302,-0.10157976,0.05978515,0.97564777
1755639083252,0.06069660,0.02133191,-0.01137972,0.18604894,-0.09968141,0.05998452,0.97562865
1755639083265,0.06038952,0.02150512,-0.01120877,0.18712170,-0.09796641,0.06015080,0.97558697
1755639083298,0.06011486,0.02170742,-0.01102638,0.18826892,-0.09633890,0.06029973,0.97551913
1755639083309,0.05938911,0.02214050,-0.01060987,0.19121628,-0.09239137,0.06060060,0.97530905
1755639083331,0.05892563,0.02230662,-0.01041675,0.19262978,-0.08980671,0.06092174,0.97525231
1755639083342,0.05864477,0.02240300,-0.01029396,0.19320982,-0.08844933,0.06110814,0.97524996
1755639083364,0.05833101,0.02253932,-0.01020312,0.19386592,-0.08696589,0.06132358,0.97523964
1755639083397,0.05813742,0.02252984,-0.01019645,0.19427127,-0.08615971,0.06135718,0.97522842
1755639083399,0.05769396,0.02246237,-0.01018906,0.19435694,-0.08501849,0.06143640,0.97530652
1755639083421,0.05758142,0.02243650,-0.01020122,0.19420232,-0.08485804,0.06170845,0.97533412
