UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW
1757984440418,-1.48452806,1.93092964,-2.84842968,-0.03309145,-0.95835705,0.07064084,0.27471185
1757984440443,-1.48365021,1.93094061,-2.84959793,-0.03296073,-0.95763647,0.07050816,0.27726265
1757984440490,-1.48335218,1.93068233,-2.84998131,-0.03355503,-0.95731973,0.06951171,0.27853387
1757984440517,-1.48278236,1.93062851,-2.85069370,-0.03378046,-0.95674458,0.06966620,0.28043773
1757984440666,-1.48218536,1.93064293,-2.85146618,-0.03395927,-0.95587364,0.06962712,0.28338035
1757984440710,-1.48016214,1.93072752,-2.85529232,-0.03294672,-0.95245620,0.07044068,0.29458412
1757984440734,-1.47971869,1.93087723,-2.85689163,-0.03344729,-0.95138602,0.07197188,0.29760037
1757984440778,-1.47950506,1.93113299,-2.85784149,-0.03272052,-0.95103072,0.07274718,0.29862649
1757984440810,-1.47944450,1.93124966,-2.85855675,-0.03262487,-0.95083809,0.07287259,0.29921922
1757984440858,-1.47934151,1.93134207,-2.85911560,-0.03259313,-0.95068927,0.07321427,0.29961187
1757984440894,-1.47922659,1.93136701,-2.85985374,-0.03227522,-0.95060970,0.07409375,0.29968255
1757984440931,-1.47907782,1.93147842,-2.86046791,-0.03227169,-0.95053777,0.07453602,0.29980137
1757984440943,-1.47850847,1.93159898,-2.86107349,-0.03251619,-0.95028765,0.07495459,0.30046278
1757984440973,-1.47776556,1.93170956,-2.86161995,-0.03196055,-0.95005897,0.07651748,0.30085138
1757984440998,-1.47732115,1.93160762,-2.86195946,-0.03231263,-0.95012796,0.07664550,0.30056317
1757984441019,-1.47709656,1.93150138,-2.86217117,-0.03300919,-0.95022379,0.07623227,0.30028950
1757984441046,-1.47690392,1.93138804,-2.86232853,-0.03361086,-0.95035644,0.07578564,0.29991580
1757984441082,-1.47640848,1.93119477,-2.86263466,-0.03468791,-0.95062916,0.07546223,0.29900904
1757984441114,-1.47588015,1.93097211,-2.86304188,-0.03623609,-0.95091000,0.07525032,0.29798406
1757984441162,-1.47524834,1.93077628,-2.86349106,-0.03812185,-0.95129505,0.07516645,0.29653744
1757984441188,-1.47481155,1.93079563,-2.86362839,-0.03811651,-0.95182473,0.07619406,0.29456966
1757984441225,-1.47462797,1.93066602,-2.86371040,-0.03917105,-0.95224232,0.07585483,0.29316589
1757984441259,-1.47460556,1.93036674,-2.86376572,-0.03976454,-0.95280763,0.07504885,0.29145165
1757984441303,-1.47468948,1.93012471,-2.86384296,-0.04049661,-0.95326035,0.07412834,0.29010293
1757984441342,-1.47484303,1.92997945,-2.86398315,-0.04136053,-0.95369881,0.07367806,0.28865105
1757984441378,-1.47514963,1.92999492,-2.86403847,-0.04109710,-0.95390133,0.07402266,0.28793042
1757984441419,-1.47547674,1.92992243,-2.86418819,-0.04117317,-0.95406584,0.07358694,0.28748585
1757984441436,-1.47588253,1.92987174,-2.86427498,-0.04106676,-0.95422375,0.07372357,0.28694143
1757984441494,-1.47666597,1.92980887,-2.86422443,-0.04038541,-0.95454866,0.07377493,0.28594252
1757984441522,-1.47775459,1.92987036,-2.86424446,-0.03959066,-0.95511826,0.07358110,0.28419625
1757984441546,-1.47877645,1.92999659,-2.86426926,-0.03892016,-0.95553751,0.07357733,0.28287748
1757984441590,-1.47940254,1.93016255,-2.86426544,-0.03837220,-0.95585723,0.07374941,0.28182540
1757984441602,-1.47990799,1.93017639,-2.86426258,-0.03802910,-0.95602504,0.07414964,0.28119698
1757984441650,-1.48037004,1.93019163,-2.86429405,-0.03773582,-0.95623349,0.07411329,0.28053652
1757984441686,-1.48109770,1.93029099,-2.86447716,-0.03742516,-0.95645413,0.07455212,0.27970850
1757984441700,-1.48172331,1.93034754,-2.86457634,-0.03750949,-0.95652878,0.07458412,0.27943324
1757984441747,-1.48215389,1.93041449,-2.86460495,-0.03718583,-0.95650264,0.07502189,0.27944880
1757984441793,-1.48256493,1.93054694,-2.86476707,-0.03631755,-0.95651179,0.07488051,0.27956956
1757984441828,-1.48300886,1.93062229,-2.86490440,-0.03613733,-0.95623713,0.07478716,0.28055574
1757984441860,-1.48333120,1.93060174,-2.86503792,-0.03559885,-0.95615219,0.07469742,0.28093774
1757984441895,-1.48357630,1.93052760,-2.86520958,-0.03592954,-0.95602038,0.07411734,0.28149729
1757984441931,-1.48369312,1.93033695,-2.86533737,-0.03613755,-0.95590919,0.07351579,0.28200555
1757984441942,-1.48369169,1.93036184,-2.86544037,-0.03595958,-0.95575986,0.07426660,0.28233750
1757984441980,-1.48364067,1.93038157,-2.86559296,-0.03620465,-0.95569593,0.07395915,0.28260318
1757984442003,-1.48358774,1.93036273,-2.86572170,-0.03646035,-0.95559526,0.07375221,0.28296458
1757984442025,-1.48352051,1.93034541,-2.86581612,-0.03657862,-0.95550821,0.07394538,0.28319276
1757984442058,-1.48353195,1.93030140,-2.86591911,-0.03670209,-0.95540255,0.07425226,0.28345288
1757984442080,-1.48346519,1.93022797,-2.86611748,-0.03684767,-0.95518165,0.07435376,0.28415100
1757984442103,-1.48336649,1.93018495,-2.86623955,-0.03709168,-0.95504595,0.07392642,0.28468636
1757984442114,-1.48328400,1.93010856,-2.86633873,-0.03736075,-0.95494278,0.07358002,0.28508674
1757984442162,-1.48320293,1.93004656,-2.86643028,-0.03753150,-0.95485920,0.07322382,0.28543576
1757984442206,-1.48309660,1.92990845,-2.86657143,-0.03763566,-0.95470871,0.07307722,0.28596250
1757984442238,-1.48312855,1.92977010,-2.86672211,-0.03773136,-0.95472236,0.07270455,0.28599931
1757984442270,-1.48308086,1.92978797,-2.86676216,-0.03772228,-0.95479205,0.07213972,0.28591089
1757984442317,-1.48314285,1.92972162,-2.86689281,-0.03802371,-0.95473086,0.07186527,0.28614431
1757984442349,-1.48332691,1.92979442,-2.86710167,-0.03758919,-0.95474635,0.07149725,0.28624220
1757984442387,-1.48368979,1.92987113,-2.86732101,-0.03786117,-0.95478466,0.07137737,0.28610848
1757984442425,-1.48407888,1.92988842,-2.86763096,-0.03779978,-0.95491954,0.07168055,0.28559019
1757984442462,-1.48458767,1.93002456,-2.86806679,-0.03757646,-0.95509414,0.07239625,0.28485430
1757984442501,-1.48490906,1.93023495,-2.86841583,-0.03718037,-0.95509977,0.07327296,0.28466318
1757984442541,-1.48531866,1.93050314,-2.86879539,-0.03616501,-0.95509371,0.07374016,0.28469366
1757984442580,-1.48548603,1.93065540,-2.86898041,-0.03622748,-0.95489985,0.07446336,0.28514742
1757984442616,-1.48570347,1.93085787,-2.86926556,-0.03624448,-0.95480884,0.07517380,0.28526358
1757984442652,-1.48586321,1.93099059,-2.86942291,-0.03619709,-0.95488102,0.07559203,0.28491729
1757984442694,-1.48591280,1.93096209,-2.86953545,-0.03620299,-0.95501637,0.07562944,0.28445256
1757984442730,-1.48595905,1.93092971,-2.86948395,-0.03603346,-0.95516080,0.07534132,0.28406534
1757984442789,-1.48582602,1.93084633,-2.86936569,-0.03601652,-0.95515678,0.07490567,0.28419620
1757984442815,-1.48544788,1.93044287,-2.86923027,-0.03612001,-0.95501967,0.07306051,0.28512267
1757984442856,-1.48504639,1.93033584,-2.86919785,-0.03637262,-0.95468851,0.07313565,0.28617837
1757984442898,-1.48477411,1.93027666,-2.86913967,-0.03552516,-0.95469399,0.07233377,0.28647021
1757984442936,-1.48466921,1.93026982,-2.86900806,-0.03588298,-0.95461459,0.07231611,0.28669457
1757984442977,-1.48447466,1.93010417,-2.86873627,-0.03560640,-0.95467247,0.07243917,0.28650518
1757984443013,-1.48435593,1.92991638,-2.86850166,-0.03574205,-0.95474086,0.07161399,0.28646786
1757984443057,-1.48417091,1.92982551,-2.86809063,-0.03556091,-0.95477498,0.07127600,0.28646097
1757984443101,-1.48380756,1.92976326,-2.86759377,-0.03476039,-0.95480283,0.07059108,0.28663596
1757984443147,-1.48363686,1.92968967,-2.86716652,-0.03483274,-0.95478567,0.07020071,0.28678017
1757984443172,-1.48358393,1.92962350,-2.86657143,-0.03435808,-0.95504318,0.06997227,0.28603483
1757984443222,-1.48355722,1.92962113,-2.86609077,-0.03403619,-0.95522963,0.06986131,0.28547730
1757984443256,-1.48356867,1.92955393,-2.86568165,-0.03373497,-0.95555937,0.06907647,0.28459918
1757984443308,-1.48358059,1.92953378,-2.86515427,-0.03318713,-0.95595958,0.06874462,0.28339737
1757984443357,-1.48360538,1.92950071,-2.86452866,-0.03279922,-0.95644256,0.06851501,0.28186439
1757984443382,-1.48369837,1.92953418,-2.86384773,-0.03322138,-0.95679868,0.06867397,0.28056462
1757984443425,-1.48358059,1.92955444,-2.86328316,-0.03250597,-0.95714150,0.06880159,0.27944563
1757984443478,-1.48336172,1.92944561,-2.86269951,-0.03317487,-0.95735525,0.06798884,0.27883305
1757984443505,-1.48322010,1.92929073,-2.86206341,-0.03329637,-0.95774422,0.06741029,0.27762062
1757984443542,-1.48310566,1.92913440,-2.86163902,-0.03409304,-0.95792142,0.06669245,0.27708543
1757984443582,-1.48291397,1.92896838,-2.86112595,-0.03474094,-0.95803973,0.06631000,0.27668741
1757984443622,-1.48284531,1.92889688,-2.86061382,-0.03441006,-0.95828307,0.06602798,0.27595257
1757984443658,-1.48282862,1.92891320,-2.86028576,-0.03419944,-0.95841701,0.06598683,0.27552310
1757984443694,-1.48282051,1.92885998,-2.86003113,-0.03411054,-0.95865580,0.06589117,0.27472511
